"setting","prob","n","gap_lead1to5","t_p_1to5","gap_lead1to15","t_p_1to15"
6,0.9,8,0.00744426193055556,0.77130813859794,0.0024304732181713,0.728087148394668
6,0.92,8,0.00729450133680555,0.789355997053257,0.00265586258912037,0.763602194811894
6,0.94,8,0.00550372327951388,0.770762835665781,0.00218378826504629,0.752738289845363
6,0.95,8,0.00450680170659722,0.749237717961647,0.0018378406099537,0.73435353433553
6,0.96,8,0.00391839858506945,0.739241436017814,0.00174480276967593,0.734483406359289
6,0.98,8,0.00316025927430555,0.743507447495122,0.00162779763541666,0.75461775195605
6,0.99,8,0.00271136966319444,0.747590588924294,0.00147378117708333,0.761669685114144
7,0.9,5,-0.0220359896583333,0.199276569368574,-0.0188089113425926,0.181509019114248
7,0.92,5,-0.0212752194277778,0.202563873384413,-0.0184934554990741,0.183347159901118
7,0.94,5,-0.0208125826722222,0.203858699638002,-0.0179946587518519,0.183954339548863
7,0.95,5,-0.0204739868416667,0.204566392031058,-0.0175744689398148,0.185285034309701
7,0.96,5,-0.0199765722166667,0.206306432886248,-0.0170170060851852,0.186816719809046
7,0.98,5,-0.0173426827944444,0.204349039868523,-0.0148760974444444,0.187688246355891
7,0.99,5,-0.0139885553166667,0.202671605964342,-0.0122521620648148,0.187588973011458
