"setting","leads","n","iid","ar1","ar2","ar1_minus_iid","ar2_minus_iid","ar2_minus_ar1"
5,"1-5",10,0.0610008148569444,0.0604145287833333,0.0602710410180556,-0.000586286073611109,-0.000729773838888892,-0.000143487765277783
5,"1-15",10,0.0498261792,0.0514750113060185,0.049489588149537,0.00164883210601852,-0.000336591050462964,-0.00198542315648148
7,"1-5",10,0.0592846467569444,0.0554594759583333,0.0524467441375,-0.0038251707986111,-0.00683790261944444,-0.00301273182083334
7,"1-15",10,0.0619645597384259,0.0584057776143519,0.0579038622152778,-0.00355878212407407,-0.00406069752314815,-0.000501915399074078
