"prob","ar2_before_mean","ar2_after_mean","ar2_before_med","ar2_after_med","iid_before_mean","iid_after_mean","iid_before_med","iid_after_med","gap_before_mean","gap_after_mean","gap_before_med","gap_after_med"
0.9,0.147529190199444,0.117730464834815,0.109311645527778,0.100357767185185,0.0999820615372222,0.108352109466296,0.0968015983425926,0.0978082492453704,0.0475471286622222,0.00937835536851852,0.0129105634212963,0.000131089055555547
0.92,0.131757780688148,0.0997030422124074,0.0936042574907407,0.0852496403518519,0.0819547709885185,0.0893754222611111,0.0780916358287037,0.0791018557222222,0.0498030096996296,0.0103276199512963,0.0142515119907407,6.91103796296305e-05
0.94,0.114124280508889,0.0803604305755556,0.0755391327407407,0.0665454780509259,0.0632216749501852,0.069405700592963,0.0597663313796296,0.0603996427175926,0.0509026055587037,0.0109547299825926,0.0141011468842593,9.6931412037031e-05
0.95,0.104363759077407,0.0700522144662963,0.0675550271296296,0.0539263778240741,0.0534006103325926,0.0590045534227778,0.0496931553796296,0.0514629330555556,0.0509631487448148,0.0110476610435185,0.0134858573842593,0.000113120708333331
0.96,0.0938968935066667,0.0595062598431481,0.0584446438425926,0.0437878694166667,0.0437488149083333,0.0482905780040741,0.0400812056805556,0.0428867123287037,0.0501480785983333,0.0112156818390741,0.0124796679444444,0.000363995518518519
0.98,0.0694210067733333,0.0354106767512963,0.0394603863148148,0.0226843731851852,0.02349772597,0.0255618549683333,0.0207470133287037,0.0225543734907407,0.0459232808033333,0.00984882178296296,0.00839844360648148,0.000155667912037038
0.99,0.0537582750062963,0.0222498243361111,0.0274593109907407,0.0118707868101852,0.0127116801101852,0.0140848153568519,0.0109586039814815,0.0113222904074074,0.0410465948961111,0.00816500897925926,0.0108466770694444,0.00014196675925926
