setting,method,knots,thresh,CMAQ,TS,ar2,mrts,lane,tier,composite_tail_brier,best_tail_q,n_top5_appearances,has_result
202,skew-t,1,50,yes,yes,,5,mrts_k5,2,0.984431529,0.99,0,TRUE
203,t,1,75,yes,yes,,5,mrts_k5,2,1.002350398,0.99,0,TRUE
207,skew-t,1,0,yes,yes,,15,mrts_k15,2,0.990894735,0.99,0,TRUE
208,skew-t,1,50,yes,yes,,15,mrts_k15,2,0.982364341,0.99,0,TRUE
209,t,1,75,yes,yes,,15,mrts_k15,2,1.006686272,0.995,0,TRUE
211,skew-t,1,0,yes,yes,yes,5,mrts_k5,2,NA,NA,NA,FALSE
212,skew-t,1,50,yes,yes,yes,5,mrts_k5,2,NA,NA,NA,FALSE
213,t,1,75,yes,yes,yes,5,mrts_k5,2,NA,NA,NA,FALSE
217,skew-t,1,0,yes,yes,yes,15,mrts_k15,2,NA,NA,NA,FALSE
218,skew-t,1,50,yes,yes,yes,15,mrts_k15,2,NA,NA,NA,FALSE
219,t,1,75,yes,yes,yes,15,mrts_k15,2,NA,NA,NA,FALSE
2,max-stable,1,75,yes,no,,NA,baseline,3,4.913202324,0.995,0,TRUE
4,skew-t,1,50,yes,no,,NA,baseline,3,0.984774121,0.99,0,TRUE
5,t,1,75,yes,no,,NA,baseline,3,1.004774634,0.99,0,TRUE
6,skew-t,1,85,yes,no,,NA,baseline,3,1.078142987,0.995,0,TRUE
7,skew-t,5,0,yes,no,,NA,baseline,3,0.985318201,0.99,0,TRUE
9,t,5,75,yes,no,,NA,baseline,3,1.00358515,0.99,0,TRUE
10,skew-t,5,85,yes,no,,NA,baseline,3,1.140906887,0.99,0,TRUE
11,skew-t,10,0,yes,no,,NA,baseline,3,0.982303961,0.99,0,TRUE
14,skew-t,10,85,yes,no,,NA,baseline,3,1.167279287,0.99,0,TRUE
17,t,15,75,yes,no,,NA,baseline,3,1.00167823,0.99,0,TRUE
18,skew-t,15,85,yes,no,,NA,baseline,3,1.268456494,0.99,0,TRUE
19,t,1,75,yes,no,,NA,baseline,3,1.006407044,0.99,0,TRUE
20,t,1,85,yes,no,,NA,baseline,3,1.081734285,0.99,0,TRUE
21,t,5,75,yes,no,,NA,baseline,3,1.00154073,0.99,0,TRUE
22,t,5,85,yes,no,,NA,baseline,3,1.071095191,0.99,0,TRUE
23,t,10,75,yes,no,,NA,baseline,3,1.007553471,0.99,0,TRUE
24,t,10,85,yes,no,,NA,baseline,3,1.073138123,0.99,0,TRUE
25,t,15,75,yes,no,,NA,baseline,3,1.004918283,0.99,0,TRUE
26,t,15,85,yes,no,,NA,baseline,3,1.084526946,0.99,0,TRUE
27,skew-t,2,0,yes,no,,NA,baseline,3,0.992717836,0.99,0,TRUE
28,skew-t,2,75,yes,no,,NA,baseline,3,1.00379633,0.995,0,TRUE
30,skew-t,3,75,yes,no,,NA,baseline,3,1.004824738,0.99,0,TRUE
31,skew-t,4,0,yes,no,,NA,baseline,3,0.992860553,0.99,0,TRUE
32,skew-t,4,75,yes,no,,NA,baseline,3,1.002426014,0.995,0,TRUE
33,skew-t,6,0,yes,no,,NA,baseline,3,0.983485373,0.99,0,TRUE
36,skew-t,9,0,yes,no,,NA,baseline,3,0.982123036,0.99,0,TRUE
37,skew-t,11,0,yes,no,,NA,baseline,3,0.986750336,0.99,0,TRUE
40,skew-t,8,50,yes,no,,NA,baseline,3,0.982757502,0.99,0,TRUE
43,t,6,75,yes,no,,NA,baseline,3,0.997812817,0.99,0,TRUE
44,t,7,75,yes,no,,NA,baseline,3,1.003624951,0.99,0,TRUE
45,t,8,75,yes,no,,NA,baseline,3,1.000319895,0.99,0,TRUE
46,t,9,75,yes,no,,NA,baseline,3,1.003742452,0.995,0,TRUE
47,skew-t,6,85,yes,no,,NA,baseline,3,1.071848861,0.995,0,TRUE
48,skew-t,7,85,yes,no,,NA,baseline,3,1.077169135,0.995,0,TRUE
49,skew-t,8,85,yes,no,,NA,baseline,3,1.07215379,0.99,0,TRUE
50,skew-t,9,85,yes,no,,NA,baseline,3,1.075528377,0.99,0,TRUE
