"setting","dataset","method_id","family","method_label","mrts_k","quantile","baseline_brier","mrts_brier","delta_brier","baseline_quant","mrts_quant","delta_quant"
4,15,1,"gaussian","Gaussian",10,0.95,0.0194669771363636,0.0195065604,3.95832636363655e-05,1.04114352841634,1.04101373326853,-0.000129795147816303
4,15,1,"gaussian","Gaussian",10,0.96,0.0157893529,0.0157856019681818,-3.75093181818192e-06,0.907352904550214,0.907307272039935,-4.56325102785593e-05
4,15,1,"gaussian","Gaussian",10,0.97,0.0105325914363636,0.0105232340045455,-9.35743181818341e-06,0.761960560114284,0.761885969525761,-7.45905885234377e-05
4,15,1,"gaussian","Gaussian",10,0.98,0.00265016328181818,0.00263999704545455,-1.01662363636364e-05,0.598633875250359,0.598748734183178,0.000114858932818152
4,15,1,"gaussian","Gaussian",10,0.99,0.00377337740909091,0.00377428613181818,9.08722727272545e-07,0.344354934400195,0.344276266142179,-7.8668258016612e-05
4,15,1,"gaussian","Gaussian",10,0.995,0.00367683035909091,0.00367328316363636,-3.54719545454536e-06,0.185921615521271,0.185895418698215,-2.61968230559906e-05
4,16,1,"gaussian","Gaussian",10,0.9,0.0290794422954545,0.0290759323045455,-3.50999090909312e-06,1.66424432024894,1.66421438314,-2.99371089433897e-05
4,16,1,"gaussian","Gaussian",10,0.91,0.0277723264954545,0.0277670753909091,-5.25110454545341e-06,1.54476710644759,1.5446659004241,-0.000101206023491507
4,16,1,"gaussian","Gaussian",10,0.92,0.0243874818590909,0.0243774347181818,-1.00471409090891e-05,1.41866911461423,1.41867259215754,3.47754330976002e-06
4,16,1,"gaussian","Gaussian",10,0.93,0.0229125231772727,0.0229043147772727,-8.208400000001e-06,1.28384455462575,1.28381520083181,-2.93537939421995e-05
4,16,1,"gaussian","Gaussian",10,0.94,0.0217856715,0.0217316167818182,-5.40547181818174e-05,1.13971660401236,1.13969653100809,-2.00730042705377e-05
