"setting","rule","prob","margin","level","iid","AR1","AR2","AR1-iid","AR2-iid","AR2-AR1"
5,"full-series",0.9,"block","1",0.162786854039815,0.161892337857407,0.135308537190741,-0.000894516182407407,-0.0274783168490741,-0.0265838006666667
5,"full-series",0.9,"block","2",0.167265069771296,0.172423983275463,0.146292309542593,0.00515891350416667,-0.0209727602287037,-0.0261316737328704
5,"full-series",0.9,"block","3",0.045127951912037,0.0513396221541667,0.0374403481611111,0.00621167024212963,-0.00768760375092593,-0.0138992739930556
5,"full-series",0.9,"block","4",0.0524851914425926,0.0511029921060185,0.0350168581074074,-0.00138219933657407,-0.0174683333351852,-0.0160861339986111
5,"full-series",0.9,"block","5",0.175946395375,0.157308771506944,0.120566983387037,-0.0186376238680556,-0.055379411987963,-0.0367417881199074
5,"full-series",0.95,"block","1",0.0850227584282407,0.0840710329277778,0.0717450492421296,-0.000951725500462963,-0.0132777091861111,-0.0123259836856481
5,"full-series",0.95,"block","2",0.105328889415741,0.110191042863426,0.0991814573439815,0.00486215344768519,-0.00614743207175926,-0.0110095855194444
5,"full-series",0.95,"block","3",0.0153797139231481,0.0213022962902778,0.0113995862569444,0.00592258236712963,-0.0039801276662037,-0.00990271003333333
5,"full-series",0.95,"block","4",0.0283118410435185,0.0279350821708333,0.0215034657550926,-0.000376758872685186,-0.00680837528842593,-0.00643161641574074
5,"full-series",0.95,"block","5",0.10602075777037,0.104357359151389,0.0917286207046296,-0.00166339861898149,-0.0142921370657407,-0.0126287384467593
7,"full-series",0.9,"block","1",0.0714642490101852,0.0741289677560185,0.066715712925,0.00266471874583334,-0.00474853608518518,-0.00741325483101851
7,"full-series",0.9,"block","2",0.086650139137963,0.0881954800444444,0.0954868928675926,0.00154534090648148,0.00883675372962964,0.00729141282314816
7,"full-series",0.9,"block","3",0.104640320961574,0.106878964215741,0.101811334891667,0.00223864325416666,-0.00282898606990742,-0.00506762932407408
7,"full-series",0.9,"block","4",0.127909390975463,0.132419926436574,0.1254220266625,0.0045105354611111,-0.00248736431296298,-0.00699789977407408
7,"full-series",0.9,"block","5",0.121235146416204,0.120004407468981,0.121769251512037,-0.00123073894722221,0.000534105095833334,0.00176484404305555
7,"full-series",0.95,"block","1",0.0338666393189815,0.03600880925,0.0319589204550926,0.00214216993101852,-0.00190771886388889,-0.00404988879490741
7,"full-series",0.95,"block","2",0.0392816588662037,0.0431765086226852,0.0457611525384259,0.00389484975648148,0.00647949367222223,0.00258464391574074
7,"full-series",0.95,"block","3",0.0621411669046296,0.0638872645277778,0.0612433115310185,0.00174609762314815,-0.000897855373611103,-0.00264395299675926
7,"full-series",0.95,"block","4",0.0785429869027778,0.083010123087037,0.0777372534,0.00446713618425926,-0.000805733502777781,-0.00527286968703704
7,"full-series",0.95,"block","5",0.0644128588925926,0.06522185935,0.0680216778430556,0.000809000457407408,0.00360881895046297,0.00279981849305556
