"score","method","lead","rel_mean"
"crps",2,1,1.31452627161352
"crps",2,2,1.43353653624513
"crps",2,3,1.83064872392735
"crps",2,4,1.98241493334541
"crps",2,5,2.37896414988664
"crps",2,6,2.39268665225999
"crps",2,7,2.40615832860458
"crps",2,8,2.3169027894462
"crps",2,9,3.32091678427857
"crps",2,10,4.05242443457194
"crps",2,11,3.69022209576613
"crps",2,12,3.03946317986835
"crps",2,13,4.31325906313417
"crps",2,14,3.31384433594429
"crps",2,15,4.54794996389648
"brier",2,1,1.3683665914053
"brier",2,2,1.46602414210602
"brier",2,3,2.30810511598427
"brier",2,4,2.32270129510677
"brier",2,5,1.84149663751218
"brier",2,6,1.64891945093242
"brier",2,7,2.25018749229647
"brier",2,8,1.60148381226229
"brier",2,9,3.50903176920079
"brier",2,10,3.9773601447352
"brier",2,11,3.54771725928782
"brier",2,12,2.40226150570595
"brier",2,13,3.29467171110736
"brier",2,14,1.96203240818279
"brier",2,15,2.15925139683271
