"setting","prob","target","blockq_mean","blockq_min","blockq_max","blockq_sd","full_mean","full_min","full_max","full_sd"
4,0.9,0.1,0.1,0.1,0.1,0,0.0956666666666667,0.000925925925925926,0.311574074074074,0.0893238582053574
4,0.91,0.09,0.0902777777777778,0.0902777777777778,0.0902777777777778,0,0.0860092592592593,0.000462962962962963,0.286574074074074,0.0849422808828246
4,0.92,0.08,0.0800925925925926,0.0800925925925926,0.0800925925925926,0,0.0763240740740741,0,0.264351851851852,0.0802843046331022
4,0.93,0.07,0.0703703703703704,0.0703703703703704,0.0703703703703704,0,0.0672314814814815,0,0.234722222222222,0.0751135429411059
4,0.94,0.0600000000000001,0.0601851851851852,0.0601851851851852,0.0601851851851852,0,0.0583333333333333,0,0.221296296296296,0.0694367594639166
4,0.95,0.05,0.05,0.05,0.05,0,0.0487962962962963,0,0.206944444444444,0.0631167256790198
4,0.96,0.04,0.0402777777777778,0.0402777777777778,0.0402777777777778,0,0.0396481481481481,0,0.192592592592593,0.0561222171317911
4,0.97,0.03,0.0300925925925926,0.0300925925925926,0.0300925925925926,0,0.0299722222222222,0,0.172685185185185,0.0475639755395552
4,0.98,0.02,0.0203703703703704,0.0203703703703704,0.0203703703703704,0,0.020212962962963,0,0.141666666666667,0.0371327667314914
4,0.99,0.01,0.0101851851851852,0.0101851851851852,0.0101851851851852,0,0.00960185185185185,0,0.0930555555555556,0.0220129447913991
4,0.995,0.005,0.00509259259259259,0.00509259259259259,0.00509259259259259,0,0.00475925925925926,0,0.0546296296296296,0.0122677751168829
5,0.9,0.1,0.1,0.1,0.1,0,0.125712962962963,0,0.930555555555556,0.207322951141351
5,0.91,0.09,0.0902777777777778,0.0902777777777778,0.0902777777777778,0,0.115361111111111,0,0.888888888888889,0.196809654966228
5,0.92,0.08,0.0800925925925926,0.0800925925925926,0.0800925925925926,0,0.104925925925926,0,0.82962962962963,0.184290824068175
5,0.93,0.07,0.0703703703703704,0.0703703703703704,0.0703703703703704,0,0.0931944444444444,0,0.753703703703704,0.169273728946879
5,0.94,0.0600000000000001,0.0601851851851852,0.0601851851851852,0.0601851851851852,0,0.0812222222222222,0,0.67037037037037,0.152849915400147
5,0.95,0.05,0.05,0.05,0.05,0,0.068212962962963,0,0.576851851851852,0.133264310956475
5,0.96,0.04,0.0402777777777778,0.0402777777777778,0.0402777777777778,0,0.0549166666666667,0,0.472222222222222,0.112129173601719
5,0.97,0.03,0.0300925925925926,0.0300925925925926,0.0300925925925926,0,0.0412222222222222,0,0.363425925925926,0.0881357931342885
5,0.98,0.02,0.0203703703703704,0.0203703703703704,0.0203703703703704,0,0.0272592592592593,0,0.255555555555556,0.0617271255223443
5,0.99,0.01,0.0101851851851852,0.0101851851851852,0.0101851851851852,0,0.013287037037037,0,0.13287037037037,0.0325266742291178
5,0.995,0.005,0.00509259259259259,0.00509259259259259,0.00509259259259259,0,0.00653703703703704,0,0.0666666666666667,0.01693990559137
7,0.9,0.1,0.1,0.1,0.1,0,0.111064814814815,0,0.409259259259259,0.100050694804645
7,0.91,0.09,0.0902777777777778,0.0902777777777778,0.0902777777777778,0,0.10012962962963,0,0.387962962962963,0.0943402267607173
7,0.92,0.08,0.0800925925925926,0.0800925925925926,0.0800925925925926,0,0.0891388888888889,0,0.365277777777778,0.0882278211087494
7,0.93,0.07,0.0703703703703704,0.0703703703703704,0.0703703703703704,0,0.0788148148148148,0,0.341203703703704,0.0817231565055454
7,0.94,0.0600000000000001,0.0601851851851852,0.0601851851851852,0.0601851851851852,0,0.068037037037037,0,0.318518518518519,0.0748118469846824
7,0.95,0.05,0.05,0.05,0.05,0,0.0573981481481481,0,0.290740740740741,0.0669321638942149
7,0.96,0.04,0.0402777777777778,0.0402777777777778,0.0402777777777778,0,0.046212962962963,0,0.25462962962963,0.0581899106989094
7,0.97,0.03,0.0300925925925926,0.0300925925925926,0.0300925925925926,0,0.0346481481481482,0,0.208796296296296,0.0477012224534631
7,0.98,0.02,0.0203703703703704,0.0203703703703704,0.0203703703703704,0,0.0230462962962963,0,0.150462962962963,0.0347053108224568
7,0.99,0.01,0.0101851851851852,0.0101851851851852,0.0101851851851852,0,0.0115277777777778,0,0.0810185185185185,0.0196503713381295
7,0.995,0.005,0.00509259259259259,0.00509259259259259,0.00509259259259259,0,0.00569444444444444,0,0.0430555555555556,0.0108462583839619
