"setting","rule","prob","margin","level","iid","AR1","AR2","AR1-iid","AR2-iid","AR2-AR1"
4,"per-block",0.9,"dataset","1",0.10620862617037,0.102711203636111,0.110401128876852,-0.00349742253425926,0.00419250270648149,0.00768992524074075
4,"per-block",0.9,"dataset","2",0.101239381742593,0.0973278474148148,0.0987090894666667,-0.00391153432777777,-0.00253029227592592,0.00138124205185185
4,"per-block",0.9,"dataset","3",0.0978847069768519,0.0987402244351852,0.0980048259111111,0.00085551745833333,0.000120118934259256,-0.000735398524074074
4,"per-block",0.9,"dataset","4",0.0938755085203704,0.0938470434759259,0.0936624363,-2.84650444444395e-05,-0.000213072220370369,-0.00018460717592593
4,"per-block",0.9,"dataset","5",0.100602431035185,0.110277325727778,0.0995612136259259,0.0096748946925926,-0.00104121740925925,-0.0107161121018518
4,"per-block",0.9,"dataset","6",0.0979351820203704,0.10461958402037,0.105272937836111,0.00668440200000001,0.00733775581574074,0.000653353815740734
4,"per-block",0.9,"dataset","7",0.112001672880556,0.117047892651852,0.113885926230556,0.0050462197712963,0.00188425335,-0.00316196642129629
4,"per-block",0.9,"dataset","8",0.107509734291667,0.111645607899074,0.106139679772222,0.0041358736074074,-0.00137005451944446,-0.00550592812685186
4,"per-block",0.9,"dataset","9",0.0928874346175926,0.0888702446009259,0.0891642592027778,-0.00401719001666667,-0.00372317541481482,0.000294014601851855
4,"per-block",0.9,"dataset","10",0.0930784160675926,0.0947905018657407,0.0958846266231481,0.00171208579814815,0.00280621055555555,0.0010941247574074
4,"per-block",0.95,"dataset","1",0.0600817145851852,0.0583259259777778,0.0646887988953704,-0.00175578860740741,0.00460708431018518,0.00636287291759259
4,"per-block",0.95,"dataset","2",0.0517937703925926,0.0502229927037037,0.0507919286583333,-0.00157077768888889,-0.00100184173425926,0.000568935954629625
4,"per-block",0.95,"dataset","3",0.0530529378388889,0.0538165277175926,0.0535910547037037,0.000763589878703702,0.000538116864814815,-0.000225473013888887
4,"per-block",0.95,"dataset","4",0.0484931015101852,0.0488143820564815,0.0486310415953704,0.0003212805462963,0.000137940085185188,-0.000183340461111112
4,"per-block",0.95,"dataset","5",0.0532425580444444,0.0593711208074074,0.0528641319287037,0.00612856276296297,-0.000378426115740738,-0.00650698887870371
4,"per-block",0.95,"dataset","6",0.0552749555574074,0.0620820313796296,0.0621589758555556,0.00680707582222222,0.00688402029814815,7.69444759259261e-05
4,"per-block",0.95,"dataset","7",0.06581659275,0.0706330812138889,0.0667768596555555,0.00481648846388889,0.000960266905555549,-0.00385622155833334
4,"per-block",0.95,"dataset","8",0.0623133410666667,0.0672493143435185,0.0629089004592593,0.00493597327685186,0.000595559392592593,-0.00434041388425926
4,"per-block",0.95,"dataset","9",0.0492050661083333,0.0476518271712963,0.0476043954212963,-0.00155323893703704,-0.00160067068703704,-4.74317500000002e-05
4,"per-block",0.95,"dataset","10",0.0495384334046296,0.0510432335111111,0.0512679206703704,0.00150480010648148,0.00172948726574074,0.00022468715925926
5,"per-block",0.9,"dataset","1",0.106735568927778,0.117336258158333,0.0873933470453704,0.0106006892305556,-0.0193422218824074,-0.029942911112963
5,"per-block",0.9,"dataset","2",0.102862534257407,0.148361725822222,0.118329055071296,0.0454991915648148,0.0154665208138889,-0.0300326707509259
5,"per-block",0.9,"dataset","3",0.241782574286111,0.203159255956481,0.105383342407407,-0.0386233183296296,-0.136399231878704,-0.0977759135490741
5,"per-block",0.9,"dataset","4",0.0967068792240741,0.09875747185,0.106125561346296,0.00205059262592593,0.00941868212222222,0.00736808949629629
5,"per-block",0.9,"dataset","5",0.146691332130556,0.142408996186111,0.118336789149074,-0.00428233594444444,-0.0283545429814815,-0.024072207037037
5,"per-block",0.9,"dataset","6",0.112780541839815,0.112644108025926,0.10994723144537,-0.000136433813888892,-0.00283331039444444,-0.00269687658055555
5,"per-block",0.9,"dataset","7",0.123914206273148,0.126007763217593,0.113687340199074,0.00209355694444445,-0.0102268660740741,-0.0123204230185185
5,"per-block",0.9,"dataset","8",0.140122107687963,0.13985893417963,0.128233932789815,-0.000263173508333325,-0.0118881748981481,-0.0116250013898148
5,"per-block",0.9,"dataset","9",0.112909934301852,0.112188074588889,0.150791775028704,-0.000721859712962958,0.0378818407268518,0.0386037004398148
5,"per-block",0.9,"dataset","10",0.164310214218519,0.171466497122222,0.115642968409259,0.00715628290370371,-0.0486672458092593,-0.055823528712963
5,"per-block",0.95,"dataset","1",0.0620600403296296,0.0736017508351852,0.0471980827453704,0.0115417105055556,-0.0148619575842593,-0.0264036680898148
5,"per-block",0.95,"dataset","2",0.0556540273694444,0.0998627016768519,0.0675121904046296,0.0442086743074074,0.0118581630351852,-0.0323505112722222
5,"per-block",0.95,"dataset","3",0.182362962934259,0.147638624912037,0.05823496415,-0.0347243380222222,-0.124127998784259,-0.089403660762037
5,"per-block",0.95,"dataset","4",0.0512373391546296,0.0535553789027778,0.0582248042009259,0.00231803974814815,0.0069874650462963,0.00466942529814815
5,"per-block",0.95,"dataset","5",0.0989386674138889,0.0936680903694444,0.0710148743777778,-0.00527057704444445,-0.0279237930361111,-0.0226532159916667
5,"per-block",0.95,"dataset","6",0.0667758963703704,0.0673248967074074,0.0640985057574074,0.000549000337037031,-0.00267739061296297,-0.00322639095
5,"per-block",0.95,"dataset","7",0.0752274842407407,0.0777433248907407,0.0662202055018519,0.00251584065,-0.00900727873888889,-0.0115231193888889
5,"per-block",0.95,"dataset","8",0.0962909900277778,0.096811147162963,0.0798893244314815,0.00052015713518519,-0.0164016655962963,-0.0169218227314815
5,"per-block",0.95,"dataset","9",0.0659872093407407,0.0657834906287037,0.103599066176852,-0.000203718712037046,0.0376118568361111,0.0378155755481482
5,"per-block",0.95,"dataset","10",0.108808246309259,0.121855084873148,0.0665944806472222,0.0130468385638889,-0.042213765662037,-0.0552606042259259
7,"per-block",0.9,"dataset","1",0.095771602237037,0.0946276218796296,0.094142769412037,-0.00114398035740741,-0.001628832825,-0.000484852467592584
