"setting","method","dataset","block","param","mean","sd","q025","q50","q975","truth","truth_is_generating","covered"
5,1,1,1,"beta0",11.2456040614237,0.189038717270868,10.8613434014664,11.2534503816313,11.5899319319294,10,TRUE,FALSE
5,1,1,1,"beta1",0.00442359867867092,0.0109179619751044,-0.0167983556063617,0.00434600286879936,0.0258975923704041,0,TRUE,TRUE
5,1,1,1,"beta2",-0.00242277076988826,0.0107610979276974,-0.0236678062230396,-0.00243659190122545,0.018589185349741,0,TRUE,TRUE
5,1,1,1,"lambda",2.89043080619627,0.304550098633413,2.37161158309403,2.86702963707087,3.56221484860888,3,TRUE,TRUE
5,1,1,1,"rho",1.07412199246746,0.145308492520772,0.828307397887927,1.06282719501296,1.37467190113898,1,TRUE,TRUE
5,1,1,1,"nu",0.481172052995471,0.0917551520384436,0.330084443794937,0.473639279056845,0.66488269154646,0.5,TRUE,TRUE
5,1,1,1,"gamma",0.905177938012014,0.0463622845392903,0.832089587837773,0.899291418089272,0.999447082906685,0.9,TRUE,TRUE
5,1,1,1,"tau.alpha",4.523605,0.402794958201857,3.55,4.6,5,3,TRUE,FALSE
5,1,1,1,"tau.beta",7.06980765270156,0.798653977108575,5.38434875898689,7.11746161559725,8.48071131536253,8,TRUE,TRUE
5,1,1,1,"phi.z1",NA,NA,NA,NA,NA,0.15,TRUE,NA
5,1,1,1,"phi.z2",NA,NA,NA,NA,NA,0.8,TRUE,NA
5,1,1,1,"phi.tau1",NA,NA,NA,NA,NA,0.15,TRUE,NA
5,1,1,1,"phi.tau2",NA,NA,NA,NA,NA,0.8,TRUE,NA
5,1,1,1,"phi.w1",NA,NA,NA,NA,NA,NA,FALSE,NA
5,1,1,1,"phi.w2",NA,NA,NA,NA,NA,NA,FALSE,NA
5,1,1,2,"beta0",11.1989577082791,0.119358910971663,10.9495205183133,11.2032773758543,11.4175541248427,10,TRUE,FALSE
5,1,1,2,"beta1",-0.00227910516484141,0.00721088766053472,-0.0163901003740768,-0.00218363158028775,0.0118503041250384,0,TRUE,TRUE
5,1,1,2,"beta2",-0.000415551721723546,0.0072631636112106,-0.0145215873256649,-0.000460240301308147,0.0139485238319596,0,TRUE,TRUE
5,1,1,2,"lambda",2.51229244487534,0.202358853007087,2.16896963242959,2.49486703601212,2.97664030153847,3,TRUE,FALSE
5,1,1,2,"rho",0.908516109858978,0.0921192769542579,0.746774784068391,0.900342511616337,1.11543321511268,1,TRUE,TRUE
5,1,1,2,"nu",0.57837091390692,0.0824973019060197,0.429791604197533,0.577716572792866,0.744230362445372,0.5,TRUE,TRUE
5,1,1,2,"gamma",0.867597874305606,0.0283593419630307,0.819597762930182,0.863796749086323,0.930168165711799,0.9,TRUE,TRUE
5,1,1,2,"tau.alpha",4.63173,0.324812649731722,3.8,4.7,5,3,TRUE,FALSE
5,1,1,2,"tau.beta",5.90741905510164,0.533524800941832,4.72630467360236,5.95211523643913,6.85557577405886,8,TRUE,FALSE
5,1,1,2,"phi.z1",NA,NA,NA,NA,NA,0.15,TRUE,NA
5,1,1,2,"phi.z2",NA,NA,NA,NA,NA,0.8,TRUE,NA
5,1,1,2,"phi.tau1",NA,NA,NA,NA,NA,0.15,TRUE,NA
5,1,1,2,"phi.tau2",NA,NA,NA,NA,NA,0.8,TRUE,NA
5,1,1,2,"phi.w1",NA,NA,NA,NA,NA,NA,FALSE,NA
5,1,1,2,"phi.w2",NA,NA,NA,NA,NA,NA,FALSE,NA
5,1,1,3,"beta0",11.292437150456,0.104111835952986,11.0746880060819,11.2977820622999,11.4854493543072,10,TRUE,FALSE
5,1,1,3,"beta1",-0.00716397000717274,0.00641740516908694,-0.0198562859445671,-0.00715832060552451,0.005465556352134,0,TRUE,TRUE
5,1,1,3,"beta2",-0.000933945610342067,0.0063634361574304,-0.0134556511608182,-0.000884772870898857,0.0115416974918375,0,TRUE,TRUE
5,1,1,3,"lambda",2.77892661151027,0.218713591655547,2.42751827479507,2.75545633851389,3.32696615366426,3,TRUE,TRUE
5,1,1,3,"rho",1.00453751050864,0.070451691495216,0.862124021229627,1.0048073884825,1.14876202732823,1,TRUE,TRUE
5,1,1,3,"nu",0.506132521794215,0.0479859192989151,0.418558689563411,0.501630003451064,0.622436375962977,0.5,TRUE,TRUE
5,1,1,3,"gamma",0.895790755787615,0.0209162116291858,0.85334862837357,0.894891665713098,0.939572498845707,0.9,TRUE,TRUE
5,1,1,3,"tau.alpha",4.782835,0.219073987767173,4.2,4.85,5,3,TRUE,FALSE
5,1,1,3,"tau.beta",6.02338272105785,0.399821826865999,5.15701215605112,6.05015408772283,6.74949392682626,8,TRUE,FALSE
5,1,1,3,"phi.z1",NA,NA,NA,NA,NA,0.15,TRUE,NA
5,1,1,3,"phi.z2",NA,NA,NA,NA,NA,0.8,TRUE,NA
5,1,1,3,"phi.tau1",NA,NA,NA,NA,NA,0.15,TRUE,NA
5,1,1,3,"phi.tau2",NA,NA,NA,NA,NA,0.8,TRUE,NA
5,1,1,3,"phi.w1",NA,NA,NA,NA,NA,NA,FALSE,NA
5,1,1,3,"phi.w2",NA,NA,NA,NA,NA,NA,FALSE,NA
5,1,1,4,"beta0",11.3395647695702,0.0898420797238249,11.1587834270226,11.3413933216289,11.5100260313451,10,TRUE,FALSE
5,1,1,4,"beta1",-0.00885518331570408,0.00595416238354486,-0.020398238792586,-0.00881606329238677,0.00275495517617993,0,TRUE,TRUE
5,1,1,4,"beta2",-0.00483905783384191,0.00582856633568731,-0.0160769905542876,-0.00488011041332,0.00666278320562396,0,TRUE,TRUE
5,1,1,4,"lambda",2.56288890467307,0.156308038946512,2.26411645547047,2.56063918158422,2.88100119221692,3,TRUE,FALSE
5,1,1,4,"rho",1.0206711325686,0.0679420193064033,0.899127741214377,1.01497998152973,1.15913554702092,1,TRUE,TRUE
5,1,1,4,"nu",0.505580547916276,0.045147254011177,0.417627908137499,0.507700399532692,0.591621279902554,0.5,TRUE,TRUE
5,1,1,4,"gamma",0.895967448695353,0.0200661996840171,0.861190644638708,0.893760819646382,0.939844885159156,0.9,TRUE,TRUE
5,1,1,4,"tau.alpha",4.810165,0.191031599695465,4.34875,4.85,5,3,TRUE,FALSE
5,1,1,4,"tau.beta",6.51725319869722,0.374899434926655,5.71200893786993,6.54085228281382,7.18753892117001,8,TRUE,FALSE
5,1,1,4,"phi.z1",NA,NA,NA,NA,NA,0.15,TRUE,NA
