"score","method","lead","rel_mean"
"crps",2,1,0.828733861395905
"crps",2,2,0.992634356069651
"crps",2,3,1.02439123092403
"crps",2,4,1.00881184568386
"crps",2,5,1.00371746639677
"crps",2,6,0.99768412504591
"crps",2,7,0.996403025411875
"crps",2,8,1.01093026378942
"crps",2,9,0.99308034140921
"crps",2,10,0.99670131427144
"crps",2,11,1.00172777696563
"crps",2,12,0.998520143121733
"crps",2,13,0.99898542845445
"crps",2,14,1.00679971597982
"crps",2,15,1.00706926870282
"crps",4,1,0.814568185234582
"crps",4,2,1.00945248121695
"crps",4,3,1.02655421907472
"crps",4,4,0.996566737150336
"crps",4,5,0.998733864384352
"crps",4,6,1.00900223608477
"crps",4,7,0.99610699899743
"crps",4,8,1.01554185124573
"crps",4,9,1.01230939748605
"crps",4,10,1.01509496044651
"crps",4,11,0.991196854298704
"crps",4,12,0.998082303113843
"crps",4,13,0.999226290378897
"crps",4,14,1.01567997063222
"crps",4,15,1.02372138567212
"brier",2,1,0.907699637155571
"brier",2,2,0.9927443313528
"brier",2,3,1.02650634065722
"brier",2,4,0.990672017760441
"brier",2,5,1.0018278999796
"brier",2,6,1.00388426898757
"brier",2,7,0.992501546037163
"brier",2,8,1.01408334657966
"brier",2,9,0.999176166219547
"brier",2,10,1.00735626011843
"brier",2,11,1.02238506877609
"brier",2,12,1.00488900311036
"brier",2,13,1.00351219017386
"brier",2,14,1.02221799980584
"brier",2,15,1.006063475739
"brier",4,1,0.92368667783654
"brier",4,2,0.977451723373058
"brier",4,3,0.998489605729915
"brier",4,4,1.02933251696474
"brier",4,5,1.03126110855764
"brier",4,6,1.01835798229291
"brier",4,7,1.00878470849699
"brier",4,8,1.0243088847132
"brier",4,9,1.0147554326594
"brier",4,10,1.01821763585847
"brier",4,11,1.00007138423197
"brier",4,12,1.01601065025159
"brier",4,13,1.00891817908518
"brier",4,14,1.03920887085191
"brier",4,15,1.0288623422917
