"setting","score","lead","iid","AR2","AR1","AR1-iid","AR2-iid","AR2-AR1"
5,"CRPS",1,2.11789344982296,1.4759857533642,1.73699042153126,-0.380903028291701,-0.641907696458765,-0.261004668167063
5,"CRPS",2,2.47937908685378,1.45022121700264,1.93490076528533,-0.544478321568449,-1.02915786985115,-0.4846795482827
5,"CRPS",3,2.27738264599577,1.67568520093315,1.98631239020854,-0.291070255787233,-0.601697445062618,-0.310627189275385
5,"CRPS",4,2.33462282889596,1.48935584872218,2.09564443501554,-0.238978393880422,-0.845266980173788,-0.606288586293366
5,"CRPS",5,2.56795347385371,1.89726353025109,2.34589220503716,-0.22206126881655,-0.670689943602622,-0.448628674786072
5,"CRPS",6,2.76509920247997,2.03656928123193,2.63897279499299,-0.12612640748698,-0.72852992124804,-0.60240351376106
5,"CRPS",7,2.70095126595174,2.19866379852436,2.6038715311118,-0.0970797348399381,-0.50228746742738,-0.405207732587442
5,"CRPS",8,2.56183370584338,2.03011454174702,2.5341689076788,-0.0276647981645834,-0.531719164096356,-0.504054365931773
5,"CRPS",9,2.92794325115949,2.55705517586724,2.91807463829229,-0.0098686128671992,-0.370888075292252,-0.361019462425053
5,"CRPS",10,2.91840452542571,2.34317095137801,2.94085248919531,0.0224479637695918,-0.575233574047705,-0.597681537817297
5,"CRPS",11,2.62522122642242,2.29907253738197,2.65587280908225,0.0306515826598321,-0.326148689040453,-0.356800271700285
5,"CRPS",12,2.59330577333854,2.04449578798278,2.62104390068954,0.0277381273509962,-0.54880998535576,-0.576548112706756
5,"CRPS",13,2.27151179721506,2.01620160410465,2.3389373477664,0.0674255505513379,-0.255310193110404,-0.322735743661742
5,"CRPS",14,2.79943578562906,2.3398746014842,2.8363636848648,0.0369278992357409,-0.459561184144853,-0.496489083380594
5,"CRPS",15,2.35978643131621,2.05407435780138,2.39602212551612,0.0362356941999176,-0.305712073514826,-0.341947767714744
5,"Brier95",1,0.0557317532708333,0.0452292531972222,0.048188980425,-0.00754277284583334,-0.0105025000736111,-0.00295972722777778
5,"Brier95",2,0.0561266344236111,0.0392221438638889,0.0493746344097222,-0.00675200001388889,-0.0169044905597222,-0.0101524905458333
5,"Brier95",3,0.0584388827430556,0.0532306534625,0.0558028404111111,-0.00263604233194445,-0.00520822928055556,-0.00257218694861111
5,"Brier95",4,0.0340958630930556,0.0242936927763889,0.0340650046013889,-3.08584916666604e-05,-0.00980217031666666,-0.009771311825
5,"Brier95",5,0.0734858199486111,0.0643927734013889,0.0717974103736111,-0.00168840957500001,-0.00909304654722222,-0.00740463697222221
5,"Brier95",6,0.0822072999930556,0.0677125443541667,0.0828008799375,0.00059357994444445,-0.0144947556388889,-0.0150883355833333
5,"Brier95",7,0.0809303181513889,0.0722973645444444,0.0820968554611111,0.00116653730972223,-0.00863295360694445,-0.00979949091666668
5,"Brier95",8,0.063121848375,0.0576204270013889,0.0669224756986111,0.00380062732361111,-0.00550142137361111,-0.00930204869722222
5,"Brier95",9,0.0940767412638889,0.0867859693138889,0.0965778053763889,0.00250106411250001,-0.00729077195,-0.0097918360625
5,"Brier95",10,0.0931438023430556,0.0795182991722222,0.0971559777402778,0.00401217539722222,-0.0136255031708333,-0.0176376785680556
5,"Brier95",11,0.0772989350875,0.0724182825375,0.0832366415513889,0.00593770646388889,-0.00488065255,-0.0108183590138889
5,"Brier95",12,0.0564023589902778,0.0431615938916667,0.0608882197694444,0.00448586077916667,-0.0132407650986111,-0.0177266258777778
5,"Brier95",13,0.0478657167375,0.0458788115888889,0.0552658199916667,0.00740010325416667,-0.00198690514861111,-0.00938700840277778
5,"Brier95",14,0.0867811445902778,0.0771606862902778,0.0924987656916667,0.00571762110138889,-0.0096204583,-0.0153380794013889
5,"Brier95",15,0.0604847627319444,0.0577520425125,0.0668981287722222,0.00641336604027777,-0.00273272021944445,-0.00914608625972222
