"score","method","lead","rel_mean"
"crps",2,1,0.86312849990186
"crps",2,2,0.881968879477041
"crps",2,3,0.917667946582548
"crps",2,4,0.913472958638179
"crps",2,5,0.941222283551297
"crps",2,6,0.944313827002763
"crps",2,7,0.957613745417812
"crps",2,8,0.954384441566035
"crps",2,9,0.949438266549337
"crps",2,10,0.952999638144006
"crps",2,11,0.936669798160449
"crps",2,12,0.9814868406954
"crps",2,13,0.94861177558126
"crps",2,14,1.02828862457092
"crps",2,15,1.04069110595885
"crps",4,1,0.811237519858558
"crps",4,2,0.866974642131946
"crps",4,3,0.940873690404139
"crps",4,4,0.949440995221949
"crps",4,5,0.996640588576386
"crps",4,6,0.967760449072864
"crps",4,7,0.982022779800427
"crps",4,8,0.984920494065881
"crps",4,9,1.00199396172747
"crps",4,10,1.01918389686206
"crps",4,11,1.0411360189318
"crps",4,12,1.05736337466636
"crps",4,13,0.988411392908731
"crps",4,14,1.06718450458354
"crps",4,15,1.04662429923053
"brier",2,1,0.980580408485432
"brier",2,2,1.02209724430521
"brier",2,3,0.990255238685903
"brier",2,4,0.99616656242782
"brier",2,5,1.02107734995318
"brier",2,6,1.01272105589573
"brier",2,7,1.00083425842889
"brier",2,8,0.990713893667776
"brier",2,9,1.00162248254365
"brier",2,10,1.00048863794571
"brier",2,11,1.02424351236176
"brier",2,12,1.10450629178417
"brier",2,13,0.955392431869546
"brier",2,14,1.1685360171147
"brier",2,15,1.05604320508897
"brier",4,1,0.95772406298744
"brier",4,2,0.988896697185392
"brier",4,3,1.01102248704506
"brier",4,4,0.996168780809552
"brier",4,5,1.04226855403426
"brier",4,6,0.988801517139195
"brier",4,7,1.0399266180369
"brier",4,8,1.01159044162984
"brier",4,9,1.05216826456592
"brier",4,10,1.06855201116432
"brier",4,11,1.13311263988721
"brier",4,12,1.1407915295221
"brier",4,13,0.977978873781338
"brier",4,14,1.17249476048153
"brier",4,15,1.10014210552369
