"setting","dataset","method","block","lambda","beta0","zbar","z_pred","z_ratio","sdz_ratio","phi1.z","phi2.z","phi1.tau","phi2.tau","sd_lead1","sd_lead_max","mu_recon","data_mean"
4,"8","4","4",2.90540338178336,10.0195807161108,1.49294815762156,1.50659983837936,0.990938748027155,1.19647304952761,0.52778543274945,NA,0.545972824487689,NA,3.38137072228072,4.72922937532523,14.3571973420917,14.2984610787885
4,"9","4","4",2.36546318024184,10.3175731549792,1.65059921814159,1.47583940780327,1.11841383921198,1.09125733688023,0.535601637736057,NA,0.625890872236127,NA,4.6611558813994,4.6611558813994,14.2220048308291,14.1317081674546
4,"10","4","4",3.23862824371695,9.72971592520295,1.5790700059685,1.52400643235612,1.0361308013164,1.34484280513284,0.598024369956313,NA,0.543714806153674,NA,4.66229990334545,4.98497249763607,14.8437366453388,14.8590118020359
4,"1","1","5",2.7341341342082,10.3206687518908,1.61292473777309,1.58573897254448,1.01714390936927,1.34024320331822,NA,NA,NA,NA,4.76868898441851,4.76868898441851,14.730621333345,14.6799841153715
4,"2","1","5",2.76677709013299,10.1504743760332,1.57011688269622,1.48665228275,1.05614265078302,1.0678901005364,NA,NA,NA,NA,4.22567076375234,4.55479995446161,14.4946377959081,14.4677175898714
4,"3","1","5",2.83897531206562,10.2636389993038,1.49623808573327,1.48720119593817,1.00607644064554,1.1350959820491,NA,NA,NA,NA,4.33679096124228,4.49019876207488,14.5114219856729,14.56421488074
4,"4","1","5",2.93111008808615,9.79471856399739,1.40874770727821,1.43192853515927,0.983811463133892,1.0025696298885,NA,NA,NA,NA,4.04241862445066,4.21191779944836,13.9239131803688,13.9132338318166
4,"5","1","5",3.3824652907159,9.85458517247232,1.54593507775128,1.55304291786009,0.995423281593142,1.04336179549246,NA,NA,NA,NA,5.21542899321315,5.21542899321315,15.0836569146662,15.0387651586778
4,"6","1","5",2.81849755231222,10.2275877601617,1.56347629938541,1.52250599897449,1.0269097792971,1.07328804222712,NA,NA,NA,NA,4.6024144689747,4.88970352454145,14.6342418830776,14.6321419713302
4,"7","1","5",2.78447365205353,10.066149830428,1.49390244122778,1.46056831949736,1.02282270626128,1.20485725627276,NA,NA,NA,NA,4.07373055008304,4.14529663090217,14.2258818167652,14.1850718633349
4,"8","1","5",2.69396478973817,10.1159655863669,1.56280493884866,1.51491845196483,1.0316099436387,1.20556023628345,NA,NA,NA,NA,4.16828951958445,4.38667437261487,14.3261070648541,14.3045270508221
4,"9","1","5",2.89707292419282,10.3460320704778,1.52732041209625,1.48286091528853,1.02998224334416,1.09367432910611,NA,NA,NA,NA,4.3761092051099,4.43737000504479,14.7707906829288,14.7029618439294
4,"10","1","5",3.06418765512958,9.85657063956297,1.61097657056706,1.51597779450543,1.06266501818559,1.35746921682022,NA,NA,NA,NA,4.5128434455581,4.60040797932635,14.7929051597975,14.8547409488577
4,"1","2","5",2.83834753918836,10.2403518982397,1.58751476235778,1.58508012363904,1.00153597201961,1.30064840321292,0.660708779478099,-0.190190747052357,0.871459900416554,-0.419965523891071,3.1811036816205,4.86727014046447,14.7462705174031,14.6799841153715
4,"2","2","5",2.71895610362213,10.0929233288899,1.62116169580638,1.4866294140305,1.09049483382085,1.08936966623965,0.694382861642471,-0.226874968628156,0.753215603180434,-0.383671499385201,2.75232471613627,4.41831215856889,14.5007908166611,14.4677175898714
4,"3","2","5",2.99271136016482,10.2689324642889,1.42270491850104,1.48276044492587,0.959497485497168,1.08679612081423,0.660388619854316,-0.202988362794247,0.708138253284755,-0.301388568245132,3.83749210620111,4.58282017896504,14.5266776360494,14.56421488074
4,"4","2","5",2.85157708903357,9.79907115316131,1.44635376457941,1.4329955542609,1.00932187840974,1.0301313706246,0.800767017924596,-0.354115799665939,0.744395449894263,-0.175957329312417,2.60256155287204,4.05695568759878,13.9234604108734,13.9132338318166
4,"5","2","5",3.1990676534354,9.89708650979143,1.62466385478507,1.55293785865269,1.04618729315712,1.10549083970321,0.920672334840349,-0.438378925840264,0.755860188475169,-0.295714273366779,2.82294702733604,5.28767881791606,15.09449609534,15.0387651586778
4,"6","2","5",2.85800206853252,10.1682366430489,1.56514916142451,1.51832673178492,1.03083817775147,1.06498253088316,0.739453650902009,-0.29518348454319,0.853010508009198,-0.365852964510707,3.51652557666923,4.75681209075067,14.6414361839621,14.6321419713302
4,"7","2","5",3.00037794178601,10.0472773479893,1.39689408802317,1.45829468047899,0.957895620632961,1.12498717458117,0.701952813675466,-0.324840787913866,0.633197434248086,-0.296409031126861,4.166286680366,4.55208461085512,14.2384875567053,14.1850718633349
4,"8","2","5",2.75989929301931,10.0773669614084,1.54495399736604,1.51173355646854,1.02197506349935,1.18433004081039,0.645104657614553,-0.283665624893626,0.775320106830276,-0.381049463617718,4.16358630666554,4.43328330584654,14.3412844064863,14.3045270508221
4,"9","2","5",2.9833346370219,10.3137149919936,1.49620890893773,1.48072782720227,1.01045504882873,1.06824038699783,0.75923416644118,-0.253037898766403,0.75050564740505,-0.220129561839407,2.76777942521382,4.56000630608763,14.7774068542482,14.7029618439294
4,"10","2","5",3.12657589156146,9.79773604255602,1.59898877086048,1.515051052748,1.05540256743179,1.33337450620314,0.785531633277266,-0.297508647184672,0.75693374818747,-0.417253461252406,4.38605580683607,6.42582165446305,14.7970957844059,14.8547409488577
4,"1","4","5",2.70884453398814,10.2208897557382,1.66307681160205,1.58562888146703,1.04884366767043,1.35660675945373,0.536832006770588,NA,0.607114904159202,NA,3.17884010212213,4.68088088172452,14.7259062864488,14.6799841153715
4,"2","4","5",2.80543818145386,10.0485517842423,1.60279797990969,1.48524401948753,1.07914791029607,1.06754920769761,0.586626653094309,NA,0.53875070984352,NA,2.61239652469899,4.50326658481071,14.5451024342381,14.4677175898714
4,"3","4","5",2.9208556492325,10.2490457580325,1.46136629045052,1.48368417074396,0.984957795780589,1.10944193916184,0.538656089938199,NA,0.531778979584841,NA,3.837971866231,4.50073164477744,14.5174857430928,14.56421488074
4,"4","4","5",2.88378854428988,9.74966143373858,1.46501544255097,1.43429786394066,1.0214164570572,1.02828727381518,0.581627126113104,NA,0.625617602286316,NA,3.04522251390837,4.13170092932927,13.9744561841748,13.9132338318166
4,"5","4","5",3.49400719052605,9.86068907271649,1.50598438057587,1.55111720077346,0.970903023849467,1.01976251858633,0.638197923020473,NA,0.57349886341329,NA,2.87401487762303,5.37254774855886,15.1226093272685,15.0387651586778
4,"6","4","5",2.8491727424389,10.0989843545158,1.59203532778079,1.51962073491528,1.04765306974411,1.06632183318148,0.579803471735577,NA,0.616144279710206,NA,3.41628886105514,4.95342812045733,14.6349680154286,14.6321419713302
4,"7","4","5",2.82264184895351,10.0461257980034,1.48648473501069,1.45872005537582,1.0190335901207,1.19642356466307,0.505491214719663,NA,0.489073232250216,NA,3.7239975204803,4.21136711362311,14.2419398188751,14.1850718633349
4,"8","4","5",2.66174411512282,10.0569278893,1.60592679125514,1.51480880247633,1.06015147827888,1.22181746263096,0.497802821802844,NA,0.549694676716118,NA,4.08545626966236,4.52567226768959,14.3314940752414,14.3045270508221
4,"9","4","5",2.93662389587989,10.2414752957986,1.54618900700437,1.48155268830302,1.04362741818881,1.0852148983025,0.613005544831899,NA,0.610475763476607,NA,3.18425138952094,4.49528350042145,14.7820508813144,14.7029618439294
4,"10","4","5",3.2045529090581,9.75714519844671,1.57522447948697,1.51472318415512,1.03994214650223,1.30240692943555,0.618851561115669,NA,0.532854252793135,NA,3.44300626390931,4.86226679251585,14.8050353866062,14.8547409488577
