"score","method","lead","rel_mean"
"crps",2,1,0.696912185779496
"crps",2,2,0.584913063392375
"crps",2,3,0.735794313651877
"crps",2,4,0.637942810413829
"crps",2,5,0.738823171669024
"crps",2,6,0.736526660383601
"crps",2,7,0.814033124640482
"crps",2,8,0.792445870751275
"crps",2,9,0.873328120295577
"crps",2,10,0.802894503131366
"crps",2,11,0.875763350624389
"crps",2,12,0.788374363332698
"crps",2,13,0.887603404295139
"crps",2,14,0.835837926162115
"crps",2,15,0.870449262078216
"crps",4,1,0.820150051305205
"crps",4,2,0.780397308158565
"crps",4,3,0.872190887069852
"crps",4,4,0.8976372581804
"crps",4,5,0.913525976588936
"crps",4,6,0.954386299278572
"crps",4,7,0.964057206043023
"crps",4,8,0.989201173323045
"crps",4,9,0.996629506783203
"crps",4,10,1.00769186162303
"crps",4,11,1.01167580939516
"crps",4,12,1.01069604966609
"crps",4,13,1.02968311704742
"crps",4,14,1.01319119353454
"crps",4,15,1.01535549731071
"brier",2,1,0.770737945037685
"brier",2,2,0.649471448056268
"brier",2,3,0.857766922671128
"brier",2,4,0.671715289903783
"brier",2,5,0.836465880838239
"brier",2,6,0.788644066436421
"brier",2,7,0.864839163841089
"brier",2,8,0.867102806954459
"brier",2,9,0.904165552901426
"brier",2,10,0.832729279357661
"brier",2,11,0.923578672990384
"brier",2,12,0.758150856682723
"brier",2,13,0.921097420160511
"brier",2,14,0.873220646247975
"brier",2,15,0.935467715185771
"brier",4,1,0.853037086962154
"brier",4,2,0.844193927657272
"brier",4,3,0.93081962169423
"brier",4,4,0.963878890825145
"brier",4,5,0.964963911462548
"brier",4,6,0.995734562821769
"brier",4,7,1.0085883847571
"brier",4,8,1.04837521525262
"brier",4,9,1.02459408282437
"brier",4,10,1.03965983900563
"brier",4,11,1.0707085549066
"brier",4,12,1.07167751054966
"brier",4,13,1.13442748439417
"brier",4,14,1.05583405443074
"brier",4,15,1.08560686516858
