"score","method","lead","rel_mean"
"crps",2,1,1.37441135365783
"crps",2,2,1.61626105655701
"crps",2,3,2.67821697091291
"crps",2,4,2.63451996273619
"crps",2,5,2.64333052646672
"crps",2,6,2.58246804265135
"crps",2,7,2.12754375545894
"crps",2,8,2.92160189137058
"crps",2,9,3.4287681762103
"crps",2,10,2.78119882961433
"crps",2,11,2.38995337720491
"crps",2,12,2.86137329031988
"crps",2,13,2.7359618500962
"crps",2,14,3.21288830265182
"crps",2,15,4.38189424719905
"brier",2,1,1.22263551398412
"brier",2,2,1.31271801258554
"brier",2,3,4.38154727673601
"brier",2,4,2.219290000765
"brier",2,5,2.06989601274235
"brier",2,6,2.98666002764026
"brier",2,7,1.6253219056892
"brier",2,8,2.4126276466623
"brier",2,9,3.57358728633948
"brier",2,10,1.67601224010323
"brier",2,11,1.28791928195838
"brier",2,12,1.81104384314189
"brier",2,13,2.16481564647827
"brier",2,14,2.81181038924383
"brier",2,15,4.25671506845935
