"setting","rule","prob","margin","level","iid","AR1","AR2","AR1-iid","AR2-iid","AR2-AR1"
5,"full-series",0.9,"dataset","1",0.0588584602657407,0.0708967366666667,0.0473592036861111,0.0120382764009259,-0.0114992565796296,-0.0235375329805556
5,"full-series",0.9,"dataset","2",0.183702881067593,0.143888799015741,0.105011817249074,-0.0398140820518519,-0.0786910638185185,-0.0388769817666667
5,"full-series",0.9,"dataset","3",0.0849048065064815,0.0800067574759259,0.0532805697268518,-0.00489804903055556,-0.0316242367796296,-0.0267261877490741
5,"full-series",0.9,"dataset","4",0.146028270774074,0.144150397736111,0.123805170636111,-0.00187787303796297,-0.022223100137963,-0.0203452271
5,"full-series",0.9,"dataset","5",0.100905395960185,0.0984870941759259,0.0855572826722222,-0.00241830178425927,-0.015348113287963,-0.0129298115037037
5,"full-series",0.9,"dataset","6",0.107801280991667,0.101375113897222,0.099326748375,-0.00642616709444445,-0.00847453261666667,-0.00204836552222222
5,"full-series",0.9,"dataset","7",0.0674360323509259,0.0663604724527778,0.0586479809490741,-0.00107555989814814,-0.00878805140185184,-0.0077124915037037
5,"full-series",0.9,"dataset","8",0.13202472465,0.129272320709259,0.0966245891351852,-0.00275240394074075,-0.0354001355148148,-0.0326477315740741
5,"full-series",0.9,"dataset","9",0.155150195017593,0.155004520450926,0.109283277994444,-0.00014567456666667,-0.0458669170231481,-0.0457212424564815
5,"full-series",0.9,"dataset","10",0.170410877497222,0.198693201219444,0.170353432353704,0.0282823237222222,-5.74451435185197e-05,-0.0283397688657407
5,"full-series",0.95,"dataset","1",0.0179555376833333,0.0278009547333333,0.0137039821481481,0.00984541705,-0.00425155553518519,-0.0140969725851852
5,"full-series",0.95,"dataset","2",0.115146373600926,0.106900689837963,0.0991377966583333,-0.00824568376296296,-0.0160085769425926,-0.00776289317962964
5,"full-series",0.95,"dataset","3",0.0203087395111111,0.0192104831592593,0.0109455903018519,-0.00109825635185185,-0.00936314920925926,-0.00826489285740741
5,"full-series",0.95,"dataset","4",0.0900936511953704,0.089765164125,0.0849929470064815,-0.000328487070370365,-0.00510070418888889,-0.00477221711851852
5,"full-series",0.95,"dataset","5",0.059151827837037,0.0578275293944444,0.0538473290953704,-0.0013242984425926,-0.00530449874166667,-0.00398020029907407
5,"full-series",0.95,"dataset","6",0.0672968976583333,0.0635303484268518,0.0618042964935185,-0.00376654923148148,-0.00549260116481481,-0.00172605193333333
5,"full-series",0.95,"dataset","7",0.0326259672351852,0.0320840936962963,0.0289240634194444,-0.000541873538888883,-0.00370190381574074,-0.00316003027685186
5,"full-series",0.95,"dataset","8",0.0830622652759259,0.0859050935583333,0.0628386211657407,0.00284282828240741,-0.0202236441101852,-0.0230664723925926
5,"full-series",0.95,"dataset","9",0.0899942801361111,0.0898816171703704,0.0696364550537037,-0.000112662965740751,-0.0203578250824074,-0.0202451621166667
5,"full-series",0.95,"dataset","10",0.104492381028704,0.122807652705556,0.105285277262963,0.0183152716768518,0.000792896234259266,-0.0175223754425926
7,"full-series",0.9,"dataset","1",0.156574645609259,0.151779208909259,0.150541710672222,-0.00479543670000002,-0.00603293493703705,-0.00123749823703703
