"prob","setting","leads","n","iid","AR1","AR2","delta_AR2_iid","lo_AR2_iid","hi_AR2_iid","tp_AR2_iid","wp_AR2_iid","delta_AR2_AR1","lo_AR2_AR1","hi_AR2_AR1","tp_AR2_AR1","wp_AR2_AR1"
0.9,4,"1-5",10,0.0852359895913889,0.0847404610302778,0.0842922799225,-0.000943709668888888,-0.00824885554670761,0.00636143620892984,0.776731671652933,0.838463781922464,-0.000448181107777777,-0.0048189850656815,0.00392262285012594,0.821756658006148,0.838463781922464
0.9,4,"1-15",10,0.0875462333993519,0.088336896652037,0.0875452262911111,-1.00710824074424e-06,-0.00252181803215841,0.00251980381567692,0.999298610307231,1,-0.000791670360925926,-0.00312468862254507,0.00154134790069322,0.462373020974976,0.610298655976554
0.9,5,"1-5",10,0.106004408992222,0.0931400724302778,0.0740181547755556,-0.0319862542166667,-0.0532231763267147,-0.0107493321066186,0.00778434389844328,0.00592153702414871,-0.0191219176547222,-0.0308936644056986,-0.00735017090374582,0.00511795242717078,0.00592153702414871
0.9,5,"1-15",10,0.120722292508148,0.11881354138,0.0949250072777778,-0.0257972852303704,-0.0424975196101795,-0.00909705085056127,0.00678287785507748,0.00592153702414871,-0.0238885341022222,-0.033654427158917,-0.0141226410455274,0.000364083936411948,0.00592153702414871
0.9,7,"1-5",10,0.0982167444044444,0.0966534458216667,0.0975900352961111,-0.000626709108333331,-0.00612855263410146,0.0048751344174348,0.802449092616991,0.540817904242618,0.000936589474444447,-0.00384217529449723,0.00571535424338613,0.667971665760269,0.918812683274642
0.9,7,"1-15",10,0.102379849300278,0.104325549184352,0.102241043771759,-0.000138805528518519,-0.00502090482515056,0.00474329376811352,0.950124049663819,0.475532659596901,-0.00208450541259259,-0.00879684452581747,0.00462783370063228,0.500126636056971,0.540817904242618
0.95,4,"1-5",10,0.0504716180861111,0.0502170359686111,0.0496119812202778,-0.000859636865833333,-0.00514826773331538,0.00342899400164872,0.660967497002656,0.540817904242618,-0.000605054748333333,-0.00306863537028864,0.00185852587362197,0.59203480423714,0.475532659596901
0.95,4,"1-15",10,0.0466682463612037,0.0471031285835185,0.0465914512263889,-7.67951348148166e-05,-0.00148398586022944,0.00133039559059981,0.904461025314649,0.683480902201426,-0.000511677357129629,-0.00172260538935441,0.000699250675095153,0.364104963236978,0.262192602406773
0.95,5,"1-5",10,0.0555757906958333,0.0518457740441667,0.0452737033402778,-0.0103020873555556,-0.0159441983386178,-0.00465997637249327,0.00255744516605881,0.00592153702414871,-0.00657207070388889,-0.011568131216085,-0.00157601019169278,0.0155563754704208,0.00804523748656169
0.95,5,"1-15",10,0.0680127921162037,0.0695713626807407,0.0591116358605556,-0.00890115625564815,-0.0141892421238902,-0.00361307038740609,0.00416736055248028,0.00804523748656169,-0.0104597268201852,-0.0159688535102922,-0.00495060013007814,0.00200538649826572,0.00592153702414871
0.95,7,"1-5",10,0.0528770662691667,0.0532345457594444,0.0533642298066667,0.0004871635375,-0.00228380660469292,0.00325813367969292,0.700112744557748,0.683480902201426,0.000129684047222223,-0.00218885868679512,0.00244822678123956,0.902093926291818,0.918812683274642
0.95,7,"1-15",10,0.055649062177037,0.0582609129675,0.0569444631535185,0.00129540097648148,-0.00154040442786907,0.00413120638083203,0.328404315455942,0.759765825978067,-0.00131644981398148,-0.00597711907465036,0.00334421944668739,0.538763677183824,0.262192602406773
