"setting","method","dataset","block","param","mean","sd","q025","q50","q975","truth","truth_is_generating","covered"
7,1,1,4,"beta2",0.0156385747359741,0.00871768160979536,-0.0014621487492165,0.0156509676271026,0.032757279591561,0,TRUE,TRUE
7,1,1,4,"lambda",1.61385498789758,0.106805814100728,1.41923179901825,1.6091607794063,1.84229619018811,3,TRUE,FALSE
7,1,1,4,"rho",1.14422014898288,0.072608045492272,1.00993830359338,1.14438800566905,1.29114285841081,1,TRUE,FALSE
7,1,1,4,"nu",0.432170533860142,0.0357985752315142,0.367919205113059,0.429503873798354,0.506937649600291,0.5,TRUE,TRUE
7,1,1,4,"gamma",0.939043116109686,0.0213015460823788,0.898835895695224,0.938668962008453,0.982957454577023,0.9,TRUE,TRUE
7,1,1,4,"tau.alpha",4.81565,0.190142559463398,4.3,4.85,5,3,TRUE,FALSE
7,1,1,4,"tau.beta",13.461154283357,0.78732170939165,11.7665310423718,13.5041744699736,14.911473551651,8,TRUE,FALSE
7,1,1,4,"phi.z1",NA,NA,NA,NA,NA,0.580645161290323,FALSE,NA
7,1,1,4,"phi.z2",NA,NA,NA,NA,NA,0.290322580645161,FALSE,NA
7,1,1,4,"phi.tau1",NA,NA,NA,NA,NA,0.580645161290323,FALSE,NA
7,1,1,4,"phi.tau2",NA,NA,NA,NA,NA,0.290322580645161,FALSE,NA
7,1,1,4,"phi.w1",NA,NA,NA,NA,NA,NA,FALSE,NA
7,1,1,4,"phi.w2",NA,NA,NA,NA,NA,NA,FALSE,NA
7,1,1,5,"beta0",10.0523696605329,0.117273316219891,9.81342624725238,10.05411997428,10.2743073188899,10,TRUE,TRUE
7,1,1,5,"beta1",0.00978431118408385,0.00786954289008496,-0.00585395833671711,0.00976838979196523,0.0254253355444212,0,TRUE,TRUE
7,1,1,5,"beta2",0.0128798564695832,0.00782152482428515,-0.00240605626339344,0.0129035391617217,0.0281802671803385,0,TRUE,TRUE
7,1,1,5,"lambda",1.87111742823504,0.128143448463965,1.63367555020946,1.86448951312021,2.13769632616393,3,TRUE,FALSE
7,1,1,5,"rho",1.12510220035079,0.0766001051520252,0.992666274622061,1.11780699601435,1.29970957913808,1,TRUE,TRUE
7,1,1,5,"nu",0.45252330677607,0.0400565893809103,0.362572449891627,0.452982479259555,0.528417116293024,0.5,TRUE,TRUE
7,1,1,5,"gamma",0.928569917841784,0.0230974138776703,0.891048986501713,0.926124236138893,0.987745772932552,0.9,TRUE,TRUE
7,1,1,5,"tau.alpha",4.84993,0.159666979850079,4.45,4.9,5,3,TRUE,FALSE
7,1,1,5,"tau.beta",13.4784703030634,0.679309008984407,12.0013057866823,13.5170422535834,14.6994711939303,8,TRUE,FALSE
7,1,1,5,"phi.z1",NA,NA,NA,NA,NA,0.580645161290323,FALSE,NA
7,1,1,5,"phi.z2",NA,NA,NA,NA,NA,0.290322580645161,FALSE,NA
7,1,1,5,"phi.tau1",NA,NA,NA,NA,NA,0.580645161290323,FALSE,NA
7,1,1,5,"phi.tau2",NA,NA,NA,NA,NA,0.290322580645161,FALSE,NA
7,1,1,5,"phi.w1",NA,NA,NA,NA,NA,NA,FALSE,NA
7,1,1,5,"phi.w2",NA,NA,NA,NA,NA,NA,FALSE,NA
7,1,10,1,"beta0",12.0305039853329,0.298583748034674,11.371207367301,12.0519269530068,12.5617839935415,10,TRUE,FALSE
7,1,10,1,"beta1",-0.0163841115563986,0.0169134690379947,-0.0495262319922581,-0.0164034065423392,0.0169759601402522,0,TRUE,TRUE
7,1,10,1,"beta2",0.0178404152257554,0.0168451755022635,-0.0147919083059248,0.0177720323478902,0.0509355742082263,0,TRUE,TRUE
7,1,10,1,"lambda",2.99785544337022,0.346427469033459,2.43392372788054,2.95560729949151,3.76926818798504,3,TRUE,TRUE
7,1,10,1,"rho",0.867043181907987,0.103650202174641,0.700315863290784,0.85655907089621,1.09979250865546,1,TRUE,TRUE
7,1,10,1,"nu",0.595364762954558,0.100529767137401,0.414035587182893,0.588771160827295,0.797902268576786,0.5,TRUE,TRUE
7,1,10,1,"gamma",0.862432623816198,0.0346282103343895,0.805850717021722,0.858933938011594,0.93895856995548,0.9,TRUE,TRUE
7,1,10,1,"tau.alpha",2.66681,0.49868105255686,1.8,2.65,3.75,3,TRUE,TRUE
