"setting","method","block","parameter","n_datasets","mean_post_mean","median_post_mean","sd_post_mean","mean_post_sd"
5,1,1,"beta0",10,11.1633202129012,10.7701032768367,1.12723805651388,0.235897615871998
5,1,2,"beta0",10,11.1727392593914,10.821885407336,1.20741200998272,0.187757450344464
5,1,3,"beta0",10,10.7986076088984,10.7455108216704,0.699125784230488,0.158655260404417
5,1,4,"beta0",10,10.7869535525038,10.620075955395,0.747256400384106,0.135707663533678
5,1,5,"beta0",10,10.6656614109019,10.7235958872495,0.524117633446362,0.126678213608713
5,2,1,"beta0",10,10.5991551586767,10.513175377227,0.692004452218777,0.645556005072956
5,2,2,"beta0",10,10.5840033373914,10.2542500217613,0.765972121717856,0.491979267216699
5,2,3,"beta0",10,10.1137611071934,10.0483611384401,0.605349946082468,0.443648273948429
5,2,4,"beta0",10,10.4036396439578,10.350124285722,0.600161949040746,0.352617349233637
5,2,5,"beta0",10,10.2409453560167,10.227768782955,0.540103478525393,0.326865866543952
5,4,1,"beta0",10,11.0820131257563,10.8512541624394,1.10379808614226,0.289599242551146
5,4,2,"beta0",10,11.0003626799166,10.9282084031999,1.22930830426668,0.289833699985033
5,4,3,"beta0",10,10.1395790310756,10.1987698464552,0.899080852502205,0.384159582070426
5,4,4,"beta0",10,10.3196739476805,10.2539102299159,0.812284858993086,0.318694926986985
5,4,5,"beta0",10,10.2707202529563,10.3064521388758,0.973646001959581,0.229499803742667
5,1,1,"beta1",10,0.000528792903278152,-0.00081439989109705,0.0117615756763081,0.0145351525190507
5,1,2,"beta1",10,0.00131757299182752,-0.000337657445089234,0.0114864151528469,0.011149550547854
5,1,3,"beta1",10,-0.00265118680258016,-0.00331241302329611,0.00988628618829221,0.00952381056653958
5,1,4,"beta1",10,-0.00305791695827244,-0.00320301116546764,0.00798741845158918,0.00827981025211837
5,1,5,"beta1",10,-0.00312784805780569,-0.00253876428466241,0.00534740309497995,0.00737114206470109
5,2,1,"beta1",10,0.000293130595897483,-0.000860369634237785,0.0119717056245412,0.0144344769881957
5,2,2,"beta1",10,0.00120216216075053,-0.000536630711375136,0.0115827191126299,0.0110560427759157
5,2,3,"beta1",10,-0.0025813121700003,-0.00365250991166126,0.00959671174388245,0.00945550692108527
5,2,4,"beta1",10,-0.00305659033703382,-0.00351027890243332,0.00793679167246968,0.00822572260458927
5,2,5,"beta1",10,-0.00323112541811689,-0.00263808469451755,0.00531779679087094,0.00728564169443776
5,4,1,"beta1",10,0.000278672333076419,-0.00130146859416299,0.0116372406220645,0.0143781910128706
5,4,2,"beta1",10,0.00115453025163103,-0.000474860982286883,0.0115426258558647,0.0111567012505472
5,4,3,"beta1",10,-0.00262502496370098,-0.0033016070862003,0.00979307361550127,0.00947265243568759
5,4,4,"beta1",10,-0.00323344831470017,-0.00357594127190408,0.00796338671096556,0.00819727881360915
5,4,5,"beta1",10,-0.00323679809983601,-0.00285101193628985,0.00530642454942032,0.00733933955628234
5,1,1,"beta2",10,0.00161500002152618,0.000746881135317088,0.0185300959901915,0.0144109826423417
5,1,2,"beta2",10,3.38681406238365e-05,0.000811260208938419,0.0131999937454116,0.0110831349831272
5,1,3,"beta2",10,-0.00251798112381199,0.00019275622948199,0.0132912297438436,0.00942336886523732
5,1,4,"beta2",10,-0.00189162561132767,-0.00304883607147128,0.0106306751510087,0.00818493837856769
5,1,5,"beta2",10,-0.00204082414430985,-0.00318785709823228,0.00803618030947122,0.00731362237891502
5,2,1,"beta2",10,0.00163317029589989,0.000674775464868774,0.0189307366147726,0.0143166333349441
5,2,2,"beta2",10,1.41274947914971e-05,0.000453943376260384,0.0132281371149572,0.0109841989429873
5,2,3,"beta2",10,-0.00261619754359325,-0.00017306369463304,0.0132665716244304,0.00936832368557106
5,2,4,"beta2",10,-0.00200543368272553,-0.00354386734742264,0.0106225774831147,0.00807029641544496
5,2,5,"beta2",10,-0.00208700331474136,-0.00322880590147004,0.0079525711225086,0.00723174841940789
5,4,1,"beta2",10,0.00173747865981919,0.00110312839080517,0.0184890431812822,0.0143035893189539
5,4,2,"beta2",10,0.000209918006268341,0.000776688305015275,0.0131522653008248,0.011045271828959
5,4,3,"beta2",10,-0.00245337471600578,7.97098321524528e-05,0.0132328591081209,0.00936952803314522
5,4,4,"beta2",10,-0.00178805873938825,-0.00311817432776124,0.0106293163334262,0.00814315006452254
5,4,5,"beta2",10,-0.0018756190516059,-0.00353298947407726,0.00803711713764178,0.00725493628688589
5,1,1,"lambda",10,2.34085087014482,2.48790318708673,1.0553980482973,0.262504624684753
5,1,2,"lambda",10,2.62178575692776,2.39993717101044,1.00625019426319,0.228785216992738
5,1,3,"lambda",10,2.9600977472069,2.63037796277761,1.34644176044101,0.211100885981613
5,1,4,"lambda",10,2.85434735875867,2.5855619191965,1.22769981249247,0.180618233976418
5,1,5,"lambda",10,2.98067910002506,2.53308914658104,0.999529252681828,0.171545892081734
5,2,1,"lambda",10,2.85147419192637,2.92652637460117,1.10518358121098,0.830581078380087
5,2,2,"lambda",10,4.27493374950557,3.87532603532435,1.8983194235529,1.13309705502326
5,2,3,"lambda",10,5.42123415859292,2.91478602249102,4.48569335686352,0.964065128888728
5,2,4,"lambda",10,3.41883121483957,2.54690454019525,2.0778943171422,0.53170854318952
5,2,5,"lambda",10,3.91991118605531,2.71283434999536,2.31306028939043,0.5933280023484
5,4,1,"lambda",10,2.56571659452284,2.68801429737504,1.14501712540092,0.372358401482396
5,4,2,"lambda",10,3.67754662906222,3.04480740539517,1.85134875887605,0.84456719080961
5,4,3,"lambda",10,4.23483426492212,2.64648638689004,3.75826644780304,0.471811814067442
5,4,4,"lambda",10,3.55211502229698,2.55749027650781,2.42028385946931,0.647262838137848
5,4,5,"lambda",10,3.87215363819291,2.87312897274221,2.47055869356297,0.462098465499121
5,1,1,"rho",10,1.13341652072415,1.20124416901471,0.152690152770414,0.129301593388302
5,1,2,"rho",10,1.07087441035981,1.08493358570426,0.129415145232026,0.0970195486267797
5,1,3,"rho",10,1.06256319516393,1.04612881995654,0.0993274558602534,0.0816212485841727
5,1,4,"rho",10,1.05460016929855,1.03560639830561,0.099686374411845,0.0737216505579645
5,1,5,"rho",10,1.06264190384804,1.05001957862076,0.0959637367518626,0.0704741093381874
5,2,1,"rho",10,1.1172015222974,1.13837605940294,0.165236402799363,0.122759453711974
5,2,2,"rho",10,1.05302290412997,1.06775114009958,0.114797712706038,0.0934966419366966
5,2,3,"rho",10,1.05214345207721,1.04467719411353,0.0933687154938552,0.0834673225590413
5,2,4,"rho",10,1.04506862445787,1.03349093420524,0.103269524775862,0.073404863803885
5,2,5,"rho",10,1.03556755529856,1.03259998177954,0.095937648926064,0.0672462528773234
5,4,1,"rho",10,1.11255471397907,1.18086274910162,0.151435926849006,0.124003158546537
5,4,2,"rho",10,1.06275492028775,1.10497541415163,0.113468340501387,0.0954157699264199
5,4,3,"rho",10,1.04669313515785,1.0440717577267,0.0892981586500255,0.0856581696000073
5,4,4,"rho",10,1.04984586180563,1.02368203580115,0.10082758965961,0.0708562362526365
5,4,5,"rho",10,1.04714183841166,1.03555937326737,0.0892085390906359,0.0678573459348491
5,1,1,"nu",10,0.458143445777868,0.455061333147423,0.0856675559875846,0.0674778641624759
5,1,2,"nu",10,0.475785698111617,0.491104463132835,0.0742766145605779,0.0579011926134782
5,1,3,"nu",10,0.476155280310479,0.486003526410539,0.0657196114275847,0.0492168050084002
5,1,4,"nu",10,0.479716815215072,0.491291761439477,0.0665073914254518,0.0454793676609981
5,1,5,"nu",10,0.472883242410532,0.48531951392206,0.0620728217958747,0.0422437568466085
5,2,1,"nu",10,0.46893033339622,0.473217609066853,0.0909904414656311,0.0653044609044358
5,2,2,"nu",10,0.47960464260561,0.494297688610222,0.066719706347807,0.0570319620171655
5,2,3,"nu",10,0.478410736199147,0.492051215027014,0.0605772643545785,0.0513138977248953
5,2,4,"nu",10,0.48406884271229,0.499763228031249,0.0708736973767429,0.047042585821809
5,2,5,"nu",10,0.486682592848172,0.49537780941625,0.066330611540472,0.0423874718297222
5,4,1,"nu",10,0.467127083711618,0.455750710202836,0.0870474533132344,0.0701557915061924
5,4,2,"nu",10,0.47565856748673,0.473809042268533,0.0679523946005835,0.0570595922319009
5,4,3,"nu",10,0.4830766576103,0.495016723728248,0.0628652963480321,0.0535003090906931
5,4,4,"nu",10,0.48070040906941,0.498403590167505,0.0709395003055615,0.0445793997640251
5,4,5,"nu",10,0.47843072593535,0.491562252036114,0.0610331853252629,0.0422832739617125
5,1,1,"gamma",10,0.92354249902021,0.917585809009397,0.0364620321384014,0.0327729006029936
5,1,2,"gamma",10,0.916581111699797,0.905479011135105,0.037309796070689,0.0274981568823271
5,1,3,"gamma",10,0.91365059910563,0.903729188203414,0.0356538020999696,0.023872798950355
5,1,4,"gamma",10,0.911354704061401,0.899281048960858,0.0352204125142912,0.0219092008585139
5,1,5,"gamma",10,0.913837767383129,0.905592770877556,0.0316121898512412,0.0211096830516124
5,2,1,"gamma",10,0.919146389467246,0.90930506406775,0.0398262308151074,0.0302155897357646
5,2,2,"gamma",10,0.914378963342262,0.901762578167979,0.0353759003020945,0.0268375145210419
5,2,3,"gamma",10,0.912502921553395,0.900251180602285,0.0328489223026144,0.0249160617414102
5,2,4,"gamma",10,0.91046194985548,0.902679509275571,0.0357007265920773,0.0223939324330183
5,2,5,"gamma",10,0.90800195941501,0.902245540989711,0.0310901225337972,0.0202694888880747
5,4,1,"gamma",10,0.919464449644121,0.916417504000503,0.0372620802462958,0.0324102240870571
5,4,2,"gamma",10,0.915906326728905,0.908124924170871,0.0344321089000063,0.0273787092382536
5,4,3,"gamma",10,0.910492794530063,0.903417333543715,0.0332183095786327,0.0252786640060874
5,4,4,"gamma",10,0.91178159955387,0.903062879607688,0.0368549979639864,0.0213803916691205
5,4,5,"gamma",10,0.911142427535789,0.904599867084018,0.030276656166662,0.0208176943730078
5,1,1,"tau.alpha",10,3.7859055,4.142415,0.942520256812818,0.468375806216276
5,1,2,"tau.alpha",10,3.5174375,3.6102125,1.0230086494129,0.405358524354465
5,1,3,"tau.alpha",10,3.6043735,3.8372875,1.05225321261633,0.348044418773301
5,1,4,"tau.alpha",10,3.762145,4.0761925,1.02971616233687,0.307122063056982
5,1,5,"tau.alpha",10,3.7317785,4.12013,1.02192719571637,0.293568325332567
5,2,1,"tau.alpha",10,3.849767,4.1982175,0.940996274396923,0.458745929093492
5,2,2,"tau.alpha",10,3.558013,3.6489775,1.02860828285439,0.396230067243766
5,2,3,"tau.alpha",10,3.6342805,3.838315,1.05391509899056,0.339080096143351
5,2,4,"tau.alpha",10,3.792339,4.144265,1.04253468203381,0.295968958398321
5,2,5,"tau.alpha",10,3.7586655,4.17795,1.03753370764373,0.284366943874867
5,4,1,"tau.alpha",10,3.831302,4.2208775,0.946492159726288,0.460626028183907
5,4,2,"tau.alpha",10,3.53468,3.5972975,1.02730022628625,0.400650450783436
5,4,3,"tau.alpha",10,3.625451,3.8367275,1.06370158278323,0.337245218740792
5,4,4,"tau.alpha",10,3.783356,4.1331925,1.04307729173985,0.299872906481423
5,4,5,"tau.alpha",10,3.7576605,4.2036675,1.04665941436832,0.282388294188154
5,1,1,"tau.beta",10,9.61882367571263,8.45488994321538,3.28916228181035,1.57596076509154
5,1,2,"tau.beta",10,9.21081874953994,9.24494917749509,3.10320409716106,1.30850248858011
5,1,3,"tau.beta",10,9.58814142979469,9.46818793763397,3.70547784684447,1.15353824498033
5,1,4,"tau.beta",10,9.5713898766126,9.99967551533343,2.71013611599545,0.975712260521904
5,1,5,"tau.beta",10,9.3861087944298,10.1011671556055,3.25484340274832,0.905239405479687
5,2,1,"tau.beta",10,9.87696356915225,8.76261216528707,3.42085150918147,1.58255834849356
5,2,2,"tau.beta",10,9.31005324537475,9.22675318873144,3.14295471919445,1.28688282462884
5,2,3,"tau.beta",10,9.67445698858035,9.44810662044223,3.79122674059012,1.14098846508699
5,2,4,"tau.beta",10,9.65301728617948,10.1053767682356,2.71153542927579,0.949073017836958
5,2,5,"tau.beta",10,9.43902360374019,10.2266016253502,3.29777992733329,0.873266415699743
5,4,1,"tau.beta",10,9.74705121810485,8.63440673606304,3.32190743565351,1.58623086069463
5,4,2,"tau.beta",10,9.2568439606076,9.27912933547124,3.10503025871463,1.30267847450838
5,4,3,"tau.beta",10,9.62503422569736,9.5861017521356,3.6746522539623,1.13232318699652
5,4,4,"tau.beta",10,9.62275768987035,10.1661331771965,2.6971765867832,0.957892881101489
5,4,5,"tau.beta",10,9.43450364100615,10.1853851581944,3.2941666289344,0.876653710414132
5,2,1,"phi.z1",10,0.0911904202838563,0.0786544858914485,0.0858023228651997,0.094540446076418
5,2,2,"phi.z1",10,0.136788876708039,0.100307974140785,0.0926352897951095,0.0783531947355878
5,2,3,"phi.z1",10,0.176686043143685,0.165142659072236,0.0702683279036826,0.0543950346063921
5,2,4,"phi.z1",10,0.147642392660878,0.140625173801339,0.0505228161579888,0.0584705397333168
5,2,5,"phi.z1",10,0.151263146068125,0.134539475105987,0.0569144837804529,0.0505521600655685
5,4,1,"phi.z1",10,0.251550028178433,0.304095432257457,0.323914861033477,0.181699418954634
5,4,2,"phi.z1",10,0.50906090304911,0.496050310044112,0.31173740620693,0.109644134497478
5,4,3,"phi.z1",10,0.651977304243243,0.616990521055892,0.19597260100822,0.0714874676827276
5,4,4,"phi.z1",10,0.645053224036552,0.614819676534266,0.182643844030152,0.0663506757560657
5,4,5,"phi.z1",10,0.657254414975418,0.663867059483494,0.179450253825042,0.0587463249583274
5,2,1,"phi.z2",10,0.748211726828561,0.768788822076206,0.0903130929578483,0.0867470931714382
5,2,2,"phi.z2",10,0.775727637819241,0.788266512704059,0.0885677777924934,0.0658905576910757
