"setting","contrast","window","prob","n","gap_full","t_p_full","w_p_full","gap_blockq","t_p_blockq","w_p_blockq"
4,"AR1-iid","1-15",0.9,10,0.000790663252685186,0.817314597166177,0.889364092163765,0.00166543814046296,0.853324450005682,0.889364092163765
4,"AR1-iid","1-15",0.95,10,0.000434882222314815,0.829195429597678,0.966727139328142,0.00203979656240741,0.957010629398543,0.907428137921063
4,"AR1-iid","1-5",0.9,10,-0.000495528561111111,0.426555711884959,0.580768109038768,0.00173861965527778,0.694617978583213,0.694850672011723
4,"AR1-iid","1-5",0.95,10,-0.000254582117500001,0.434477867619827,0.820524282073687,0.00339340786361111,0.911340066894535,0.845968385046401
4,"AR2-AR1","1-15",0.9,10,-0.000791670360925926,0.231186510487488,0.305149327988277,-0.000919135188240741,0.281119220896152,0.419231890961232
4,"AR2-AR1","1-15",0.95,10,-0.00051167735712963,0.182052481618489,0.131096301203387,-0.000792642903888889,0.246476418136325,0.270408952121309
4,"AR2-AR1","1-5",0.9,10,-0.000448181107777779,0.410878329003074,0.419231890961232,-0.000205232330000002,0.469053147599138,0.694850672011723
4,"AR2-AR1","1-5",0.95,10,-0.000605054748333334,0.29601740211857,0.237766329798451,-0.000755630965277776,0.338068040787979,0.540593658362679
4,"AR2-iid","1-15",0.9,10,-1.00710824074064e-06,0.499649305153617,0.540593658362679,0.000746302952222222,0.750981066277008,0.694850672011723
4,"AR2-iid","1-15",0.95,10,-7.67951348148154e-05,0.452230512657325,0.694850672011723,0.00124715365851852,0.91741144347955,0.907428137921063
4,"AR2-iid","1-5",0.9,10,-0.00094370966888889,0.388365835826466,0.620117087010967,0.00153338732527778,0.71011196452313,0.694850672011723
4,"AR2-iid","1-5",0.95,10,-0.000859636865833335,0.330483748501328,0.762233670201549,0.00263777689833333,0.903101342395681,0.889364092163765
5,"AR1-iid","1-15",0.9,10,-0.00190875112814815,0.364763909836197,0.154031614953599,0.00233731919601852,0.638089340988612,0.762233670201549
5,"AR1-iid","1-15",0.95,10,0.00155857056453704,0.737142106490347,0.419231890961232,0.00345016274685185,0.706278474293048,0.889364092163765
5,"AR1-iid","1-5",0.9,10,-0.0128643365619444,0.0531973443823542,0.00952944580086523,-0.01164601718,0.12359007726436,0.154031614953599
5,"AR1-iid","1-5",0.95,10,-0.00373001665166667,0.0323540526726359,0.0207455436938658,-0.0112446583236111,0.11811441757519,0.237766329798451
5,"AR2-AR1","1-15",0.9,10,-0.0238885341022222,0.000182041968205974,0.00296076851207435,-0.0218317742215741,0.0463461650199488,0.041565571350402
5,"AR2-AR1","1-15",0.95,10,-0.0104597268201852,0.00100269324913286,0.00296076851207435,-0.0215257992565741,0.0390211249640165,0.041565571350402
5,"AR2-AR1","1-5",0.9,10,-0.0191219176547222,0.00255897621358539,0.00296076851207435,-0.0119577079955556,0.0987379920244877,0.0631394642773489
5,"AR2-AR1","1-5",0.95,10,-0.00657207070388889,0.00777818773521037,0.00402261874328085,-0.00935945644,0.134383256756975,0.0767881982749919
5,"AR2-iid","1-15",0.9,10,-0.0257972852303704,0.00339143892753874,0.00296076851207435,-0.0194944550255556,0.113633944959383,0.110635907836235
5,"AR2-iid","1-15",0.95,10,-0.00890115625564815,0.00208368027624013,0.00402261874328085,-0.0180756365097222,0.109760492602881,0.0925718620789365
5,"AR2-iid","1-5",0.9,10,-0.0319862542166667,0.00389217194922164,0.00296076851207435,-0.0236037251755556,0.0935035397978523,0.0767881982749919
5,"AR2-iid","1-5",0.95,10,-0.0103020873555556,0.0012787225830294,0.00296076851207435,-0.0206041147636111,0.106989334188369,0.131096301203387
7,"AR1-iid","1-15",0.9,10,0.00194569988407407,0.76444778306958,0.762233670201549,0.00329453562361111,0.947223209863042,0.948541230298574
7,"AR1-iid","1-15",0.95,10,0.00261185079046296,0.912283399438104,0.936860535722651,0.00401674711490741,0.968226988359984,0.992783588030579
7,"AR1-iid","1-5",0.9,10,-0.00156329858277778,0.23337635689117,0.207411533592387,-0.00205454981111111,0.228575951435452,0.154031614953599
7,"AR1-iid","1-5",0.95,10,0.000357479490277778,0.633797954020435,0.305149327988277,-0.000517604840833334,0.375875740327392,0.379882912989033
7,"AR2-AR1","1-15",0.9,10,-0.00208450541259259,0.250063318028486,0.270408952121309,-0.0018201149525,0.32090527217466,0.131096301203387
7,"AR2-AR1","1-15",0.95,10,-0.00131644981398148,0.269381838591912,0.131096301203387,-0.00150928142796296,0.346983188256944,0.154031614953599
7,"AR2-AR1","1-5",0.9,10,0.000936589474444443,0.666014167119864,0.459406341637321,-0.000931665970555555,0.37827052966618,0.207411533592387
7,"AR2-AR1","1-5",0.95,10,0.000129684047222222,0.54895303685409,0.580768109038768,-0.00136031186055556,0.308965404157077,0.131096301203387
7,"AR2-iid","1-15",0.9,10,-0.00013880552851852,0.47506202483191,0.237766329798451,0.00147442067111111,0.675015686802563,0.658259548899287
7,"AR2-iid","1-15",0.95,10,0.00129540097648148,0.835797842272029,0.658259548899287,0.00250746568694444,0.821966295469554,0.820524282073687
7,"AR2-iid","1-5",0.9,10,-0.000626709108333334,0.401224546308495,0.270408952121309,-0.00298621578166667,0.258709134929353,0.131096301203387
7,"AR2-iid","1-5",0.95,10,0.000487163537499999,0.649943627721126,0.694850672011723,-0.00187791670138889,0.305339292855886,0.207411533592387
