"setting","prob","zero_share","realised_rate","pred_rate_iid","pred_rate_AR2","threshold_mean"
4,0.9,0.633333333333333,0.0956666666666667,0.102231508333333,0.108171837037037,19.7716319345083
4,0.91,0.673333333333333,0.0860092592592593,0.0922013398148148,0.0977708574074074,20.1626652356324
4,0.92,0.718666666666667,0.0763240740740741,0.0825915537037037,0.0877626944444444,20.5834239911803
4,0.93,0.745333333333333,0.0672314814814815,0.0730064166666667,0.0777344259259259,21.0613257163249
4,0.94,0.768,0.0583333333333333,0.0636399888888889,0.0679072666666667,21.5981842752012
4,0.95,0.808,0.0487962962962963,0.0543212601851852,0.0581032101851852,22.2236661586974
4,0.96,0.844,0.0396481481481481,0.0449282018518519,0.048171337962963,22.988974804775
4,0.97,0.866666666666667,0.0299722222222222,0.0355358953703704,0.0381596564814815,23.9624402309985
4,0.98,0.909333333333333,0.020212962962963,0.0257342814814815,0.0276712592592593,25.3702515075664
4,0.99,0.950666666666667,0.00960185185185185,0.0140331675925926,0.014932912962963,28.4465677322633
4,0.995,0.969333333333333,0.00475925925925926,0.00783675,0.00823014166666667,31.9360150599616
5,0.9,0.593333333333333,0.125712962962963,0.118915096296296,0.102691298148148,20.2489482170086
5,0.91,0.622666666666667,0.115361111111111,0.110064075,0.0925169935185185,20.6186379209032
5,0.92,0.656,0.104925925925926,0.101006471296296,0.082561112037037,21.0122876631503
5,0.93,0.68,0.0931944444444444,0.0910103583333333,0.0723364444444444,21.4604034521033
5,0.94,0.721333333333333,0.0812222222222222,0.080306937037037,0.0617391611111111,21.9892777343685
5,0.95,0.753333333333333,0.068212962962963,0.0686513287037037,0.0512994018518519,22.6242588163301
5,0.96,0.793333333333333,0.0549166666666667,0.0571885611111111,0.0414508009259259,23.3754684183916
5,0.97,0.821333333333333,0.0412222222222222,0.0462999388888889,0.0321900546296296,24.2904900106786
5,0.98,0.858666666666667,0.0272592592592593,0.0353793388888889,0.023136325,25.4901670387444
5,0.99,0.910666666666667,0.013287037037037,0.0230762027777778,0.0139383657407407,27.6555164867791
5,0.995,0.932,0.00653703703703704,0.0174840833333333,0.00956609074074074,29.2973285133039
7,0.9,0.416,0.111064814814815,0.0926501546296296,0.124979371296296,20.3105508386899
7,0.91,0.432,0.10012962962963,0.0848433074074074,0.115858953703704,20.5808478670345
7,0.92,0.477333333333333,0.0891388888888889,0.0771611277777778,0.106796119444444,20.8685813518845
7,0.93,0.509333333333333,0.0788148148148148,0.0695066694444444,0.0976099166666667,21.1891933313236
7,0.94,0.556,0.068037037037037,0.06141755,0.0877877694444444,21.5704164434851
7,0.95,0.609333333333333,0.0573981481481481,0.0534900018518519,0.07807075,21.9929815403937
7,0.96,0.676,0.046212962962963,0.045442137962963,0.0679623851851852,22.5045513627101
7,0.97,0.729333333333333,0.0346481481481482,0.0370374888888889,0.0572883240740741,23.1478917471916
7,0.98,0.792,0.0230462962962963,0.0278286861111111,0.0452908972222222,24.0749319007211
7,0.99,0.876,0.0115277777777778,0.0179608296296296,0.0320549055555556,25.5583243052156
7,0.995,0.921333333333333,0.00569444444444444,0.0119545203703704,0.0234048842592593,26.9919338358329
