"score","quantile","best_method","best_prop_k","best_value"
"brier",0.9,4,40,0.0304501549586364
"brier",0.91,4,40,0.0283439758231818
"brier",0.92,4,40,0.0259309616945455
"brier",0.93,4,40,0.0237851904313636
"brier",0.94,4,40,0.0218021549127273
"brier",0.95,4,40,0.0192505927827273
"brier",0.96,4,40,0.0164058108481818
"brier",0.97,2,40,0.0136684471027273
"brier",0.98,2,40,0.0100964504
"brier",0.99,2,40,0.00648230518863636
"brier",0.995,2,40,0.00361881395545455
"quant",0.9,2,40,2.64694382605968
"quant",0.91,2,40,2.51379319037119
"quant",0.92,4,40,2.3669423550678
"quant",0.93,4,40,2.20289359260033
"quant",0.94,4,40,2.02308590066799
"quant",0.95,4,40,1.82382129291787
"quant",0.96,4,40,1.59935031129094
"quant",0.97,4,40,1.34113405731385
"quant",0.98,4,40,1.03802707965448
"quant",0.99,4,40,0.586687109076541
"quant",0.995,4,40,0.328877218439679
