"method","quantile","brier_original","brier_mrts20","brier_prop20","quant_original","quant_mrts20","quant_prop20"
1,0.9,0.0282114936155455,0.0282212933453636,0.0899598004461818,1.79888736104791,1.79895794179182,1.81480041791132
1,0.91,0.0260207536752727,0.0260358277611818,0.0817778285688182,1.68475916295599,1.68483955590212,1.70078858140711
1,0.92,0.0239513374618182,0.0239595067574545,0.0735172630157273,1.56312663252682,1.56317336379136,1.57980862329531
1,0.93,0.0217603643527273,0.0217727790103636,0.0651376438559091,1.43263652362512,1.43267303717982,1.45102836364414
1,0.94,0.0193247782601818,0.0193335301488182,0.0565660345953636,1.2919690709227,1.29199193693749,1.31366101254013
1,0.95,0.0165980128007273,0.0165938277008182,0.0478451803396364,1.13912606067078,1.13913709275764,1.16613133545717
1,0.96,0.0136289152095455,0.0136281331344545,0.0385255533098182,0.972175304147773,0.972157105470571,1.00596187216667
1,0.97,0.0107615886037273,0.0107558365266364,0.0290904601043636,0.786568384957407,0.786533270269118,0.830409686248344
1,0.98,0.00780054252545455,0.00780368559418182,0.0197657122846364,0.577549766392484,0.577520680084479,0.633960615793842
1,0.99,0.00581681301409091,0.00581835971009091,0.00974679759390909,0.315913836598343,0.315901954062819,0.403308912469626
1,0.995,0.00363388957663636,0.00363645422681818,0.00489163581954546,0.169377248267252,0.169390198256962,0.261948641464229
2,0.9,0.0275440648965455,0.0275515912704545,0.0317968404128182,1.79864388526674,1.7986337534143,1.80152308006903
2,0.91,0.0254192584750909,0.0254240414439091,0.0293604613658182,1.68439142650104,1.6843988611987,1.6875935424194
2,0.92,0.0234200911001818,0.0234226828824545,0.0270034535462727,1.56263335269838,1.56263684327347,1.56618624585148
2,0.93,0.021279386097,0.0212709248771818,0.0247320420998182,1.4319163116818,1.43192158207055,1.43572316828085
2,0.94,0.0189511872278182,0.0189511619935455,0.0220145107211818,1.2911453456071,1.2911192692785,1.29507765574986
2,0.95,0.0162798513961818,0.0162811012216364,0.0190734277202727,1.13825798939716,1.13825675536664,1.14318187579417
2,0.96,0.0133544324414545,0.0133618031098182,0.0159188324510909,0.971217797855301,0.971216331429829,0.977351476718989
2,0.97,0.0104713517843636,0.0104737144604545,0.0126524588480909,0.785560096214177,0.785562860378756,0.794415965740898
2,0.98,0.00755886296490909,0.00756137831,0.00906800526436364,0.576822471938017,0.576832912945082,0.587590403394936
2,0.99,0.00558266542090909,0.00558206704436364,0.006272569848,0.315090704212868,0.315096283682187,0.324618075664756
2,0.995,0.00347146148227273,0.00347280559172727,0.00381623527018182,0.167611827004297,0.167597515513731,0.173409356184168
3,0.9,0.0278515441742727,0.0278707808926364,0.0557827254674545,1.79888166570642,1.7991139572929,1.9276292733874
3,0.91,0.0256826743861818,0.025700098817,0.0513832225155455,1.68467183217382,1.68486608210441,1.82051088037333
3,0.92,0.023642491044,0.0236599240484545,0.0467652349484545,1.56290793384458,1.56304999958306,1.70265276573356
3,0.93,0.0214954115900909,0.0215096459782727,0.0419893184898182,1.43228762242091,1.43236236997795,1.57228370807472
3,0.94,0.0191053360266364,0.01910818293,0.0368379144460909,1.29150508498721,1.29158998428463,1.42783196806669
3,0.95,0.016395650418,0.016395515816,0.0315279410760909,1.13867219701379,1.13874208649819,1.2669387659085
3,0.96,0.0134581621767273,0.0134622721615455,0.0257258440744545,0.971591980045515,0.971617911699091,1.0871179153264
3,0.97,0.0105939845471818,0.0105934992018182,0.0197651746438182,0.78599886234786,0.785985778257835,0.883471635537796
