"setting","method_id","method_label","dataset","prop_k","quantile","band","threshold","brier","quant_score","elapsed_sec"
4,2,"Skew-t, K=1",1,50,0.95,"bulk",22.7633583436973,0.0121716674727273,1.19165425986265,242.8
4,2,"Skew-t, K=1",1,50,0.96,"other",23.7063680352327,0.0099462249,1.01378387788401,242.8
4,2,"Skew-t, K=1",1,50,0.97,"other",25.0733612345894,0.00825960579545455,0.818207101743,242.8
4,2,"Skew-t, K=1",1,50,0.98,"tail",26.5389367563335,0.00576526677727273,0.592505139119941,242.8
4,2,"Skew-t, K=1",1,50,0.99,"tail",29.706448744718,0.00504722160909091,0.33267861286924,242.8
4,2,"Skew-t, K=1",1,50,0.995,"tail",31.668684290124,0.00311051941363636,0.179506496002433,242.8
4,2,"Skew-t, K=1",1,60,0.9,"bulk",20.3604749738989,0.0349376205772727,1.88842297018869,218.4
4,2,"Skew-t, K=1",1,60,0.91,"bulk",20.6987429918719,0.0317304484636364,1.76473822979066,218.4
4,2,"Skew-t, K=1",1,60,0.92,"bulk",21.0926318904312,0.0265009568181818,1.63509098354678,218.4
4,2,"Skew-t, K=1",1,60,0.93,"bulk",21.5249373280655,0.0217015825909091,1.49842915137038,218.4
4,2,"Skew-t, K=1",1,60,0.94,"bulk",22.0378153676756,0.0175596670590909,1.35207672135395,218.4
4,2,"Skew-t, K=1",1,60,0.95,"bulk",22.7633583436973,0.0126074293909091,1.19105729506263,218.4
4,2,"Skew-t, K=1",1,60,0.96,"other",23.7063680352327,0.0103663564318182,1.0132099517227,218.4
4,2,"Skew-t, K=1",1,60,0.97,"other",25.0733612345894,0.00824564655,0.818406170572022,218.4
4,2,"Skew-t, K=1",1,60,0.98,"tail",26.5389367563335,0.00594070712727273,0.594471785341028,218.4
4,2,"Skew-t, K=1",1,60,0.99,"tail",29.706448744718,0.00522759672727273,0.333623289871655,218.4
4,2,"Skew-t, K=1",1,60,0.995,"tail",31.668684290124,0.00304364677272727,0.18040955133563,218.4
4,2,"Skew-t, K=1",1,70,0.9,"bulk",20.3604749738989,0.0356247307227273,1.8894679479609,228.5
4,2,"Skew-t, K=1",1,70,0.91,"bulk",20.6987429918719,0.0322568276090909,1.76568959072021,228.5
4,2,"Skew-t, K=1",1,70,0.92,"bulk",21.0926318904312,0.0270395168227273,1.63657568681866,228.5
4,2,"Skew-t, K=1",1,70,0.93,"bulk",21.5249373280655,0.0228544165045455,1.49892659449609,228.5
4,2,"Skew-t, K=1",1,70,0.94,"bulk",22.0378153676756,0.0187660014409091,1.35282522559262,228.5
4,2,"Skew-t, K=1",1,70,0.95,"bulk",22.7633583436973,0.0135079689363636,1.19354056699632,228.5
4,2,"Skew-t, K=1",1,70,0.96,"other",23.7063680352327,0.0105369509818182,1.01466863425263,228.5
4,2,"Skew-t, K=1",1,70,0.97,"other",25.0733612345894,0.00807203439090909,0.819174652082068,228.5
4,2,"Skew-t, K=1",1,70,0.98,"tail",26.5389367563335,0.00565750904090909,0.595757006841068,228.5
4,2,"Skew-t, K=1",1,70,0.99,"tail",29.706448744718,0.00528052848181818,0.33443736525802,228.5
4,2,"Skew-t, K=1",1,70,0.995,"tail",31.668684290124,0.00306799259090909,0.17969028185234,228.5
4,2,"Skew-t, K=1",1,80,0.9,"bulk",20.3604749738989,0.0362119541136364,1.89237551132304,238.89
4,2,"Skew-t, K=1",1,80,0.91,"bulk",20.6987429918719,0.0328953942636364,1.76846048212436,238.89
4,2,"Skew-t, K=1",1,80,0.92,"bulk",21.0926318904312,0.0281849745772727,1.6384573060211,238.89
4,2,"Skew-t, K=1",1,80,0.93,"bulk",21.5249373280655,0.0235680542954545,1.5005714145897,238.89
4,2,"Skew-t, K=1",1,80,0.94,"bulk",22.0378153676756,0.0193359174090909,1.35429244916619,238.89
4,2,"Skew-t, K=1",1,80,0.95,"bulk",22.7633583436973,0.0134287114090909,1.19499823322666,238.89
4,2,"Skew-t, K=1",1,80,0.96,"other",23.7063680352327,0.0102761916727273,1.01508649350168,238.89
4,2,"Skew-t, K=1",1,80,0.97,"other",25.0733612345894,0.00756758278636364,0.819648516790073,238.89
4,2,"Skew-t, K=1",1,80,0.98,"tail",26.5389367563335,0.00589452212272727,0.594975917425757,238.89
4,2,"Skew-t, K=1",1,80,0.99,"tail",29.706448744718,0.00572974275454545,0.336009845211641,238.89
4,2,"Skew-t, K=1",1,80,0.995,"tail",31.668684290124,0.00351857710909091,0.181386632680949,238.89
4,2,"Skew-t, K=1",1,90,0.9,"bulk",20.3604749738989,0.0415445832727273,1.89635964361109,249.17
4,2,"Skew-t, K=1",1,90,0.91,"bulk",20.6987429918719,0.03697418345,1.77257806742934,249.17
4,2,"Skew-t, K=1",1,90,0.92,"bulk",21.0926318904312,0.0317031510045455,1.64095351999666,249.17
4,2,"Skew-t, K=1",1,90,0.93,"bulk",21.5249373280655,0.0263059571363636,1.50386180642866,249.17
4,2,"Skew-t, K=1",1,90,0.94,"bulk",22.0378153676756,0.0221834806136364,1.35579133992912,249.17
4,2,"Skew-t, K=1",1,90,0.95,"bulk",22.7633583436973,0.0155229317,1.19721698243333,249.17
4,2,"Skew-t, K=1",1,90,0.96,"other",23.7063680352327,0.0110985880409091,1.01645600006247,249.17
4,2,"Skew-t, K=1",1,90,0.97,"other",25.0733612345894,0.00771613181363636,0.821915777601148,249.17
4,2,"Skew-t, K=1",1,90,0.98,"tail",26.5389367563335,0.0060578244,0.593890567316991,249.17
4,2,"Skew-t, K=1",1,90,0.99,"tail",29.706448744718,0.00647962353636364,0.337824750726526,249.17
4,2,"Skew-t, K=1",1,90,0.995,"tail",31.668684290124,0.00388748944090909,0.184920856775608,249.17
4,2,"Skew-t, K=1",1,100,0.9,"bulk",20.3604749738989,0.0495760501590909,1.90127918104671,262.76
4,2,"Skew-t, K=1",1,100,0.91,"bulk",20.6987429918719,0.0434304908318182,1.77809398662883,262.76
4,2,"Skew-t, K=1",1,100,0.92,"bulk",21.0926318904312,0.0352563014590909,1.64425903216314,262.76
4,2,"Skew-t, K=1",1,100,0.93,"bulk",21.5249373280655,0.0306602435454545,1.50788762996501,262.76
4,2,"Skew-t, K=1",1,100,0.94,"bulk",22.0378153676756,0.0251833654590909,1.36029931423735,262.76
4,2,"Skew-t, K=1",1,100,0.95,"bulk",22.7633583436973,0.019872281,1.20658642731929,262.76
4,2,"Skew-t, K=1",1,100,0.96,"other",23.7063680352327,0.0158511042045455,1.02624737853751,262.76
4,2,"Skew-t, K=1",1,100,0.97,"other",25.0733612345894,0.00944800897727273,0.825888496882222,262.76
4,2,"Skew-t, K=1",1,100,0.98,"tail",26.5389367563335,0.00671114739545455,0.595307209356933,262.76
4,2,"Skew-t, K=1",1,100,0.99,"tail",29.706448744718,0.00789605894090909,0.341642091346803,262.76
4,2,"Skew-t, K=1",1,100,0.995,"tail",31.668684290124,0.00476501762727273,0.190840287507026,262.76
4,2,"Skew-t, K=1",1,144,0.9,"bulk",20.3604749738989,0.191053633304545,2.81851155625738,244.27
4,2,"Skew-t, K=1",1,144,0.91,"bulk",20.6987429918719,0.180597535263636,2.72078879655032,244.27
4,2,"Skew-t, K=1",1,144,0.92,"bulk",21.0926318904312,0.169896351459091,2.60742894989276,244.27
4,2,"Skew-t, K=1",1,144,0.93,"bulk",21.5249373280655,0.157291725718182,2.48343630807268,244.27
4,2,"Skew-t, K=1",1,144,0.94,"bulk",22.0378153676756,0.145806573968182,2.35159382362961,244.27
4,2,"Skew-t, K=1",1,144,0.95,"bulk",22.7633583436973,0.1322346466,2.20109249561971,244.27
4,2,"Skew-t, K=1",1,144,0.96,"other",23.7063680352327,0.114950301622727,2.03082459418387,244.27
4,2,"Skew-t, K=1",1,144,0.97,"other",25.0733612345894,0.0922026826363636,1.83638330213242,244.27
4,2,"Skew-t, K=1",1,144,0.98,"tail",26.5389367563335,0.0764137813409091,1.63545112154067,244.27
4,2,"Skew-t, K=1",1,144,0.99,"tail",29.706448744718,0.0544917387363636,1.1095409135577,244.27
4,2,"Skew-t, K=1",1,144,0.995,"tail",31.668684290124,0.0472629154318182,0.646391500460594,244.27
