"score","method","prop_k","quantile","rel_mean","rel_median"
"brier",1,40,0.9,1,1
"brier",1,40,0.91,1,1
"brier",1,40,0.92,1,1
"brier",1,40,0.93,1,1
"brier",1,40,0.94,1,1
"brier",1,40,0.95,1,1
"brier",1,40,0.96,1,1
"brier",1,40,0.97,1,1
"brier",1,40,0.98,1,1
"brier",1,40,0.99,1,1
"brier",1,40,0.995,1,1
"brier",2,40,0.9,0.340369221942007,0.323257797407895
"brier",2,40,0.91,0.346962895185995,0.319295184186717
"brier",2,40,0.92,0.355573883143212,0.325254599092498
"brier",2,40,0.93,0.362472457418299,0.327750559537645
"brier",2,40,0.94,0.375147686727088,0.320631674863708
"brier",2,40,0.95,0.400066484235095,0.363730251256954
"brier",2,40,0.96,0.427481072499477,0.404507431569794
"brier",2,40,0.97,0.459414567814484,0.537724198985105
"brier",2,40,0.98,0.50886399661942,0.535776766649468
"brier",2,40,0.99,0.645394334020171,0.702197759295952
"brier",2,40,0.995,0.759367524040219,0.823160645423914
"brier",3,40,0.9,0.556896288404664,0.573532746041209
"brier",3,40,0.91,0.568537205661384,0.584108463832834
"brier",3,40,0.92,0.576942728906984,0.5809968258832
"brier",3,40,0.93,0.583585189558806,0.593278621968375
"brier",3,40,0.94,0.594644667227265,0.602859314018378
"brier",3,40,0.95,0.608789412073095,0.606693225475819
"brier",3,40,0.96,0.62658898917208,0.62113852283078
"brier",3,40,0.97,0.642673353118296,0.639713230076171
"brier",3,40,0.98,0.664065080558047,0.633621514693006
"brier",3,40,0.99,0.757521564140607,0.7286283352826
"brier",3,40,0.995,0.855175421065749,0.909540684023898
"brier",4,40,0.9,0.331101707292684,0.295398320150496
"brier",4,40,0.91,0.337122277105429,0.287600966548965
"brier",4,40,0.92,0.34149484985045,0.28352808846476
"brier",4,40,0.93,0.353416402132365,0.274802225654339
"brier",4,40,0.94,0.372069563418185,0.27909734436839
"brier",4,40,0.95,0.395459682905784,0.281262450513373
"brier",4,40,0.96,0.422712699202999,0.279915160975509
"brier",4,40,0.97,0.467893829041904,0.351980384313126
"brier",4,40,0.98,0.519560447235734,0.460538802411952
"brier",4,40,0.99,0.711587130786493,0.545380800896482
"brier",4,40,0.995,0.92498240606706,0.615180454996703
