"score","method","prop_k","quantile","mean","median"
"brier",1,40,0.9,0.0890397918195455,0.0882918077772727
"brier",1,40,0.91,0.0806992653340909,0.0793935919022727
"brier",1,40,0.92,0.0723389696604545,0.0724478142272727
"brier",1,40,0.93,0.0635748269922727,0.0644057335659091
"brier",1,40,0.94,0.0555883160677273,0.0555511282068182
"brier",1,40,0.95,0.04748505381,0.0478346105977273
"brier",1,40,0.96,0.0386091261131818,0.038227706075
"brier",1,40,0.97,0.0298813571286364,0.0296159278386364
"brier",1,40,0.98,0.0196371429831818,0.0203929060454545
"brier",1,40,0.99,0.0109165540281818,0.0115233937113636
"brier",1,40,0.995,0.00539426808090909,0.00499977281363636
"brier",2,40,0.9,0.0344752245818182,0.0260209808954545
"brier",2,40,0.91,0.0317001877172727,0.0254893040681818
"brier",2,40,0.92,0.0292222596190909,0.0247291450545455
"brier",2,40,0.93,0.0266623256113636,0.0243762074204545
"brier",2,40,0.94,0.0243803033795455,0.0232872940318182
"brier",2,40,0.95,0.0210489454381818,0.0193431980272727
"brier",2,40,0.96,0.01709923059,0.0171907238568182
"brier",2,40,0.97,0.0145134997159091,0.014360703825
"brier",2,40,0.98,0.0105927745172727,0.011862233475
"brier",2,40,0.99,0.00664946586818182,0.00718504622045455
"brier",2,40,0.995,0.00397391704727273,0.00404233380227273
"brier",3,40,0.9,0.0494469253986364,0.0489775637
"brier",3,40,0.91,0.0456044526413636,0.0454386609659091
"brier",3,40,0.92,0.0418998418568182,0.0425799529931818
"brier",3,40,0.93,0.0374849905786364,0.0385878572272727
"brier",3,40,0.94,0.0335279253954545,0.0344102434840909
"brier",3,40,0.95,0.0289550628954545,0.0292436141931818
"brier",3,40,0.96,0.0238048288122727,0.0239304920727273
"brier",3,40,0.97,0.0190994988131818,0.0189545501318182
"brier",3,40,0.98,0.0129456430704545,0.0128883480409091
"brier",3,40,0.99,0.00784179855,0.00781935615909091
"brier",3,40,0.995,0.00435068337818182,0.00418901113409091
"brier",4,40,0.9,0.0190604090954545,0.0178420519522727
"brier",4,40,0.91,0.0175153257522727,0.0155077468181818
"brier",4,40,0.92,0.0159555883604545,0.015079898575
"brier",4,40,0.93,0.015099465375,0.0144998530181818
"brier",4,40,0.94,0.0145502514581818,0.0138354743863636
"brier",4,40,0.95,0.0130520223259091,0.0119118468136364
"brier",4,40,0.96,0.0109826115145455,0.0111194298477273
"brier",4,40,0.97,0.00993648002409091,0.00987215336363636
"brier",4,40,0.98,0.00763219790727273,0.00708378180454545
"brier",4,40,0.99,0.00498630363545455,0.00464587163636364
"brier",4,40,0.995,0.00325745449181818,0.00323131596590909
"brier",5,40,0.9,0.0505083569922727,0.0497480412340909
"brier",5,40,0.91,0.0465619143822727,0.0467106862068182
"brier",5,40,0.92,0.0424233434763636,0.0431495970568182
"brier",5,40,0.93,0.0379341822218182,0.0387147182772727
"brier",5,40,0.94,0.0339642733231818,0.0348985311931818
