setting,method_id,method_key,family,baseline_label,proposal_label,prop_k,quantile,band,datasets_compared,baseline_brier,prop_brier,delta_brier,improve_brier_pct,baseline_quant,prop_quant,delta_quant,improve_quant_pct
3,5,5,t_k5_thresh_q80,"t, K=5, q(0.80)","t, K=5, q(0.80) + prop(k=4)",4,0.97,other,3,0.025387931,0.027507247,0.002119316,-8.391218305,0.285081672,0.284209366,-0.000872305,0.327455097
3,5,5,t_k5_thresh_q80,"t, K=5, q(0.80)","t, K=5, q(0.80) + prop(k=4)",4,0.98,tail,3,0.016510094,0.017035039,0.000524945,-3.332844326,0.20859576,0.207681035,-0.000914726,0.4617974
3,5,5,t_k5_thresh_q80,"t, K=5, q(0.80)","t, K=5, q(0.80) + prop(k=4)",4,0.99,tail,3,0.009219052,0.009188062,-3.10E-05,0.25928907,0.120373555,0.120698859,0.000325304,-0.214408687
3,5,5,t_k5_thresh_q80,"t, K=5, q(0.80)","t, K=5, q(0.80) + prop(k=4)",4,0.995,tail,3,0.00427221,0.004368303,9.61E-05,-2.376532752,0.068001023,0.06910646,0.001105437,-1.581792975
4,1,1,gaussian,Gaussian,Gaussian + prop(k=4),4,0.9,bulk,3,0.030515885,0.088269383,0.057753498,-208.909381,1.664322605,1.671945036,0.007622431,-0.496077199
4,1,1,gaussian,Gaussian,Gaussian + prop(k=4),4,0.91,bulk,3,0.027812556,0.079761371,0.051948815,-206.8015509,1.557517821,1.564724905,0.007207084,-0.508016852
4,1,1,gaussian,Gaussian,Gaussian + prop(k=4),4,0.92,bulk,3,0.025069542,0.070766189,0.045696647,-196.7601252,1.44391769,1.451278625,0.007360935,-0.55061452
4,1,1,gaussian,Gaussian,Gaussian + prop(k=4),4,0.93,bulk,3,0.021682335,0.061975998,0.040293663,-207.3153896,1.322004939,1.331330479,0.009325541,-0.744211466
4,1,1,gaussian,Gaussian,Gaussian + prop(k=4),4,0.94,bulk,3,0.017219018,0.053880721,0.036661704,-245.6386147,1.190948012,1.203503132,0.01255512,-1.082639874
4,1,1,gaussian,Gaussian,Gaussian + prop(k=4),4,0.95,bulk,3,0.013809003,0.045951994,0.032142991,-314.649698,1.04691233,1.066800667,0.019888336,-1.857904709
4,1,1,gaussian,Gaussian,Gaussian + prop(k=4),4,0.96,other,3,0.011641578,0.036604534,0.024962956,-271.9242162,0.88615945,0.918754657,0.032595207,-3.439955507
4,1,1,gaussian,Gaussian,Gaussian + prop(k=4),4,0.97,other,3,0.009386429,0.027018339,0.01763191,-213.3970674,0.705962087,0.7556608,0.049698713,-6.402126494
4,1,1,gaussian,Gaussian,Gaussian + prop(k=4),4,0.98,tail,3,0.006869696,0.017748848,0.010879153,-175.6584462,0.505339125,0.572949618,0.067610493,-12.05607869
4,1,1,gaussian,Gaussian,Gaussian + prop(k=4),4,0.99,tail,3,0.005162989,0.008759929,0.00359694,-71.61045526,0.276880217,0.356440432,0.079560215,-25.98736285
4,1,1,gaussian,Gaussian,Gaussian + prop(k=4),4,0.995,tail,3,0.003166608,0.004688672,0.001522064,-48.54767454,0.147951675,0.221207008,0.073255333,-44.89032138
4,2,2,skew_t_k1_thresh0,"Skew-t, K=1","Skew-t, K=1 + prop(k=4)",4,0.9,bulk,3,0.030094477,0.037586844,0.007492366,-24.01796321,1.66427402,1.668520233,0.004246213,-0.304890322
4,2,2,skew_t_k1_thresh0,"Skew-t, K=1","Skew-t, K=1 + prop(k=4)",4,0.91,bulk,3,0.027390747,0.034649665,0.007258919,-25.70217975,1.557052119,1.562609858,0.005557739,-0.411435186
4,2,2,skew_t_k1_thresh0,"Skew-t, K=1","Skew-t, K=1 + prop(k=4)",4,0.92,bulk,3,0.024502149,0.029953813,0.005451664,-20.690761,1.443180087,1.450092695,0.006912607,-0.535101591
4,2,2,skew_t_k1_thresh0,"Skew-t, K=1","Skew-t, K=1 + prop(k=4)",4,0.93,bulk,3,0.021193352,0.026787977,0.005594625,-26.12397986,1.321421491,1.329115473,0.007693982,-0.654989367
4,2,2,skew_t_k1_thresh0,"Skew-t, K=1","Skew-t, K=1 + prop(k=4)",4,0.94,bulk,3,0.016868292,0.021960072,0.00509178,-29.89395145,1.190318318,1.198144149,0.007825832,-0.736279048
4,2,2,skew_t_k1_thresh0,"Skew-t, K=1","Skew-t, K=1 + prop(k=4)",4,0.95,bulk,3,0.01372721,0.01738016,0.00365295,-27.08255342,1.046281872,1.054486768,0.008204896,-0.852994353
4,2,2,skew_t_k1_thresh0,"Skew-t, K=1","Skew-t, K=1 + prop(k=4)",4,0.96,other,3,0.011542048,0.014195027,0.002652978,-23.36943111,0.886200673,0.893250377,0.007049704,-0.859509535
4,2,2,skew_t_k1_thresh0,"Skew-t, K=1","Skew-t, K=1 + prop(k=4)",4,0.97,other,3,0.009207243,0.011780378,0.002573135,-27.71815265,0.706562317,0.713967063,0.007404746,-1.088554471
4,2,2,skew_t_k1_thresh0,"Skew-t, K=1","Skew-t, K=1 + prop(k=4)",4,0.98,tail,3,0.006774184,0.009186502,0.002412317,-36.87860692,0.505602565,0.512977974,0.007375409,-1.47965366
4,2,2,skew_t_k1_thresh0,"Skew-t, K=1","Skew-t, K=1 + prop(k=4)",4,0.99,tail,3,0.004838303,0.006289414,0.001451111,-29.64492727,0.276967544,0.284863443,0.007895899,-3.108464975
4,2,2,skew_t_k1_thresh0,"Skew-t, K=1","Skew-t, K=1 + prop(k=4)",4,0.995,tail,3,0.003004661,0.003795468,0.000790807,-26.00329881,0.147506278,0.152133611,0.004627334,-3.660048322
