"score","method","prop_k","quantile","rel_mean","rel_median"
"brier",1,40,0.9,1,1
"brier",1,40,0.91,1,1
"brier",1,40,0.92,1,1
"brier",1,40,0.93,1,1
"brier",1,40,0.94,1,1
"brier",1,40,0.95,1,1
"brier",1,40,0.96,1,1
"brier",1,40,0.97,1,1
"brier",1,40,0.98,1,1
"brier",1,40,0.99,1,1
"brier",1,40,0.995,1,1
"brier",2,40,0.9,0.34100008687669,0.363925914852359
"brier",2,40,0.91,0.347265992899799,0.372635895733085
"brier",2,40,0.92,0.360628830329596,0.369617664336794
"brier",2,40,0.93,0.36563105506554,0.397051091411464
"brier",2,40,0.94,0.370864336347226,0.392511486147734
"brier",2,40,0.95,0.395676413677652,0.429655313725767
"brier",2,40,0.96,0.419889458427935,0.464168933899361
"brier",2,40,0.97,0.462073146573423,0.496086329729131
"brier",2,40,0.98,0.48829071054588,0.512876924908638
"brier",2,40,0.99,0.599656082670782,0.654954654600272
"brier",2,40,0.995,0.711884642286789,0.751336807454705
"brier",3,40,0.9,0.579298644510335,0.590237668517294
"brier",3,40,0.91,0.591718502390023,0.600220604834725
"brier",3,40,0.92,0.602505013934643,0.616841154647811
"brier",3,40,0.93,0.605462111543425,0.609393658463968
"brier",3,40,0.94,0.611360028994156,0.601346127130065
"brier",3,40,0.95,0.616824234260446,0.610487139653217
"brier",3,40,0.96,0.62218351026216,0.606616095293379
"brier",3,40,0.97,0.626690945680681,0.631715996776729
"brier",3,40,0.98,0.620716584402026,0.624313241327487
"brier",3,40,0.99,0.694266376502215,0.717358771392342
"brier",3,40,0.995,0.769024597520648,0.780502694202603
"brier",4,40,0.9,0.330477161095593,0.327965915304687
"brier",4,40,0.91,0.335751523154163,0.335799402130681
"brier",4,40,0.92,0.345308512104077,0.340525505997432
"brier",4,40,0.93,0.350428735245905,0.339883696236457
"brier",4,40,0.94,0.354682954879734,0.351760050527159
"brier",4,40,0.95,0.368907414940237,0.364621865962285
"brier",4,40,0.96,0.370958251123608,0.326781587545548
"brier",4,40,0.97,0.389315052481884,0.340027982164105
"brier",4,40,0.98,0.363819512397577,0.390968458962506
"brier",4,40,0.99,0.521992228464635,0.489826455162227
"brier",4,40,0.995,0.716328161442387,0.795669253918403
