"score","method","prop_k","dataset","quantile","value"
"brier",1,40,14,0.96,NA
"brier",1,40,14,0.97,NA
"brier",1,40,14,0.98,NA
"brier",1,40,14,0.99,NA
"brier",1,40,14,0.995,NA
"brier",1,40,15,0.9,NA
"brier",1,40,15,0.91,NA
"brier",1,40,15,0.92,NA
"brier",1,40,15,0.93,NA
"brier",1,40,15,0.94,NA
"brier",1,40,15,0.95,NA
"brier",1,40,15,0.96,NA
"brier",1,40,15,0.97,NA
"brier",1,40,15,0.98,NA
"brier",1,40,15,0.99,NA
"brier",1,40,15,0.995,NA
"brier",1,40,16,0.9,NA
"brier",1,40,16,0.91,NA
"brier",1,40,16,0.92,NA
"brier",1,40,16,0.93,NA
"brier",1,40,16,0.94,NA
"brier",1,40,16,0.95,NA
"brier",1,40,16,0.96,NA
"brier",1,40,16,0.97,NA
"brier",1,40,16,0.98,NA
"brier",1,40,16,0.99,NA
"brier",1,40,16,0.995,NA
"brier",1,40,17,0.9,NA
"brier",1,40,17,0.91,NA
"brier",1,40,17,0.92,NA
"brier",1,40,17,0.93,NA
"brier",1,40,17,0.94,NA
"brier",1,40,17,0.95,NA
"brier",1,40,17,0.96,NA
"brier",1,40,17,0.97,NA
"brier",1,40,17,0.98,NA
"brier",1,40,17,0.99,NA
"brier",1,40,17,0.995,NA
"brier",1,40,18,0.9,NA
"brier",1,40,18,0.91,NA
"brier",1,40,18,0.92,NA
"brier",1,40,18,0.93,NA
"brier",1,40,18,0.94,NA
"brier",1,40,18,0.95,NA
"brier",1,40,18,0.96,NA
"brier",1,40,18,0.97,NA
"brier",1,40,18,0.98,NA
"brier",1,40,18,0.99,NA
"brier",1,40,18,0.995,NA
"brier",1,40,19,0.9,NA
"brier",1,40,19,0.91,NA
"brier",1,40,19,0.92,NA
"brier",1,40,19,0.93,NA
"brier",1,40,19,0.94,NA
"brier",1,40,19,0.95,NA
"brier",1,40,19,0.96,NA
"brier",1,40,19,0.97,NA
"brier",1,40,19,0.98,NA
"brier",1,40,19,0.99,NA
"brier",1,40,19,0.995,NA
"brier",1,40,20,0.9,NA
"brier",1,40,20,0.91,NA
"brier",1,40,20,0.92,NA
"brier",1,40,20,0.93,NA
"brier",1,40,20,0.94,NA
"brier",1,40,20,0.95,NA
"brier",1,40,20,0.96,NA
"brier",1,40,20,0.97,NA
"brier",1,40,20,0.98,NA
"brier",1,40,20,0.99,NA
"brier",1,40,20,0.995,NA
"brier",1,40,21,0.9,NA
"brier",1,40,21,0.91,NA
"brier",1,40,21,0.92,NA
"brier",1,40,21,0.93,NA
"brier",1,40,21,0.94,NA
"brier",1,40,21,0.95,NA
"brier",1,40,21,0.96,NA
"brier",1,40,21,0.97,NA
"brier",1,40,21,0.98,NA
"brier",1,40,21,0.99,NA
"brier",1,40,21,0.995,NA
"brier",1,40,22,0.9,NA
"brier",1,40,22,0.91,NA
"brier",1,40,22,0.92,NA
"brier",1,40,22,0.93,NA
"brier",1,40,22,0.94,NA
"brier",1,40,22,0.95,NA
"brier",1,40,22,0.96,NA
"brier",1,40,22,0.97,NA
"brier",1,40,22,0.98,NA
"brier",1,40,22,0.99,NA
"brier",1,40,22,0.995,NA
"brier",1,40,23,0.9,NA
"brier",1,40,23,0.91,NA
"brier",1,40,23,0.92,NA
"brier",1,40,23,0.93,NA
"brier",1,40,23,0.94,NA
"brier",1,40,23,0.95,NA
"brier",1,40,23,0.96,NA
"brier",1,40,23,0.97,NA
"brier",1,40,23,0.98,NA
"brier",1,40,23,0.99,NA
"brier",1,40,23,0.995,NA
"brier",1,40,24,0.9,NA
"brier",1,40,24,0.91,NA
"brier",1,40,24,0.92,NA
"brier",1,40,24,0.93,NA
"brier",1,40,24,0.94,NA
"brier",1,40,24,0.95,NA
"brier",1,40,24,0.96,NA
"brier",1,40,24,0.97,NA
"brier",1,40,24,0.98,NA
"brier",1,40,24,0.99,NA
"brier",1,40,24,0.995,NA
"brier",1,40,25,0.9,NA
"brier",1,40,25,0.91,NA
"brier",1,40,25,0.92,NA
"brier",1,40,25,0.93,NA
"brier",1,40,25,0.94,NA
"brier",1,40,25,0.95,NA
"brier",1,40,25,0.96,NA
"brier",1,40,25,0.97,NA
"brier",1,40,25,0.98,NA
"brier",1,40,25,0.99,NA
"brier",1,40,25,0.995,NA
"brier",1,40,26,0.9,NA
"brier",1,40,26,0.91,NA
"brier",1,40,26,0.92,NA
"brier",1,40,26,0.93,NA
"brier",1,40,26,0.94,NA
"brier",1,40,26,0.95,NA
"brier",1,40,26,0.96,NA
"brier",1,40,26,0.97,NA
"brier",1,40,26,0.98,NA
"brier",1,40,26,0.99,NA
"brier",1,40,26,0.995,NA
"brier",1,40,27,0.9,NA
"brier",1,40,27,0.91,NA
"brier",1,40,27,0.92,NA
"brier",1,40,27,0.93,NA
"brier",1,40,27,0.94,NA
"brier",1,40,27,0.95,NA
"brier",1,40,27,0.96,NA
"brier",1,40,27,0.97,NA
"brier",1,40,27,0.98,NA
"brier",1,40,27,0.99,NA
"brier",1,40,27,0.995,NA
"brier",1,40,28,0.9,NA
"brier",1,40,28,0.91,NA
"brier",1,40,28,0.92,NA
"brier",1,40,28,0.93,NA
"brier",1,40,28,0.94,NA
"brier",1,40,28,0.95,NA
"brier",1,40,28,0.96,NA
"brier",1,40,28,0.97,NA
"brier",1,40,28,0.98,NA
"brier",1,40,28,0.99,NA
"brier",1,40,28,0.995,NA
"brier",1,40,29,0.9,NA
"brier",1,40,29,0.91,NA
"brier",1,40,29,0.92,NA
"brier",1,40,29,0.93,NA
"brier",1,40,29,0.94,NA
"brier",1,40,29,0.95,NA
"brier",1,40,29,0.96,NA
"brier",1,40,29,0.97,NA
"brier",1,40,29,0.98,NA
"brier",1,40,29,0.99,NA
"brier",1,40,29,0.995,NA
"brier",1,40,30,0.9,NA
"brier",1,40,30,0.91,NA
"brier",1,40,30,0.92,NA
"brier",1,40,30,0.93,NA
"brier",1,40,30,0.94,NA
"brier",1,40,30,0.95,NA
"brier",1,40,30,0.96,NA
"brier",1,40,30,0.97,NA
"brier",1,40,30,0.98,NA
"brier",1,40,30,0.99,NA
"brier",1,40,30,0.995,NA
"brier",1,40,31,0.9,NA
"brier",1,40,31,0.91,NA
"brier",1,40,31,0.92,NA
"brier",1,40,31,0.93,NA
"brier",1,40,31,0.94,NA
"brier",1,40,31,0.95,NA
"brier",1,40,31,0.96,NA
"brier",1,40,31,0.97,NA
"brier",1,40,31,0.98,NA
"brier",1,40,31,0.99,NA
"brier",1,40,31,0.995,NA
"brier",1,40,32,0.9,NA
"brier",1,40,32,0.91,NA
"brier",1,40,32,0.92,NA
"brier",1,40,32,0.93,NA
"brier",1,40,32,0.94,NA
"brier",1,40,32,0.95,NA
"brier",1,40,32,0.96,NA
"brier",1,40,32,0.97,NA
"brier",1,40,32,0.98,NA
"brier",1,40,32,0.99,NA
"brier",1,40,32,0.995,NA
"brier",1,40,33,0.9,NA
"brier",1,40,33,0.91,NA
"brier",1,40,33,0.92,NA
"brier",1,40,33,0.93,NA
"brier",1,40,33,0.94,NA
"brier",1,40,33,0.95,NA
"brier",1,40,33,0.96,NA
"brier",1,40,33,0.97,NA
"brier",1,40,33,0.98,NA
"brier",1,40,33,0.99,NA
"brier",1,40,33,0.995,NA
"brier",1,40,34,0.9,NA
"brier",1,40,34,0.91,NA
"brier",1,40,34,0.92,NA
"brier",1,40,34,0.93,NA
"brier",1,40,34,0.94,NA
"brier",1,40,34,0.95,NA
"brier",1,40,34,0.96,NA
"brier",1,40,34,0.97,NA
"brier",1,40,34,0.98,NA
"brier",1,40,34,0.99,NA
"brier",1,40,34,0.995,NA
"brier",1,40,35,0.9,NA
"brier",1,40,35,0.91,NA
"brier",1,40,35,0.92,NA
"brier",1,40,35,0.93,NA
"brier",1,40,35,0.94,NA
"brier",1,40,35,0.95,NA
"brier",1,40,35,0.96,NA
"brier",1,40,35,0.97,NA
"brier",1,40,35,0.98,NA
"brier",1,40,35,0.99,NA
"brier",1,40,35,0.995,NA
"brier",1,40,36,0.9,NA
"brier",1,40,36,0.91,NA
"brier",1,40,36,0.92,NA
"brier",1,40,36,0.93,NA
"brier",1,40,36,0.94,NA
"brier",1,40,36,0.95,NA
"brier",1,40,36,0.96,NA
"brier",1,40,36,0.97,NA
"brier",1,40,36,0.98,NA
"brier",1,40,36,0.99,NA
"brier",1,40,36,0.995,NA
"brier",1,40,37,0.9,NA
"brier",1,40,37,0.91,NA
"brier",1,40,37,0.92,NA
"brier",1,40,37,0.93,NA
"brier",1,40,37,0.94,NA
"brier",1,40,37,0.95,NA
"brier",1,40,37,0.96,NA
"brier",1,40,37,0.97,NA
"brier",1,40,37,0.98,NA
"brier",1,40,37,0.99,NA
"brier",1,40,37,0.995,NA
"brier",1,40,38,0.9,NA
"brier",1,40,38,0.91,NA
"brier",1,40,38,0.92,NA
"brier",1,40,38,0.93,NA
"brier",1,40,38,0.94,NA
"brier",1,40,38,0.95,NA
"brier",1,40,38,0.96,NA
"brier",1,40,38,0.97,NA
"brier",1,40,38,0.98,NA
"brier",1,40,38,0.99,NA
"brier",1,40,38,0.995,NA
"brier",1,40,39,0.9,NA
"brier",1,40,39,0.91,NA
"brier",1,40,39,0.92,NA
"brier",1,40,39,0.93,NA
"brier",1,40,39,0.94,NA
"brier",1,40,39,0.95,NA
"brier",1,40,39,0.96,NA
"brier",1,40,39,0.97,NA
"brier",1,40,39,0.98,NA
"brier",1,40,39,0.99,NA
"brier",1,40,39,0.995,NA
"brier",1,40,40,0.9,NA
"brier",1,40,40,0.91,NA
"brier",1,40,40,0.92,NA
"brier",1,40,40,0.93,NA
"brier",1,40,40,0.94,NA
"brier",1,40,40,0.95,NA
"brier",1,40,40,0.96,NA
"brier",1,40,40,0.97,NA
"brier",1,40,40,0.98,NA
"brier",1,40,40,0.99,NA
"brier",1,40,40,0.995,NA
"brier",1,40,41,0.9,NA
"brier",1,40,41,0.91,NA
"brier",1,40,41,0.92,NA
"brier",1,40,41,0.93,NA
"brier",1,40,41,0.94,NA
"brier",1,40,41,0.95,NA
"brier",1,40,41,0.96,NA
"brier",1,40,41,0.97,NA
"brier",1,40,41,0.98,NA
"brier",1,40,41,0.99,NA
"brier",1,40,41,0.995,NA
"brier",1,40,42,0.9,NA
"brier",1,40,42,0.91,NA
"brier",1,40,42,0.92,NA
"brier",1,40,42,0.93,NA
"brier",1,40,42,0.94,NA
"brier",1,40,42,0.95,NA
"brier",1,40,42,0.96,NA
"brier",1,40,42,0.97,NA
"brier",1,40,42,0.98,NA
"brier",1,40,42,0.99,NA
"brier",1,40,42,0.995,NA
"brier",1,40,43,0.9,NA
"brier",1,40,43,0.91,NA
"brier",1,40,43,0.92,NA
"brier",1,40,43,0.93,NA
"brier",1,40,43,0.94,NA
"brier",1,40,43,0.95,NA
"brier",1,40,43,0.96,NA
"brier",1,40,43,0.97,NA
"brier",1,40,43,0.98,NA
"brier",1,40,43,0.99,NA
"brier",1,40,43,0.995,NA
"brier",1,40,44,0.9,NA
"brier",1,40,44,0.91,NA
"brier",1,40,44,0.92,NA
"brier",1,40,44,0.93,NA
"brier",1,40,44,0.94,NA
"brier",1,40,44,0.95,NA
"brier",1,40,44,0.96,NA
"brier",1,40,44,0.97,NA
"brier",1,40,44,0.98,NA
"brier",1,40,44,0.99,NA
"brier",1,40,44,0.995,NA
"brier",1,40,45,0.9,NA
"brier",1,40,45,0.91,NA
"brier",1,40,45,0.92,NA
"brier",1,40,45,0.93,NA
"brier",1,40,45,0.94,NA
"brier",1,40,45,0.95,NA
"brier",1,40,45,0.96,NA
"brier",1,40,45,0.97,NA
"brier",1,40,45,0.98,NA
"brier",1,40,45,0.99,NA
"brier",1,40,45,0.995,NA
"brier",1,40,46,0.9,NA
"brier",1,40,46,0.91,NA
"brier",1,40,46,0.92,NA
"brier",1,40,46,0.93,NA
"brier",1,40,46,0.94,NA
"brier",1,40,46,0.95,NA
"brier",1,40,46,0.96,NA
"brier",1,40,46,0.97,NA
"brier",1,40,46,0.98,NA
"brier",1,40,46,0.99,NA
"brier",1,40,46,0.995,NA
"brier",1,40,47,0.9,NA
"brier",1,40,47,0.91,NA
"brier",1,40,47,0.92,NA
"brier",1,40,47,0.93,NA
"brier",1,40,47,0.94,NA
"brier",1,40,47,0.95,NA
"brier",1,40,47,0.96,NA
"brier",1,40,47,0.97,NA
"brier",1,40,47,0.98,NA
"brier",1,40,47,0.99,NA
"brier",1,40,47,0.995,NA
"brier",1,40,48,0.9,NA
"brier",1,40,48,0.91,NA
"brier",1,40,48,0.92,NA
"brier",1,40,48,0.93,NA
"brier",1,40,48,0.94,NA
"brier",1,40,48,0.95,NA
"brier",1,40,48,0.96,NA
"brier",1,40,48,0.97,NA
"brier",1,40,48,0.98,NA
"brier",1,40,48,0.99,NA
"brier",1,40,48,0.995,NA
"brier",1,40,49,0.9,NA
"brier",1,40,49,0.91,NA
"brier",1,40,49,0.92,NA
"brier",1,40,49,0.93,NA
"brier",1,40,49,0.94,NA
"brier",1,40,49,0.95,NA
"brier",1,40,49,0.96,NA
"brier",1,40,49,0.97,NA
"brier",1,40,49,0.98,NA
"brier",1,40,49,0.99,NA
"brier",1,40,49,0.995,NA
"brier",1,40,50,0.9,NA
"brier",1,40,50,0.91,NA
"brier",1,40,50,0.92,NA
"brier",1,40,50,0.93,NA
"brier",1,40,50,0.94,NA
"brier",1,40,50,0.95,NA
"brier",1,40,50,0.96,NA
"brier",1,40,50,0.97,NA
"brier",1,40,50,0.98,NA
"brier",1,40,50,0.99,NA
"brier",1,40,50,0.995,NA
"brier",2,40,1,0.9,0.0575965036954545
"brier",2,40,1,0.91,0.05241099925
"brier",2,40,1,0.92,0.0470618457227273
"brier",2,40,1,0.93,0.0425856684818182
"brier",2,40,1,0.94,0.0364428170454545
"brier",2,40,1,0.95,0.0305141616454545
"brier",2,40,1,0.96,0.0243332022954545
"brier",2,40,1,0.97,0.01929846025
"brier",2,40,1,0.98,0.0127774534863636
"brier",2,40,1,0.99,0.00816304516818182
"brier",2,40,1,0.995,0.0039669978
"brier",2,40,2,0.9,0.0494061349772727
"brier",2,40,2,0.91,0.0446908038545455
"brier",2,40,2,0.92,0.0397687749590909
"brier",2,40,2,0.93,0.0363405770045455
"brier",2,40,2,0.94,0.0349802996727273
"brier",2,40,2,0.95,0.0307128450681818
"brier",2,40,2,0.96,0.0242972569409091
"brier",2,40,2,0.97,0.0195634918363636
"brier",2,40,2,0.98,0.0131801113090909
"brier",2,40,2,0.99,0.00776416275909091
"brier",2,40,2,0.995,0.00411766980454545
"brier",2,40,3,0.9,0.0218016767545455
"brier",2,40,3,0.91,0.0217882402727273
"brier",2,40,3,0.92,0.0205616667954545
"brier",2,40,3,0.93,0.0204955808181818
"brier",2,40,3,0.94,0.0188279930636364
"brier",2,40,3,0.95,0.0157159416318182
"brier",2,40,3,0.96,0.0128905845954545
"brier",2,40,3,0.97,0.0107167200954545
"brier",2,40,3,0.98,0.00736514050909091
"brier",2,40,3,0.99,0.00467708751818182
"brier",2,40,3,0.995,0.00296119994545455
"brier",2,40,4,0.9,0.0193607877
"brier",2,40,4,0.91,0.0184411562909091
"brier",2,40,4,0.92,0.0180609549136364
"brier",2,40,4,0.93,0.0167854433909091
"brier",2,40,4,0.94,0.0130955719545455
"brier",2,40,4,0.95,0.0103093902772727
"brier",2,40,4,0.96,0.0107566595863636
"brier",2,40,4,0.97,0.0131148886181818
"brier",2,40,4,0.98,0.0119249631409091
"brier",2,40,4,0.99,0.00577007453636364
"brier",2,40,4,0.995,0.00445791159545455
"brier",2,40,5,0.9,0.0162561007909091
"brier",2,40,5,0.91,0.0129800769
"brier",2,40,5,0.92,0.0105737539772727
"brier",2,40,5,0.93,0.00990222733181818
"brier",2,40,5,0.94,0.00857206843181818
"brier",2,40,5,0.95,0.00831737786818182
"brier",2,40,5,0.96,0.00293642939545455
"brier",2,40,5,0.97,0.00695013475909091
"brier",2,40,5,0.98,0.00724418679545455
"brier",2,40,5,0.99,0.00536438614545455
"brier",2,40,5,0.995,0.00396156348181818
"brier",2,40,6,0.9,0.0296651058409091
"brier",2,40,6,0.91,0.0291903678636364
"brier",2,40,6,0.92,0.0288966233136364
"brier",2,40,6,0.93,0.0282568340227273
"brier",2,40,6,0.94,0.027746595
"brier",2,40,6,0.95,0.0229704544227273
"brier",2,40,6,0.96,0.0197019219136364
"brier",2,40,6,0.97,0.0141619492090909
"brier",2,40,6,0.98,0.0104342783863636
"brier",2,40,6,0.99,0.00660592968181818
"brier",2,40,6,0.995,0.00384807342272727
"brier",2,40,7,0.9,0.02237685595
"brier",2,40,7,0.91,0.0196741680545455
"brier",2,40,7,0.92,0.0187540311681818
"brier",2,40,7,0.93,0.0166792375
"brier",2,40,7,0.94,0.0161296815409091
"brier",2,40,7,0.95,0.0154047329
"brier",2,40,7,0.96,0.0146795258
"brier",2,40,7,0.97,0.0145594584409091
"brier",2,40,7,0.98,0.0117995038090909
"brier",2,40,7,0.99,0.00853228068181818
"brier",2,40,7,0.995,0.00475895609545455
"brier",2,40,8,0.9,0.0587204781818182
"brier",2,40,8,0.91,0.0553970825545455
"brier",2,40,8,0.92,0.0499047816181818
"brier",2,40,8,0.93,0.0451779570636364
"brier",2,40,8,0.94,0.038712824
"brier",2,40,8,0.95,0.0332214642863636
"brier",2,40,8,0.96,0.0258324641136364
"brier",2,40,8,0.97,0.0192653210181818
"brier",2,40,8,0.98,0.0121878795227273
"brier",2,40,8,0.99,0.00874657271363636
"brier",2,40,8,0.995,0.00563641952727273
"brier",2,40,9,0.9,0.0176755287
"brier",2,40,9,0.91,0.0143667059681818
"brier",2,40,9,0.92,0.0149442508727273
"brier",2,40,9,0.93,0.0125330452454545
"brier",2,40,9,0.94,0.0143062137545455
"brier",2,40,9,0.95,0.01209886865
"brier",2,40,9,0.96,0.00922898097727273
"brier",2,40,9,0.97,0.00759189804545455
"brier",2,40,9,0.98,0.00529554011363636
"brier",2,40,9,0.99,0.00279246939545455
"brier",2,40,9,0.995,0.00120342807727273
"brier",2,40,10,0.9,0.0518930732272727
"brier",2,40,10,0.91,0.0480622761636364
"brier",2,40,10,0.92,0.04369591285
"brier",2,40,10,0.93,0.0378666852545455
"brier",2,40,10,0.94,0.0349889693318182
"brier",2,40,10,0.95,0.0312242176318182
"brier",2,40,10,0.96,0.0263352802818182
"brier",2,40,10,0.97,0.0199126748863636
"brier",2,40,10,0.98,0.0137186881
"brier",2,40,10,0.99,0.00807865008181818
