"score","quantile","best_method","best_prop_k","best_value"
"brier",0.9,4,40,0.0190604090954545
"brier",0.91,4,40,0.0175153257522727
"brier",0.92,4,40,0.0159555883604545
"brier",0.93,4,40,0.015099465375
"brier",0.94,4,40,0.0145502514581818
"brier",0.95,4,40,0.0130520223259091
"brier",0.96,4,40,0.0109826115145455
"brier",0.97,4,40,0.00993648002409091
"brier",0.98,4,40,0.00763219790727273
"brier",0.99,4,40,0.00498630363545455
"brier",0.995,4,40,0.00325745449181818
"quant",0.9,4,40,2.91728578178672
"quant",0.91,4,40,2.76740019240721
"quant",0.92,4,40,2.60064798019596
"quant",0.93,4,40,2.41146770954189
"quant",0.94,4,40,2.20031015180803
"quant",0.95,4,40,1.96376221815771
"quant",0.96,4,40,1.69972368076914
"quant",0.97,4,40,1.38857739900314
"quant",0.98,4,40,1.02850294183873
"quant",0.99,4,40,0.570922021121727
"quant",0.995,4,40,0.30833488843243
