"metric_family","metric","ranking_group","quantile","target_type","target_level","threshold_value","band_type","target_value","prediction_cutoff","ranking_basis","rank","setting","rank_value","score_value","score_se","rel_score_to_gaussian","rel_to_gaussian","gap_to_target","score_direction","method","knots","thresh","CMAQ","TS","ar2","mrts","is_ar2","is_mrts","model_lane"
"score","brier","brier__q0.98",0.98,"threshold_quantile",0.98,88.5,NA,NA,NA,"rel_to_gaussian",2,55,0.973652178984649,0.0125719292291754,0.000688417974695125,0.973652178984649,0.973652178984649,NA,"lower_better","skew-t",5,50,"yes","yes","",NA,FALSE,FALSE,"morris_baseline"
"score","brier","brier__q0.99",0.99,"threshold_quantile",0.99,94.75,NA,NA,NA,"rel_to_gaussian",1,68,0.946636327446131,0.00687592204870412,0.000689344240918838,0.946636327446131,0.946636327446131,NA,"lower_better","t",9,75,"yes","yes","",NA,FALSE,FALSE,"morris_baseline"
"score","brier","brier__q0.99",0.99,"threshold_quantile",0.99,94.75,NA,NA,NA,"rel_to_gaussian",2,8,0.950005025467124,0.00690039069027893,0.000590571815560246,0.950005025467124,0.950005025467124,NA,"lower_better","skew-t",5,50,"yes","no","",NA,FALSE,FALSE,"morris_baseline"
"score","brier","brier__q0.995",0.995,"threshold_quantile",0.995,100.52,NA,NA,NA,"rel_to_gaussian",1,124,0.953374437154472,0.00384227886745836,0.000104501776518954,0.953374437154472,0.953374437154472,NA,"lower_better","t",15,75,"yes","yes","yes",NA,TRUE,FALSE,"ar2"
"score","brier","brier__q0.995",0.995,"threshold_quantile",0.995,100.52,NA,NA,NA,"rel_to_gaussian",2,68,0.955641233668561,0.00385141448511652,0.000118816168870796,0.955641233668561,0.955641233668561,NA,"lower_better","t",9,75,"yes","yes","",NA,FALSE,FALSE,"morris_baseline"
"score","quantile","quantile__q0.1",0.1,"score_quantile",0.1,NA,NA,NA,NA,"rel_to_gaussian",1,72,0.992671725308634,4.36626781130553,0.0105075854511529,0.992671725308634,0.992671725308634,NA,"lower_better","skew-t",15,0,"yes","yes","",NA,FALSE,FALSE,"morris_baseline"
"score","quantile","quantile__q0.1",0.1,"score_quantile",0.1,NA,NA,NA,NA,"rel_to_gaussian",2,122,0.992692946885003,4.36636115443543,0.0130384459592774,0.992692946885003,0.992692946885003,NA,"lower_better","skew-t",15,0,"yes","yes","yes",NA,TRUE,FALSE,"ar2"
"score","quantile","quantile__q0.2",0.2,"score_quantile",0.2,NA,NA,NA,NA,"rel_to_gaussian",1,11,0.995878256042267,7.22277437952521,0.0174133680394832,0.995878256042267,0.995878256042267,NA,"lower_better","skew-t",10,0,"yes","no","",NA,FALSE,FALSE,"morris_baseline"
"score","quantile","quantile__q0.2",0.2,"score_quantile",0.2,NA,NA,NA,NA,"rel_to_gaussian",2,122,0.995896694368948,7.22290810658747,0.0209769283538375,0.995896694368948,0.995896694368948,NA,"lower_better","skew-t",15,0,"yes","yes","yes",NA,TRUE,FALSE,"ar2"
"score","quantile","quantile__q0.3",0.3,"score_quantile",0.3,NA,NA,NA,NA,"rel_to_gaussian",1,33,0.997492800271196,9.18468488781633,0.00920317542865678,0.997492800271196,0.997492800271196,NA,"lower_better","skew-t",6,0,"yes","no","",NA,FALSE,FALSE,"morris_baseline"
"score","quantile","quantile__q0.3",0.3,"score_quantile",0.3,NA,NA,NA,NA,"rel_to_gaussian",2,11,0.997562791037258,9.1853293467349,0.0103705041185211,0.997562791037258,0.997562791037258,NA,"lower_better","skew-t",10,0,"yes","no","",NA,FALSE,FALSE,"morris_baseline"
"score","quantile","quantile__q0.4",0.4,"score_quantile",0.4,NA,NA,NA,NA,"rel_to_gaussian",1,33,0.998211925830326,10.3980780526939,0.0135871799329514,0.998211925830326,0.998211925830326,NA,"lower_better","skew-t",6,0,"yes","no","",NA,FALSE,FALSE,"morris_baseline"
"score","quantile","quantile__q0.4",0.4,"score_quantile",0.4,NA,NA,NA,NA,"rel_to_gaussian",2,37,0.998226716798345,10.398232125828,0.016033090363381,0.998226716798345,0.998226716798345,NA,"lower_better","skew-t",11,0,"yes","no","",NA,FALSE,FALSE,"other_numeric"
"score","quantile","quantile__q0.5",0.5,"score_quantile",0.5,NA,NA,NA,NA,"rel_to_gaussian",1,37,0.998329859111674,10.8964239767133,0.0301302681725488,0.998329859111674,0.998329859111674,NA,"lower_better","skew-t",11,0,"yes","no","",NA,FALSE,FALSE,"other_numeric"
"score","quantile","quantile__q0.5",0.5,"score_quantile",0.5,NA,NA,NA,NA,"rel_to_gaussian",2,60,0.998383158189892,10.8970057176564,0.0321865313663938,0.998383158189892,0.998383158189892,NA,"lower_better","skew-t",7,0,"yes","yes","",NA,FALSE,FALSE,"morris_baseline"
"score","quantile","quantile__q0.6",0.6,"score_quantile",0.6,NA,NA,NA,NA,"rel_to_gaussian",1,60,0.998824560960282,10.6940408758447,0.0377517344470375,0.998824560960282,0.998824560960282,NA,"lower_better","skew-t",7,0,"yes","yes","",NA,FALSE,FALSE,"morris_baseline"
"score","quantile","quantile__q0.6",0.6,"score_quantile",0.6,NA,NA,NA,NA,"rel_to_gaussian",2,107,0.998958223034059,10.6954719456606,0.0395777186968624,0.998958223034059,0.998958223034059,NA,"lower_better","skew-t",6,0,"yes","yes","yes",NA,TRUE,FALSE,"ar2"
"score","quantile","quantile__q0.7",0.7,"score_quantile",0.7,NA,NA,NA,NA,"rel_to_gaussian",1,107,0.9987773225792,9.7395711043923,0.0260419055937495,0.9987773225792,0.9987773225792,NA,"lower_better","skew-t",6,0,"yes","yes","yes",NA,TRUE,FALSE,"ar2"
"score","quantile","quantile__q0.7",0.7,"score_quantile",0.7,NA,NA,NA,NA,"rel_to_gaussian",2,7,0.999162441406092,9.74332658833588,0.0260021282792176,0.999162441406092,0.999162441406092,NA,"lower_better","skew-t",5,0,"yes","no","",NA,FALSE,FALSE,"morris_baseline"
"score","quantile","quantile__q0.8",0.8,"score_quantile",0.8,NA,NA,NA,NA,"rel_to_gaussian",1,204,0.999229031906477,7.93567649813392,0.0226465956142574,0.999229031906477,0.999229031906477,NA,"lower_better","skew-t",1,0,"yes","yes","",10,FALSE,TRUE,"mrts"
"score","quantile","quantile__q0.8",0.8,"score_quantile",0.8,NA,NA,NA,NA,"rel_to_gaussian",2,107,0.999278638268648,7.93607046190986,0.000530327933191188,0.999278638268648,0.999278638268648,NA,"lower_better","skew-t",6,0,"yes","yes","yes",NA,TRUE,FALSE,"ar2"
"score","quantile","quantile__q0.9",0.9,"score_quantile",0.9,NA,NA,NA,NA,"rel_to_gaussian",1,201,0.998274848854493,5.03261249229548,0.0188042620358648,0.998274848854493,0.998274848854493,NA,"lower_better","skew-t",1,0,"yes","yes","",5,FALSE,TRUE,"mrts"
"score","quantile","quantile__q0.9",0.9,"score_quantile",0.9,NA,NA,NA,NA,"rel_to_gaussian",2,7,0.998407840902254,5.03328294637103,0.000779784448782905,0.998407840902254,0.998407840902254,NA,"lower_better","skew-t",5,0,"yes","no","",NA,FALSE,FALSE,"morris_baseline"
"score","quantile","quantile__q0.95",0.95,"score_quantile",0.95,NA,NA,NA,NA,"rel_to_gaussian",1,61,0.995674380996141,2.98833746222829,0.0098265233228203,0.995674380996141,0.995674380996141,NA,"lower_better","skew-t",7,50,"yes","yes","",NA,FALSE,FALSE,"morris_baseline"
"score","quantile","quantile__q0.95",0.95,"score_quantile",0.95,NA,NA,NA,NA,"rel_to_gaussian",2,119,0.995718143734619,2.98846880821182,0.00442825611288233,0.995718143734619,0.995718143734619,NA,"lower_better","skew-t",10,0,"yes","yes","yes",NA,TRUE,FALSE,"ar2"
"score","quantile","quantile__q0.98",0.98,"score_quantile",0.98,NA,NA,NA,NA,"rel_to_gaussian",1,119,0.98613822609525,1.42349933450116,0.0174945079318245,0.98613822609525,0.98613822609525,NA,"lower_better","skew-t",10,0,"yes","yes","yes",NA,TRUE,FALSE,"ar2"
"score","quantile","quantile__q0.98",0.98,"score_quantile",0.98,NA,NA,NA,NA,"rel_to_gaussian",2,36,0.986331550877086,1.42377840054992,0.021841272551437,0.986331550877086,0.986331550877086,NA,"lower_better","skew-t",9,0,"yes","no","",NA,FALSE,FALSE,"morris_baseline"
"score","quantile","quantile__q0.99",0.99,"score_quantile",0.99,NA,NA,NA,NA,"rel_to_gaussian",1,108,0.971766891136741,0.796983680726877,0.0148123198244147,0.971766891136741,0.971766891136741,NA,"lower_better","skew-t",6,50,"yes","yes","yes",NA,TRUE,FALSE,"ar2"
"score","quantile","quantile__q0.99",0.99,"score_quantile",0.99,NA,NA,NA,NA,"rel_to_gaussian",2,67,0.973176996561271,0.798140162823258,0.0173268957383748,0.973176996561271,0.973176996561271,NA,"lower_better","skew-t",9,50,"yes","yes","",NA,FALSE,FALSE,"morris_baseline"
"score","quantile","quantile__q0.995",0.995,"score_quantile",0.995,NA,NA,NA,NA,"rel_to_gaussian",1,108,0.941222114214993,0.441280030869755,0.0126401672617275,0.941222114214993,0.941222114214993,NA,"lower_better","skew-t",6,50,"yes","yes","yes",NA,TRUE,FALSE,"ar2"
"score","quantile","quantile__q0.995",0.995,"score_quantile",0.995,NA,NA,NA,NA,"rel_to_gaussian",2,114,0.942789565373732,0.442014910432473,0.0154074850123995,0.942789565373732,0.942789565373732,NA,"lower_better","skew-t",8,50,"yes","yes","yes",NA,TRUE,FALSE,"ar2"
"scalar","crps","crps",NA,"scalar",NA,NA,NA,NA,NA,"rel_to_gaussian",1,35,0.976987265141322,4.0529210309693,0.0150577716024345,0.976987265141322,0.976987265141322,NA,"lower_better","skew-t",8,0,"yes","no","",NA,FALSE,FALSE,"morris_baseline"
"scalar","crps","crps",NA,"scalar",NA,NA,NA,NA,NA,"rel_to_gaussian",2,11,0.977109700020444,4.05342893820026,0.0108472356037805,0.977109700020444,0.977109700020444,NA,"lower_better","skew-t",10,0,"yes","no","",NA,FALSE,FALSE,"morris_baseline"
"split_score","brier_split","brier_split__all__q0.9",0.9,"threshold_quantile",0.9,73.25,"all",NA,NA,"rel_to_gaussian",1,204,0.99157015287026,0.044665160164224,0.00126021543470827,0.99157015287026,0.99157015287026,NA,"lower_better","skew-t",1,0,"yes","yes","",10,FALSE,TRUE,"mrts"
"split_score","brier_split","brier_split__all__q0.9",0.9,"threshold_quantile",0.9,73.25,"all",NA,NA,"rel_to_gaussian",2,51,0.992240779164545,0.0446953684462682,0.00130112263814953,0.992240779164545,0.992240779164545,NA,"lower_better","skew-t",1,0,"yes","yes","",NA,FALSE,FALSE,"morris_baseline"
"split_score","brier_split","brier_split__below_threshold__q0.9",0.9,"threshold_quantile",0.9,73.25,"below_threshold",NA,NA,"rel_to_gaussian",1,18,0.24501155274888,0.00442752616310303,0.00278823925968084,0.24501155274888,0.24501155274888,NA,"lower_better","skew-t",15,85,"yes","no","",NA,FALSE,FALSE,"other_numeric"
"split_score","brier_split","brier_split__below_threshold__q0.9",0.9,"threshold_quantile",0.9,73.25,"below_threshold",NA,NA,"rel_to_gaussian",2,14,0.440024702252306,0.00795154701799101,0.0040237421475916,0.440024702252306,0.440024702252306,NA,"lower_better","skew-t",10,85,"yes","no","",NA,FALSE,FALSE,"other_numeric"
"split_score","brier_split","brier_split__above_threshold__q0.9",0.9,"threshold_quantile",0.9,73.25,"above_threshold",NA,NA,"rel_to_gaussian",1,2,0,0,0,0,0,NA,"lower_better","max-stable",1,75,"yes","no","",NA,FALSE,FALSE,"morris_baseline"
"split_score","brier_split","brier_split__above_threshold__q0.9",0.9,"threshold_quantile",0.9,73.25,"above_threshold",NA,NA,"rel_to_gaussian",2,4,0.954338636967767,0.276580268927364,0.00171064778543889,0.954338636967767,0.954338636967767,NA,"lower_better","skew-t",1,50,"yes","no","",NA,FALSE,FALSE,"morris_baseline"
"split_score","brier_split","brier_split__all__q0.95",0.95,"threshold_quantile",0.95,79.75,"all",NA,NA,"rel_to_gaussian",1,111,0.985568316004244,0.0266400412497031,0.00199102379200531,0.985568316004244,0.985568316004244,NA,"lower_better","skew-t",7,50,"yes","yes","yes",NA,TRUE,FALSE,"ar2"
"split_score","brier_split","brier_split__all__q0.95",0.95,"threshold_quantile",0.95,79.75,"all",NA,NA,"rel_to_gaussian",2,120,0.988640940047673,0.0267230946818524,0.0020421315810772,0.988640940047673,0.988640940047673,NA,"lower_better","skew-t",10,50,"yes","yes","yes",NA,TRUE,FALSE,"ar2"
"split_score","brier_split","brier_split__below_threshold__q0.95",0.95,"threshold_quantile",0.95,79.75,"below_threshold",NA,NA,"rel_to_gaussian",1,18,0.476071112854483,0.00401408856972354,0.00183377620710541,0.476071112854483,0.476071112854483,NA,"lower_better","skew-t",15,85,"yes","no","",NA,FALSE,FALSE,"other_numeric"
"split_score","brier_split","brier_split__below_threshold__q0.95",0.95,"threshold_quantile",0.95,79.75,"below_threshold",NA,NA,"rel_to_gaussian",2,14,0.623342386572323,0.00525583569639724,0.00135830280875286,0.623342386572323,0.623342386572323,NA,"lower_better","skew-t",10,85,"yes","no","",NA,FALSE,FALSE,"other_numeric"
"split_score","brier_split","brier_split__above_threshold__q0.95",0.95,"threshold_quantile",0.95,79.75,"above_threshold",NA,NA,"rel_to_gaussian",1,16,0.931669499994428,0.354260626485369,0.0119811998421351,0.931669499994428,0.931669499994428,NA,"lower_better","skew-t",15,50,"yes","no","",NA,FALSE,FALSE,"morris_baseline"
"split_score","brier_split","brier_split__above_threshold__q0.95",0.95,"threshold_quantile",0.95,79.75,"above_threshold",NA,NA,"rel_to_gaussian",2,38,0.933862027631005,0.355094319349764,0.0136512503163724,0.933862027631005,0.933862027631005,NA,"lower_better","skew-t",6,50,"yes","no","",NA,FALSE,FALSE,"morris_baseline"
"split_score","brier_split","brier_split__all__q0.98",0.98,"threshold_quantile",0.98,88.5,"all",NA,NA,"rel_to_gaussian",1,58,0.97343131219246,0.0125690773671446,0.000702658995885107,0.97343131219246,0.97343131219246,NA,"lower_better","skew-t",6,50,"yes","yes","",NA,FALSE,FALSE,"morris_baseline"
"split_score","brier_split","brier_split__all__q0.98",0.98,"threshold_quantile",0.98,88.5,"all",NA,NA,"rel_to_gaussian",2,55,0.973652178984649,0.0125719292291754,0.000688417974695125,0.973652178984649,0.973652178984649,NA,"lower_better","skew-t",5,50,"yes","yes","",NA,FALSE,FALSE,"morris_baseline"
"split_score","brier_split","brier_split__below_threshold__q0.98",0.98,"threshold_quantile",0.98,88.5,"below_threshold",NA,NA,"rel_to_gaussian",1,207,0.987700257591891,0.00218704477464333,0.000217227781357016,0.987700257591891,0.987700257591891,NA,"lower_better","skew-t",1,0,"yes","yes","",15,FALSE,TRUE,"mrts"
"split_score","brier_split","brier_split__below_threshold__q0.98",0.98,"threshold_quantile",0.98,88.5,"below_threshold",NA,NA,"rel_to_gaussian",2,204,0.997058282253765,0.00220776606005398,0.00020807614418757,0.997058282253765,0.997058282253765,NA,"lower_better","skew-t",1,0,"yes","yes","",10,FALSE,TRUE,"mrts"
"split_score","brier_split","brier_split__above_threshold__q0.98",0.98,"threshold_quantile",0.98,88.5,"above_threshold",NA,NA,"rel_to_gaussian",1,71,0.854107543039712,0.461185855581764,0.00767364514698116,0.854107543039712,0.854107543039712,NA,"lower_better","t",10,75,"yes","yes","",NA,FALSE,FALSE,"morris_baseline"
"split_score","brier_split","brier_split__above_threshold__q0.98",0.98,"threshold_quantile",0.98,88.5,"above_threshold",NA,NA,"rel_to_gaussian",2,74,0.855860648778387,0.462132466552015,0.00353065733462418,0.855860648778387,0.855860648778387,NA,"lower_better","t",15,75,"yes","yes","",NA,FALSE,FALSE,"morris_baseline"
"split_score","brier_split","brier_split__all__q0.99",0.99,"threshold_quantile",0.99,94.75,"all",NA,NA,"rel_to_gaussian",1,68,0.946636327446131,0.00687592204870412,0.000689344240918838,0.946636327446131,0.946636327446131,NA,"lower_better","t",9,75,"yes","yes","",NA,FALSE,FALSE,"morris_baseline"
"split_score","brier_split","brier_split__all__q0.99",0.99,"threshold_quantile",0.99,94.75,"all",NA,NA,"rel_to_gaussian",2,8,0.950005025467124,0.00690039069027893,0.000590571815560246,0.950005025467124,0.950005025467124,NA,"lower_better","skew-t",5,50,"yes","no","",NA,FALSE,FALSE,"morris_baseline"
"split_score","brier_split","brier_split__below_threshold__q0.99",0.99,"threshold_quantile",0.99,94.75,"below_threshold",NA,NA,"rel_to_gaussian",1,207,0.991140551782412,0.000745675666657019,8.78786026839552e-05,0.991140551782412,0.991140551782412,NA,"lower_better","skew-t",1,0,"yes","yes","",15,FALSE,TRUE,"mrts"
"split_score","brier_split","brier_split__below_threshold__q0.99",0.99,"threshold_quantile",0.99,94.75,"below_threshold",NA,NA,"rel_to_gaussian",2,1,1,0.000752340992724027,9.2872373195407e-05,1,1,NA,"lower_better","gaussian",1,0,"yes","no","",NA,FALSE,FALSE,"gaussian_reference"
"split_score","brier_split","brier_split__above_threshold__q0.99",0.99,"threshold_quantile",0.99,94.75,"above_threshold",NA,NA,"rel_to_gaussian",1,18,0.800877866377115,0.523313380290038,0.0410704941361917,0.800877866377115,0.800877866377115,NA,"lower_better","skew-t",15,85,"yes","no","",NA,FALSE,FALSE,"other_numeric"
"split_score","brier_split","brier_split__above_threshold__q0.99",0.99,"threshold_quantile",0.99,94.75,"above_threshold",NA,NA,"rel_to_gaussian",2,71,0.815683578994043,0.532987798628275,0.0386146095684461,0.815683578994043,0.815683578994043,NA,"lower_better","t",10,75,"yes","yes","",NA,FALSE,FALSE,"morris_baseline"
"split_score","brier_split","brier_split__all__q0.995",0.995,"threshold_quantile",0.995,100.52,"all",NA,NA,"rel_to_gaussian",1,124,0.953374437154472,0.00384227886745836,0.000104501776518954,0.953374437154472,0.953374437154472,NA,"lower_better","t",15,75,"yes","yes","yes",NA,TRUE,FALSE,"ar2"
"split_score","brier_split","brier_split__all__q0.995",0.995,"threshold_quantile",0.995,100.52,"all",NA,NA,"rel_to_gaussian",2,68,0.955641233668561,0.00385141448511652,0.000118816168870796,0.955641233668561,0.955641233668561,NA,"lower_better","t",9,75,"yes","yes","",NA,FALSE,FALSE,"morris_baseline"
"split_score","brier_split","brier_split__below_threshold__q0.995",0.995,"threshold_quantile",0.995,100.52,"below_threshold",NA,NA,"rel_to_gaussian",1,1,1,0.000231575676146745,1.53424841318808e-06,1,1,NA,"lower_better","gaussian",1,0,"yes","no","",NA,FALSE,FALSE,"gaussian_reference"
"split_score","brier_split","brier_split__below_threshold__q0.995",0.995,"threshold_quantile",0.995,100.52,"below_threshold",NA,NA,"rel_to_gaussian",2,207,1.00968170033519,0.000233817722448117,2.01324486118753e-06,1.00968170033519,1.00968170033519,NA,"lower_better","skew-t",1,0,"yes","yes","",15,FALSE,TRUE,"mrts"
"split_score","brier_split","brier_split__above_threshold__q0.995",0.995,"threshold_quantile",0.995,100.52,"above_threshold",NA,NA,"rel_to_gaussian",1,18,0.736009749747604,0.559865269087875,0.0691665626362625,0.736009749747604,0.736009749747604,NA,"lower_better","skew-t",15,85,"yes","no","",NA,FALSE,FALSE,"other_numeric"
"split_score","brier_split","brier_split__above_threshold__q0.995",0.995,"threshold_quantile",0.995,100.52,"above_threshold",NA,NA,"rel_to_gaussian",2,14,0.764020656829048,0.581172505895439,0.0667435968631813,0.764020656829048,0.764020656829048,NA,"lower_better","skew-t",10,85,"yes","no","",NA,FALSE,FALSE,"other_numeric"
"classification","accuracy","classification__accuracy__q0.9__cutoff0.5",0.9,"threshold_quantile",0.9,73.25,NA,NA,0.5,"raw_score",1,63,0.938961279358879,0.938961279358879,0.00152384192144134,1.00142325311948,1.00142325311948,0.00133448026671346,"higher_better","skew-t",8,0,"yes","yes","",NA,FALSE,FALSE,"morris_baseline"
"classification","accuracy","classification__accuracy__q0.9__cutoff0.5",0.9,"threshold_quantile",0.9,73.25,NA,NA,0.5,"raw_score",2,116,0.93875264361636,0.93875264361636,0.00198254017958943,1.0012007384231,1.0012007384231,0.00112584452419418,"higher_better","skew-t",9,0,"yes","yes","yes",NA,TRUE,FALSE,"ar2"
"classification","accuracy","classification__accuracy__q0.95__cutoff0.5",0.95,"threshold_quantile",0.95,79.75,NA,NA,0.5,"raw_score",1,15,0.964476792371266,0.964476792371266,0.00268166390947083,1.00073530851223,1.00073530851223,0.000708666906466426,"higher_better","skew-t",15,0,"yes","no","",NA,FALSE,FALSE,"morris_baseline"
"classification","accuracy","classification__accuracy__q0.95__cutoff0.5",0.95,"threshold_quantile",0.95,79.75,NA,NA,0.5,"raw_score",2,35,0.964351635957037,0.964351635957037,0.00289017449557583,1.00060544697093,1.00060544697093,0.000583510492237704,"higher_better","skew-t",8,0,"yes","no","",NA,FALSE,FALSE,"morris_baseline"
