"metric_family","metric","ranking_group","quantile","target_type","target_level","threshold_value","band_type","target_value","prediction_cutoff","ranking_basis","rank","setting","rank_value","score_value","score_se","rel_score_to_gaussian","rel_to_gaussian","gap_to_target","score_direction","method","knots","thresh","CMAQ","TS","ar2","mrts","setting_orig","source","is_baseline","is_proposed","model_lane"
"score","brier","brier__q0.9",0.9,"threshold_quantile",0.9,73.25,NA,NA,NA,"rel_to_gaussian",2,11,1.14511244718763,0.0515814546370013,0.00149468316413312,1.14511244718763,1.14511244718763,NA,"lower_better","skew-t",1,50,"yes",NA,NA,"100",10,"ozone_prop_us_all_results",FALSE,TRUE,"proposed"
"score","brier","brier__q0.95",0.95,"threshold_quantile",0.95,79.75,NA,NA,NA,"rel_to_gaussian",1,1,1,0.0270301315668394,0.00205895451591001,1,1,NA,"lower_better","gaussian",1,0,"yes","no","",NA,1,"ozone_us_all_results",TRUE,FALSE,"gaussian_reference"
"score","brier","brier__q0.95",0.95,"threshold_quantile",0.95,79.75,NA,NA,NA,"rel_to_gaussian",2,6,1.17902292140258,0.0318691446858311,0.00194171218437242,1.17902292140258,1.17902292140258,NA,"lower_better","skew-t",1,0,"yes",NA,NA,"100",5,"ozone_prop_us_all_results",FALSE,TRUE,"proposed"
"score","brier","brier__q0.98",0.98,"threshold_quantile",0.98,88.5,NA,NA,NA,"rel_to_gaussian",1,1,1,0.0129121358741124,0.00068324673182685,1,1,NA,"lower_better","gaussian",1,0,"yes","no","",NA,1,"ozone_us_all_results",TRUE,FALSE,"gaussian_reference"
"score","brier","brier__q0.98",0.98,"threshold_quantile",0.98,88.5,NA,NA,NA,"rel_to_gaussian",2,13,1.14064927321423,0.0147282184004497,0.00126173497626033,1.14064927321423,1.14064927321423,NA,"lower_better","skew-t",1,0,"yes",NA,NA,"140",12,"ozone_prop_us_all_results",FALSE,TRUE,"proposed"
"score","brier","brier__q0.99",0.99,"threshold_quantile",0.99,94.75,NA,NA,NA,"rel_to_gaussian",1,1,1,0.00726353072383586,0.000585627911466105,1,1,NA,"lower_better","gaussian",1,0,"yes","no","",NA,1,"ozone_us_all_results",TRUE,FALSE,"gaussian_reference"
"score","brier","brier__q0.99",0.99,"threshold_quantile",0.99,94.75,NA,NA,NA,"rel_to_gaussian",2,13,1.1150800497958,0.00809941820122823,0.000964852939912906,1.1150800497958,1.1150800497958,NA,"lower_better","skew-t",1,0,"yes",NA,NA,"140",12,"ozone_prop_us_all_results",FALSE,TRUE,"proposed"
"score","brier","brier__q0.995",0.995,"threshold_quantile",0.995,100.52,NA,NA,NA,"rel_to_gaussian",1,1,1,0.00403018868318556,5.64318006315892e-05,1,1,NA,"lower_better","gaussian",1,0,"yes","no","",NA,1,"ozone_us_all_results",TRUE,FALSE,"gaussian_reference"
"score","brier","brier__q0.995",0.995,"threshold_quantile",0.995,100.52,NA,NA,NA,"rel_to_gaussian",2,12,1.1030914735845,0.00444566677335875,0.000168662112193464,1.1030914735845,1.1030914735845,NA,"lower_better","skew-t",1,0,"yes",NA,NA,"120",11,"ozone_prop_us_all_results",FALSE,TRUE,"proposed"
"score","quantile","quantile__q0.1",0.1,"score_quantile",0.1,NA,NA,NA,NA,"rel_to_gaussian",1,1,1,4.39850123659763,0.0092637342068036,1,1,NA,"lower_better","gaussian",1,0,"yes","no","",NA,1,"ozone_us_all_results",TRUE,FALSE,"gaussian_reference"
