"setting","rel_brier_q99","rel_quant_q99"
1,1,1
2,1.14317871542446,1.02206399928822
3,0.986025976069817,0.990805404327132
4,0.967088208346441,0.985122835734832
5,0.962262755607726,0.994393542072432
6,0.96520778527285,1.00462302007235
7,0.964353619378867,0.980449931248356
8,0.950005025467124,0.975479675360752
9,0.966691728962341,0.994056895497949
10,1.01829409261549,1.14826519724656
11,0.957372571578199,0.97878844541778
12,0.973464751864891,0.98213885537396
13,0.950570561289716,0.993127586230065
14,1.0344126754606,1.96388951479747
15,0.952248161337314,0.983813380043996
16,0.951931387791123,0.979855198705339
17,0.961064918412082,0.990680291445929
18,1.08715762996942,308.72667377528
19,0.965502500279657,0.994250836782648
20,0.976643414595526,1.00457008403234
21,0.957153424256572,0.99306733837073
22,0.961116207787177,1.00627684575882
23,0.967032355205212,0.992795721285167
24,0.965984622457456,1.00298191513426
25,0.966774454331442,0.99358843635632
26,0.975707581112382,1.00573982080276
27,0.98577249696371,0.991603079718763
28,0.96287267938943,0.993272781937553
29,0.985789360475731,0.991394093229952
30,0.963198133780704,0.993407911093322
31,0.986966403390107,0.991473408273935
32,0.960835639102045,0.99512619547155
33,0.962589652341181,0.978443666199426
34,0.954287358280202,0.973906893739071
35,0.96119574456117,0.978178535684875
36,0.96387751156483,0.973443032873178
37,0.963192507452394,0.982571443482371
38,0.954724542466387,0.978198098377278
39,0.957313507171649,0.97878770185461
40,0.963376732951268,0.97812352561979
41,0.964570578357214,0.975329789200414
42,0.955125864378675,0.979340666517682
43,0.952316138668984,0.990683443502087
44,0.962049227385573,0.992675354830113
45,0.9542587927281,0.992212511925217
46,0.964456066629136,0.992114933295635
47,0.963335795896836,1.0056149279744
48,0.965853964562437,1.00386151267639
49,0.961638548320849,1.00629809540526
50,0.969113762350877,1.00327956999392
51,0.988390361004159,0.992097572391021
52,0.968021210938559,0.985213598430482
53,0.959330478602021,0.993934843121405
54,0.96031657085604,0.978477185641936
55,0.958829942698691,0.974064315055015
56,0.957020799224644,0.988268466642097
57,0.965196704089183,0.980746139024245
58,0.95590353110031,0.975064063677625
59,0.95301584613578,0.98936061413594
60,0.958019064557523,0.976553484883064
61,0.959649533871033,0.973725360861624
62,0.952879251611148,0.987127985439993
63,0.973120163662793,0.983884900170614
64,0.960813352715024,0.976908388499789
65,0.957230608489001,0.989743275972474
66,0.960471453263154,0.979345910123901
67,0.95962988284462,0.973176996561271
68,0.946636327446131,0.989361754383355
69,0.964787181493438,0.981280827130556
70,0.957772257609767,0.978973106231519
71,0.956700313075548,0.986694374635537
72,0.966625138615648,0.978485652887984
73,0.968715185338123,0.979077872310748
74,0.954308810448414,0.991241953864999
