"setting","metric","quantile","target_type","target_level","threshold_value","score_mean","score_se","rel_to_gaussian","method","knots","thresh","CMAQ","TS","ar2","is_baseline","is_proposed","mrts","is_ar2","is_mrts","model_lane"
2,"brier",0,"threshold_quantile",0,2,8.34167500834168e-05,8.34167500834168e-05,0.583382328892249,"max-stable",1,75,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
2,"brier",0.1,"threshold_quantile",0.1,28.875,0.100144311603426,0.00429846575758053,2.58942673701671,"max-stable",1,75,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
2,"brier",0.2,"threshold_quantile",0.2,36,0.200331864747969,0.00446933555210624,3.16697293222895,"max-stable",1,75,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
2,"brier",0.3,"threshold_quantile",0.3,41.625,0.30131131381444,0.00534868451847698,3.81641119059454,"max-stable",1,75,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
2,"brier",0.4,"threshold_quantile",0.4,46.5,0.40170731496688,0.00556116882073371,4.4992680288851,"max-stable",1,75,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
2,"brier",0.5,"threshold_quantile",0.5,50.875,0.500186733370029,0.00235556887219801,5.28836533640049,"max-stable",1,75,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
2,"brier",0.6,"threshold_quantile",0.6,55.429,0.600124411733564,0.00177606338521563,6.34498566552557,"max-stable",1,75,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
2,"brier",0.7,"threshold_quantile",0.7,60.125,0.701312934590004,0.00102931763972025,8.10786846517963,"max-stable",1,75,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
2,"brier",0.8,"threshold_quantile",0.8,65.5,0.800165256529348,0.00403579373321805,11.1841668178683,"max-stable",1,75,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
2,"brier",0.9,"threshold_quantile",0.9,73.25,0.900686820854363,0.00295575645663165,19.9953199621154,"max-stable",1,75,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
2,"brier",0.95,"threshold_quantile",0.95,79.75,0.0310895921878941,0.00153664851558715,1.15018279178614,"max-stable",1,75,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
