"pair_id","quantile","method","knots","thresh","baseline_setting","mrts_setting","mrts_k","baseline_rel_brier","mrts_rel_brier","delta_rel_brier","improve_rel_brier_pct","baseline_abs_brier","mrts_abs_brier","delta_abs_brier","improve_abs_brier_pct","baseline_rel_quant","mrts_rel_quant","delta_rel_quant","improve_rel_quant_pct","baseline_abs_quant","mrts_abs_quant","delta_abs_quant","improve_abs_quant_pct"
1,0,"skew-t",1,0,51,201,5,0.9502556604184,0.983654345768184,0.0333986853497843,-3.51470522523157,0.000135875282837226,0.000140650898502904,4.77561566567815e-06,-3.51470522523157,NA,Inf,NA,NA,0,8.33432978345692e-05,8.33432978345692e-05,NA
1,0.1,"skew-t",1,0,51,201,5,0.998665667904159,0.99499996336709,-0.00366570453706916,0.367060233958193,0.0386227130524886,0.0384809444315971,-0.000141768620891464,0.367060233958186,0.999611866863614,0.998015537809845,-0.00159632905376883,0.159694888254726,4.39679403251727,4.38977257720025,-0.0070214553170187,0.159694888254721
1,0.2,"skew-t",1,0,51,201,5,0.995899229544041,0.994788476417972,-0.0011107531260689,0.111532682536308,0.062997175544284,0.0629269131044773,-7.02624398066509e-05,0.111532682536314,0.99951343197031,0.998785835526746,-0.00072759644356446,0.0727950641073598,7.24913910372602,7.24386208826823,-0.00527701545778925,0.0727950641073626
1,0.3,"skew-t",1,0,51,201,5,0.997746420987681,0.996838878260336,-0.000907542727345167,0.0909592566061806,0.0787735571319869,0.0787019052900174,-7.16518419695e-05,0.0909592566061803,0.999620248710055,0.999268139256052,-0.000352109454002991,0.0352243218819712,9.20427394502124,9.20103180193995,-0.00324214308129278,0.0352243218819722
1,0.4,"skew-t",1,0,51,201,5,0.997813987511294,0.998261817194172,0.000447829682877932,-0.0448810788867462,0.0890876416310947,0.0891276251258135,3.99834947187871e-05,-0.0448810788867392,0.999772140298926,0.999400540400031,-0.000371599898894681,0.0371684590834442,10.4143303448211,10.410459498708,-0.00387084611302946,0.0371684590834435
1,0.5,"skew-t",1,0,51,201,5,0.997713531060978,0.997924900092693,0.000211369031714814,-0.0211853427997556,0.0943662247586208,0.0943862165668231,1.99918082023076e-05,-0.0211853427997619,0.99976422972223,0.999391705106508,-0.000372524615721903,0.037261246666667,10.9120796341793,10.9080136572703,-0.00406597690895438,0.0372612466666642
1,0.6,"skew-t",1,0,51,201,5,0.997566070126713,0.997051777640489,-0.000514292486224588,0.0515547292180117,0.0943522621734037,0.0943036191201291,-4.86430532745663e-05,0.0515547292180112,0.999976525940446,0.999643185002246,-0.000333340938200144,0.0333348763248865,10.7063745338933,10.7028055771836,-0.00356895670975277,0.0333348763248892
1,0.7,"skew-t",1,0,51,201,5,0.996668920389628,0.995698628610269,-0.000970291779359145,0.0973534700951474,0.0862096873395213,0.0861257592173381,-8.3928122183205e-05,0.0973534700951521,1.00004256780274,0.999749926815415,-0.000292640987329951,0.0292628530776375,9.75190913564374,9.74905544880111,-0.00285368684262721,0.029262853077628
1,0.8,"skew-t",1,0,51,201,5,0.993713890841293,0.992712858804823,-0.00100103203646984,0.100736443929787,0.0710947309111537,0.0710231126074124,-7.1618303741347e-05,0.100736443929787,0.999838067572919,0.99944242496096,-0.000395642611959235,0.0395706689703911,7.94051333720723,7.93737122296001,-0.00314211424721567,0.0395706689703865
1,0.9,"skew-t",1,0,51,201,5,0.992240779164545,0.992755676679183,0.000514897514637958,-0.0518923960242287,0.0446953684462682,0.0447185619438668,2.31934975986267e-05,-0.051892396024231,0.999398136655813,0.998274848854493,-0.00112328780132065,0.112396427421748,5.03827533377431,5.03261249229548,-0.00566284147883334,0.112396427421745
1,0.95,"skew-t",1,0,51,201,5,0.996953281494973,0.996086556997984,-0.00086672449698888,0.0869373232504125,0.0269477783648014,0.0269243506876156,-2.34276771858138e-05,0.0869373232504189,0.998449750187276,0.996919906960157,-0.00152984322711869,0.153221854863676,2.99666723337002,2.99207568425096,-0.00459154911906179,0.153221854863684
1,0.98,"skew-t",1,0,51,201,5,0.995100854502497,0.993094113908507,-0.00200674059398953,0.201662031030293,0.0128488774417816,0.0128229661345679,-2.59113072136902e-05,0.201662031030295,0.99552558052283,0.993503607454595,-0.00202197306823582,0.203106088662625,1.43705006443615,1.43413132825815,-0.00291873617800009,0.203106088662632
1,0.99,"skew-t",1,0,51,201,5,0.988390361004159,0.986519042556907,-0.00187131844725252,0.18932989647444,0.00717920375429693,0.00716561137526123,-1.35923790356993e-05,0.189329896474437,0.992097572391021,0.989529360361699,-0.00256821202932178,0.258866879709444,0.813657660181731,0.811551369985302,-0.00210629019642938,0.258866879709452
1,0.995,"skew-t",1,0,51,201,5,0.992113960124778,0.990516641502197,-0.00159731862258194,0.161001526717863,0.00399840645452529,0.00399196895908912,-6.43749543617102e-06,0.161001526717856,0.986475458116869,0.982569344628992,-0.00390611348787717,0.39596661586835,0.462496486255139,0.460665154570005,-0.0018313316851345,0.395966615868349
2,0,"skew-t",1,50,52,202,5,5.87941982152948,7.06435611106216,1.18493628953268,-20.1539663011244,0.000840687263906818,0.00101011909177244,0.000169431827865625,-20.1539663011244,NA,NA,NA,NA,0,0,0,NA
2,0.1,"skew-t",1,50,52,202,5,1.69271209177935,1.60712727335137,-0.0855848184279835,5.05607650844025,0.0654644847644306,0.0621545503288848,-0.00330993443554582,5.05607650844024,1.09505990090534,1.09347366169346,-0.00158623921187662,0.144854104379605,4.81662232828061,4.80964525314563,-0.00697707513497825,0.14485410437959
2,0.2,"skew-t",1,50,52,202,5,1.38133004704119,1.3475911382877,-0.0337389087534896,2.44249437893271,0.0873782094378049,0.0852440015838744,-0.00213420785393044,2.44249437893271,1.03781210506422,1.03595371773554,-0.00185838732868393,0.179067802313688,7.52690666528705,7.51342839893932,-0.0134782663477324,0.179067802313693
2,0.3,"skew-t",1,50,52,202,5,1.20234751315586,1.18872408023886,-0.0136234329169944,1.13306949679102,0.0949271162770272,0.0938515260783089,-0.00107559019871835,1.13306949679103,1.02044442298802,1.01798812020957,-0.00245630277845166,0.240709118803279,9.39601816486929,9.37340109234204,-0.0226170725272521,0.24070911880327
2,0.4,"skew-t",1,50,52,202,5,1.08484271143181,1.07980999708868,-0.00503271434313013,0.463911891567007,0.096857811086807,0.0964084761832638,-0.000449334903543208,0.463911891567011,1.01201752310971,1.00808316636992,-0.00393435673978693,0.388763697262624,10.5418868716034,10.5009038424401,-0.0409830291632876,0.388763697262616
2,0.5,"skew-t",1,50,52,202,5,1.02141901824232,1.01866571217549,-0.00275330606683455,0.269556961213871,0.0966083486365923,0.0963479341077286,-0.000260414528863703,0.269556961213874,1.00723366085067,1.00341921603377,-0.00381444481690152,0.378705057740026,10.9936058829412,10.9519725414345,-0.0416333415067029,0.378705057740022
2,0.6,"skew-t",1,50,52,202,5,1.00494113084247,1.00362581556594,-0.00131531527653594,0.130884808688572,0.0950498136269227,0.0949254078601983,-0.000124405766724456,0.130884808688586,1.00392994242712,1.00080296782897,-0.0031269745981477,0.311473387334965,10.7487022850922,10.7152229379903,-0.0334793471019275,0.311473387334964
2,0.7,"skew-t",1,50,52,202,5,1.00018497090302,1.00017087039691,-1.41005061091715e-05,0.00140978984081722,0.0865138180385212,0.0865125983755035,-1.21966301760978e-06,0.00140978984081678,1.00233007333454,0.999933917720553,-0.00239615561398832,0.239058537475266,9.77421573219429,9.75084963501523,-0.0233660971790606,0.239058537475261
2,0.8,"skew-t",1,50,52,202,5,1.00005428308294,0.999496305860311,-0.000557977222632178,0.0557946935552397,0.0715483508961875,0.0715084307130611,-3.99201831263601e-05,0.0557946935552463,1.00121530627107,0.999862624991376,-0.00135268127969501,0.135103935309673,7.95145109063538,7.94070836729771,-0.0107427233376729,0.13510393530968
2,0.9,"skew-t",1,50,52,202,5,0.998753062533839,0.998408699752702,-0.000344362781136587,0.0344792716092342,0.0449887134797814,0.0449732016990672,-1.55117807141975e-05,0.0344792716092419,1.00121060384522,0.999936265248522,-0.00127433859669268,0.1272797742851,5.04741254185856,5.04098820656805,-0.00642433529051534,0.127279774285099
2,0.95,"skew-t",1,50,52,202,5,0.998690250354236,0.997588414264157,-0.00110183609007819,0.110328111212397,0.0269947288615948,0.0269649460871149,-2.97827744799063e-05,0.110328111212401,0.999734077181074,0.99833347534247,-0.00140060183860491,0.140097438966385,3.00052190970053,2.99631825534942,-0.00420365435111592,0.140097438966392
2,0.98,"skew-t",1,50,52,202,5,0.984513379283401,0.984009195649459,-0.00050418363394189,0.0512114557862963,0.0127121705231889,0.0127056604356019,-6.51008758696149e-06,0.0512114557862966,0.994834914504267,0.993626140249811,-0.00120877425445642,0.121505009206353,1.43605308187146,1.43430820544213,-0.00174487642933596,0.121505009206348
2,0.99,"skew-t",1,50,52,202,5,0.968021210938559,0.968233233864956,0.000212022926396882,-0.0219027149406481,0.00703125180697702,0.00703279184201706,1.54003504004158e-06,-0.0219027149406514,0.985213598430482,0.984176598695136,-0.00103699973534555,0.105256335986182,0.808011846401555,0.807161362737699,-0.000850483663856538,0.105256335986178
2,0.995,"skew-t",1,50,52,202,5,0.97396189823549,0.973918100848279,-4.379738721072e-05,0.00449682757508964,0.0039252502201226,0.00392507370838831,-1.76511734289661e-07,0.00449682757508763,0.965726243764581,0.965211540528251,-0.000514703236329628,0.0532970124455994,0.452768480706164,0.452527168632653,-0.00024131207351169,0.0532970124455938
3,0,"t",1,75,53,203,5,11.2448329465787,7.51745433039949,-3.72737861617925,33.1474787921444,0.00160787766989045,0.00107490676025988,-0.000532970909630561,33.1474787921444,NA,NA,NA,NA,0,0,0,NA
3,0.1,"t",1,75,53,203,5,2.25477313163863,1.9605269127254,-0.294246218913228,13.0499257235422,0.0872018118380909,0.075822040163637,-0.0113797716744539,13.0499257235422,1.32663269040317,1.26408683819933,-0.0625458522038329,4.71463221555509,5.83519552924917,5.56008752098656,-0.275108008262611,4.71463221555509
3,0.2,"t",1,75,53,203,5,2.0752296333924,1.89775843032421,-0.17747120306819,8.55188265493666,0.131271921527016,0.120045700839145,-0.0112262206878709,8.55188265493665,1.24195940149446,1.18616301139665,-0.0557963900978067,4.49260982530238,9.00751923349948,8.60284653939928,-0.404672694100199,4.49260982530238
3,0.3,"t",1,75,53,203,5,1.98955796901922,1.88480675598275,-0.104751213036467,5.26504955711873,0.15707854725732,0.14880828390062,-0.00827026335670006,5.26504955711873,1.19177480357234,1.14565336502828,-0.0461214385440614,3.86997932879706,10.9735890074346,10.5489133812197,-0.424675626214867,3.86997932879708
3,0.4,"t",1,75,53,203,5,1.89603102438931,1.84032356021585,-0.0557074641734678,2.93810931661366,0.16928298714626,0.164309267929474,-0.00497371921678616,2.93810931661366,1.15659866018534,1.11847033646361,-0.0381283237217349,3.29659068735433,12.0479457648681,11.650774306766,-0.397171458102143,3.29659068735433
3,0.5,"t",1,75,53,203,5,1.75370753430879,1.73172753624319,-0.0219799980655924,1.25334456490521,0.16587001598293,0.1637910931528,-0.00207892283012945,1.25334456490521,1.12551958195696,1.09733836002412,-0.0281812219328343,2.50384110455326,12.2846556648209,11.9770674067323,-0.307588258088618,2.50384110455327
3,0.6,"t",1,75,53,203,5,1.60745188035974,1.59883166245817,-0.00862021790156842,0.53626600005216,0.152036768078497,0.151221446583714,-0.000815321494783139,0.536266000052161,1.09548382489298,1.07763656187725,-0.0178472630157258,1.62916718715307,11.7289354508555,11.5378514830878,-0.191083967767703,1.62916718715308
3,0.7,"t",1,75,53,203,5,1.44929762541618,1.44696709053367,-0.002330534882514,0.160804436690135,0.12536108289621,0.12515949671303,-0.000201586183179919,0.160804436690148,1.0680173089653,1.05994994913232,-0.00806735983298101,0.755358528860992,10.4147644186869,10.3360956073896,-0.0786688112973302,0.75535852886098
3,0.8,"t",1,75,53,203,5,1.25744936339198,1.25712763834524,-0.000321725046733334,0.0255855270279416,0.0899635447875933,0.0899405271405264,-2.3017647066928e-05,0.025585527027946,1.04251825369911,1.04129648329725,-0.00122177040186,0.117194149601205,8.27947081258337,8.26976775717309,-0.00970305541028615,0.117194149601194
3,0.9,"t",1,75,53,203,5,1.08682530880556,1.08835579506521,0.00153048625965102,-0.140821735310255,0.0489559173880094,0.0490248579604123,6.89405724028508e-05,-0.140821735310257,1.02263754058349,1.02310241595228,0.000464875368791695,-0.0454584689435958,5.15543236187545,5.15777594249458,0.0023435806191312,-0.0454584689435951
3,0.95,"t",1,75,53,203,5,1.01228039582623,1.01175621723004,-0.000524178596193137,0.051781956694449,0.0273620722817153,0.0273479036652957,-1.41686164196221e-05,0.0517819566944506,1.01434150152749,1.01395219375612,-0.000389307771374581,0.0383803453559105,3.04436346496622,3.04319502775448,-0.00116843721174353,0.0383803453559215
3,0.98,"t",1,75,53,203,5,0.987383198471936,0.987976781984751,0.000593583512815465,-0.0601168334375235,0.0127492260184854,0.0127568904494555,7.66443097010606e-06,-0.0601168334375221,1.00638735252479,1.00374797384073,-0.00263937868405972,0.262262704061029,1.45272912930469,1.4489191626075,-0.00380996669719669,0.262262704061026
3,0.99,"t",1,75,53,203,5,0.959330478602021,0.959855088337757,0.000524609735735315,-0.0546849857725567,0.00696812640563795,0.00697193692457148,3.81051893353669e-06,-0.054684985772554,0.993934843121405,0.992531446094646,-0.00140339702675862,0.141196079045918,0.815164477096928,0.814013496817492,-0.00115098027943605,0.141196079045922
3,0.995,"t",1,75,53,203,5,0.964194728236206,0.963808108210753,-0.000386620025453532,0.0400977120213853,0.00388588668212474,0.00388432853047346,-1.55815165127577e-06,0.040097712021386,0.962959892170864,0.962431328432459,-0.000528563738404486,0.0548894863329053,0.451471511905458,0.451223701511633,-0.000247810393824321,0.0548894863329085
4,0,"skew-t",1,0,51,204,10,0.9502556604184,0.968129839250419,0.0178741788320196,-1.88098630469084,0.000135875282837226,0.000138431078298854,2.55579546162816e-06,-1.88098630469084,NA,NA,NA,NA,0,0,0,NA
4,0.1,"skew-t",1,0,51,204,10,0.998665667904159,0.986025905060037,-0.0126397628441226,1.26566510198042,0.0386227130524886,0.0381338788519452,-0.000488834200543381,1.26566510198041,0.999611866863614,0.998374978883458,-0.0012368879801552,0.123736824377252,4.39679403251727,4.39135357920703,-0.00544045331024545,0.123736824377253
4,0.2,"skew-t",1,0,51,204,10,0.995899229544041,0.988287812744085,-0.00761141679995614,0.764275799614879,0.062997175544284,0.0625157033771581,-0.000481472167125865,0.764275799614879,0.99951343197031,0.998827115865528,-0.000686316104782536,0.0686650206820755,7.24913910372602,7.24416148086117,-0.00497762286484615,0.0686650206820791
4,0.3,"skew-t",1,0,51,204,10,0.997746420987681,0.992994017516056,-0.00475240347162531,0.476313757850502,0.0787735571319869,0.0783983478418191,-0.000375209290167877,0.4763137578505,0.999620248710055,0.999000536201747,-0.000619712508307835,0.0619947934335598,9.20427394502124,9.19856777440196,-0.00570617061927514,0.0619947934335626
4,0.4,"skew-t",1,0,51,204,10,0.997813987511294,0.995444131700297,-0.00236985581099736,0.237504769491972,0.0890876416310947,0.0888760542331929,-0.000211587397901766,0.237504769491973,0.999772140298926,0.998797315367176,-0.000974824931750273,0.0975047105692309,10.4143303448211,10.4041758821606,-0.0101544626604415,0.0975047105692323
4,0.5,"skew-t",1,0,51,204,10,0.997713531060978,0.995627608414588,-0.00208592264639074,0.209070297380105,0.0943662247586208,0.0941689330118916,-0.000197291746729222,0.2090702973801,0.99976422972223,0.99876208580624,-0.00100214391599029,0.100238024745967,10.9120796341793,10.9011415810953,-0.0109380530840077,0.100238024745962
4,0.6,"skew-t",1,0,51,204,10,0.997566070126713,0.995786841028557,-0.00177922909815598,0.178357018290525,0.0943522621734037,0.0941839782919016,-0.00016828388150214,0.178357018290524,0.999976525940446,0.999040857315156,-0.00093566862528971,0.0935690589746337,10.7063745338933,10.6963566799917,-0.0100178539016635,0.0935690589746313
4,0.7,"skew-t",1,0,51,204,10,0.996668920389628,0.99627248827154,-0.000396432118087375,0.039775707858172,0.0862096873395213,0.0861753968261397,-3.42905133816074e-05,0.0397757078581672,1.00004256780274,0.999287379138979,-0.000755188663766004,0.0755156518412287,9.75190913564374,9.74454491789299,-0.00736421775074447,0.0755156518412161
4,0.8,"skew-t",1,0,51,204,10,0.993713890841293,0.991975578082154,-0.00173831275913827,0.174930910713806,0.0710947309111537,0.0709703642509013,-0.000124366660252409,0.174930910713803,0.999838067572919,0.999229031906477,-0.000609035666442215,0.0609134305038648,7.94051333720723,7.93567649813392,-0.00483683907330956,0.0609134305038613
4,0.9,"skew-t",1,0,51,204,10,0.992240779164545,0.99157015287026,-0.000670626294284271,0.0675870522927843,0.0446953684462682,0.044665160164224,-3.0208282044232e-05,0.0675870522927846,0.999398136655813,0.998641433693781,-0.000756702962032119,0.0757158668080169,5.03827533377431,5.03446055993317,-0.00381477384114159,0.0757158668080143
4,0.95,"skew-t",1,0,51,204,10,0.996953281494973,0.993893710742411,-0.00305957075256269,0.306892089063064,0.0269477783648014,0.0268650777648216,-8.27005999798243e-05,0.306892089063067,0.998449750187276,0.997171840866163,-0.00127790932111294,0.1279893475734,2.99666723337002,2.99283181852909,-0.0038354148409363,0.127989347573405
4,0.98,"skew-t",1,0,51,204,10,0.995100854502497,0.992380166377022,-0.00272068812547444,0.273408279488882,0.0128488774417816,0.0128137475470344,-3.51298947472104e-05,0.273408279488884,0.99552558052283,0.994413684000824,-0.00111189652200661,0.111689397415851,1.43705006443615,1.43544503187862,-0.00160503255753297,0.11168939741586
4,0.99,"skew-t",1,0,51,204,10,0.988390361004159,0.984524302209249,-0.00386605879491031,0.391146954426242,0.00717920375429693,0.00715112251745995,-2.80812368369868e-05,0.39114695442624,0.992097572391021,0.990728983181291,-0.0013685892097306,0.137949053381131,0.813657660181731,0.812535227141747,-0.00112243303998383,0.13794905338114
4,0.995,"skew-t",1,0,51,204,10,0.992113960124778,0.990231826145136,-0.00188213397964199,0.1897094542854,0.00399840645452529,0.0039908210994603,-7.58535506499222e-06,0.189709454285402,0.986475458116869,0.985974499484265,-0.000500958632604576,0.0507826756846926,0.462496486255139,0.462261618164471,-0.000234868090668083,0.0507826756847006
5,0,"skew-t",1,50,52,205,10,5.87941982152948,10.4276571431565,4.54823732162698,-77.3586078165752,0.000840687263906818,0.00149103122735639,0.000650343963449571,-77.3586078165752,NA,NA,NA,NA,0,0,0,NA
