"calibration_type","bin_id","bin_left","bin_right","bin_mid","expected_share","observed_share_mean","observed_share_se","share_gap","count_total","count_mean_per_fold","summary_draws_used","n_obs_total","bin_direction","setting","method","knots","thresh","CMAQ","TS","ar2","is_baseline","is_proposed","mrts","is_ar2","is_mrts","model_lane"
"pit_histogram",1,0,0.1,0.05,0.1,0.0799288911316918,0.0104948659587319,-0.0200711088683082,1917,958.5,400,23985,"closer_to_expected_share_better",3,"skew-t",1,0,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
"pit_histogram",2,0.1,0.2,0.15,0.1,0.0804697858648846,0.00753488547312003,-0.0195302141351154,1930,965,400,23985,"closer_to_expected_share_better",3,"skew-t",1,0,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
"pit_histogram",3,0.2,0.3,0.25,0.1,0.100815963500385,0.00787606185830742,0.00081596350038457,2418,1209,400,23985,"closer_to_expected_share_better",3,"skew-t",1,0,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
"pit_histogram",4,0.3,0.4,0.35,0.1,0.117491209639247,0.00296257748120714,0.0174912096392467,2818,1409,400,23985,"closer_to_expected_share_better",3,"skew-t",1,0,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
"pit_histogram",5,0.4,0.5,0.45,0.1,0.125369680758528,0.000911889634070184,0.025369680758528,3007,1503.5,400,23985,"closer_to_expected_share_better",3,"skew-t",1,0,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
"pit_histogram",6,0.5,0.6,0.55,0.1,0.123034199490814,0.00274724587052669,0.0230341994908136,2951,1475.5,400,23985,"closer_to_expected_share_better",3,"skew-t",1,0,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
"pit_histogram",7,0.6,0.7,0.65,0.1,0.11448720538493,0.00270876027315137,0.0144872053849298,2746,1373,400,23985,"closer_to_expected_share_better",3,"skew-t",1,0,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
"pit_histogram",8,0.7,0.8,0.75,0.1,0.0997672153273554,0.00926004148684819,-0.00023278467264462,2393,1196.5,400,23985,"closer_to_expected_share_better",3,"skew-t",1,0,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
"pit_histogram",9,0.8,0.9,0.85,0.1,0.0812993851565995,0.0038052243291053,-0.0187006148434005,1950,975,400,23985,"closer_to_expected_share_better",3,"skew-t",1,0,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
"pit_histogram",10,0.9,1,0.95,0.1,0.077336463745566,0.00943522917766479,-0.022663536254434,1855,927.5,400,23985,"closer_to_expected_share_better",3,"skew-t",1,0,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
"pit_histogram",1,0,0.1,0.05,0.1,0.0678385312043727,0.0119078818753737,-0.0321614687956273,1627,813.5,400,23985,"closer_to_expected_share_better",4,"skew-t",1,50,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
"pit_histogram",2,0.1,0.2,0.15,0.1,0.0753833666124239,0.00778313322074262,-0.0246166333875761,1808,904,400,23985,"closer_to_expected_share_better",4,"skew-t",1,50,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
"pit_histogram",3,0.2,0.3,0.25,0.1,0.0814710997569212,0.00936974108391963,-0.0185289002430788,1954,977,400,23985,"closer_to_expected_share_better",4,"skew-t",1,50,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
"pit_histogram",4,0.3,0.4,0.35,0.1,0.0983544810126456,0.00358078758928972,-0.00164551898735442,2359,1179.5,400,23985,"closer_to_expected_share_better",4,"skew-t",1,50,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
"pit_histogram",5,0.4,0.5,0.45,0.1,0.113029539917512,0.00150165794701929,0.0130295399175119,2711,1355.5,400,23985,"closer_to_expected_share_better",4,"skew-t",1,50,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
"pit_histogram",6,0.5,0.6,0.55,0.1,0.122077754173278,0.00388153845268124,0.022077754173278,2928,1464,400,23985,"closer_to_expected_share_better",4,"skew-t",1,50,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
"pit_histogram",7,0.6,0.7,0.65,0.1,0.12570165814727,0.00508103752664893,0.0257016581472696,3015,1507.5,400,23985,"closer_to_expected_share_better",4,"skew-t",1,50,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
"pit_histogram",8,0.7,0.8,0.75,0.1,0.122406759097182,0.00820922823298418,0.0224067590971817,2936,1468,400,23985,"closer_to_expected_share_better",4,"skew-t",1,50,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
"pit_histogram",9,0.8,0.9,0.85,0.1,0.105269936102644,0.0111758420085502,0.00526993610264431,2525,1262.5,400,23985,"closer_to_expected_share_better",4,"skew-t",1,50,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
"pit_histogram",10,0.9,1,0.95,0.1,0.0884668739757512,0.0135586324008429,-0.0115331260242488,2122,1061,400,23985,"closer_to_expected_share_better",4,"skew-t",1,50,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
"pit_histogram",1,0,0.1,0.05,0.1,0.0440695446634431,0.000892083631518489,-0.0559304553365569,1057,528.5,400,23985,"closer_to_expected_share_better",5,"t",1,75,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
"pit_histogram",2,0.1,0.2,0.15,0.1,0.0560353113803977,0.000771495426409155,-0.0439646886196024,1344,672,400,23985,"closer_to_expected_share_better",5,"t",1,75,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
"pit_histogram",3,0.2,0.3,0.25,0.1,0.0697119662798583,0.00461235804446607,-0.0302880337201418,1672,836,400,23985,"closer_to_expected_share_better",5,"t",1,75,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
"pit_histogram",4,0.3,0.4,0.35,0.1,0.0838844908924929,0.00338732706199573,-0.0161155091075071,2012,1006,400,23985,"closer_to_expected_share_better",5,"t",1,75,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
