"metric","quantile","target_type","target_level","threshold_value","baseline_setting","proposed_setting","baseline_rel_brier","proposed_rel_brier","delta_rel_brier","baseline_rel_score","proposed_rel_score","delta_rel_score","baseline_rel_quant","proposed_rel_quant","delta_rel_quant","method","knots","thresh","CMAQ","TS","proposed_is_ar2","proposed_is_mrts","proposed_is_prop","proposed_lane"
"quantile",0.9,"score_quantile",0.9,NA,51,101,NA,NA,NA,0.999398136655813,0.999243610092444,-0.000154526563369228,0.999398136655813,0.999243610092444,-0.000154526563369228,"skew-t",1,0,"yes","yes",TRUE,FALSE,FALSE,"ar2"
"quantile",0.95,"score_quantile",0.95,NA,51,101,NA,NA,NA,0.998449750187276,0.998161729873089,-0.000288020314187065,0.998449750187276,0.998161729873089,-0.000288020314187065,"skew-t",1,0,"yes","yes",TRUE,FALSE,FALSE,"ar2"
"quantile",0.98,"score_quantile",0.98,NA,51,101,NA,NA,NA,0.99552558052283,0.995161783374471,-0.000363797148359546,0.99552558052283,0.995161783374471,-0.000363797148359546,"skew-t",1,0,"yes","yes",TRUE,FALSE,FALSE,"ar2"
"quantile",0.99,"score_quantile",0.99,NA,51,101,NA,NA,NA,0.992097572391021,0.991474756895074,-0.000622815495947004,0.992097572391021,0.991474756895074,-0.000622815495947004,"skew-t",1,0,"yes","yes",TRUE,FALSE,FALSE,"ar2"
"quantile",0.995,"score_quantile",0.995,NA,51,101,NA,NA,NA,0.986475458116869,0.984133637947125,-0.00234182016974427,0.986475458116869,0.984133637947125,-0.00234182016974427,"skew-t",1,0,"yes","yes",TRUE,FALSE,FALSE,"ar2"
"brier",0,"threshold_quantile",0,2,52,102,5.87941982152948,6.65343455506997,0.774014733540485,5.87941982152948,6.65343455506997,0.774014733540485,NA,NA,NA,"skew-t",1,50,"yes","yes",TRUE,FALSE,FALSE,"ar2"
"brier",0.1,"threshold_quantile",0.1,28.875,52,102,1.69271209177935,1.69964807985129,0.00693598807193685,1.69271209177935,1.69964807985129,0.00693598807193685,NA,NA,NA,"skew-t",1,50,"yes","yes",TRUE,FALSE,FALSE,"ar2"
"brier",0.2,"threshold_quantile",0.2,36,52,102,1.38133004704119,1.38108158973291,-0.000248457308276384,1.38133004704119,1.38108158973291,-0.000248457308276384,NA,NA,NA,"skew-t",1,50,"yes","yes",TRUE,FALSE,FALSE,"ar2"
"brier",0.3,"threshold_quantile",0.3,41.625,52,102,1.20234751315586,1.20257200674439,0.000224493588529162,1.20234751315586,1.20257200674439,0.000224493588529162,NA,NA,NA,"skew-t",1,50,"yes","yes",TRUE,FALSE,FALSE,"ar2"
"brier",0.4,"threshold_quantile",0.4,46.5,52,102,1.08484271143181,1.08557470572562,0.000731994293807992,1.08484271143181,1.08557470572562,0.000731994293807992,NA,NA,NA,"skew-t",1,50,"yes","yes",TRUE,FALSE,FALSE,"ar2"
"brier",0.5,"threshold_quantile",0.5,50.875,52,102,1.02141901824232,1.02169047462079,0.000271456378472035,1.02141901824232,1.02169047462079,0.000271456378472035,NA,NA,NA,"skew-t",1,50,"yes","yes",TRUE,FALSE,FALSE,"ar2"
"brier",0.6,"threshold_quantile",0.6,55.429,52,102,1.00494113084247,1.00503490917034,9.37783278651683e-05,1.00494113084247,1.00503490917034,9.37783278651683e-05,NA,NA,NA,"skew-t",1,50,"yes","yes",TRUE,FALSE,FALSE,"ar2"
"brier",0.7,"threshold_quantile",0.7,60.125,52,102,1.00018497090302,1.00087720768188,0.000692236778861099,1.00018497090302,1.00087720768188,0.000692236778861099,NA,NA,NA,"skew-t",1,50,"yes","yes",TRUE,FALSE,FALSE,"ar2"
"brier",0.8,"threshold_quantile",0.8,65.5,52,102,1.00005428308294,1.00033049271457,0.000276209631630886,1.00005428308294,1.00033049271457,0.000276209631630886,NA,NA,NA,"skew-t",1,50,"yes","yes",TRUE,FALSE,FALSE,"ar2"
"brier",0.9,"threshold_quantile",0.9,73.25,52,102,0.998753062533839,0.998236320285355,-0.000516742248484081,0.998753062533839,0.998236320285355,-0.000516742248484081,NA,NA,NA,"skew-t",1,50,"yes","yes",TRUE,FALSE,FALSE,"ar2"
"brier",0.95,"threshold_quantile",0.95,79.75,52,102,0.998690250354236,0.998963081609385,0.000272831255149653,0.998690250354236,0.998963081609385,0.000272831255149653,NA,NA,NA,"skew-t",1,50,"yes","yes",TRUE,FALSE,FALSE,"ar2"
"brier",0.98,"threshold_quantile",0.98,88.5,52,102,0.984513379283401,0.985062557212806,0.000549177929404898,0.984513379283401,0.985062557212806,0.000549177929404898,NA,NA,NA,"skew-t",1,50,"yes","yes",TRUE,FALSE,FALSE,"ar2"
"brier",0.99,"threshold_quantile",0.99,94.75,52,102,0.968021210938559,0.968096282506052,7.50715674935343e-05,0.968021210938559,0.968096282506052,7.50715674935343e-05,NA,NA,NA,"skew-t",1,50,"yes","yes",TRUE,FALSE,FALSE,"ar2"
"brier",0.995,"threshold_quantile",0.995,100.52,52,102,0.97396189823549,0.972331945733747,-0.00162995250174292,0.97396189823549,0.972331945733747,-0.00162995250174292,NA,NA,NA,"skew-t",1,50,"yes","yes",TRUE,FALSE,FALSE,"ar2"
"quantile",0,"score_quantile",0,NA,52,102,NA,NA,NA,NA,Inf,NA,NA,Inf,NA,"skew-t",1,50,"yes","yes",TRUE,FALSE,FALSE,"ar2"
"quantile",0.1,"score_quantile",0.1,NA,52,102,NA,NA,NA,1.09505990090534,1.09670258722278,0.00164268631744213,1.09505990090534,1.09670258722278,0.00164268631744213,"skew-t",1,50,"yes","yes",TRUE,FALSE,FALSE,"ar2"
"quantile",0.2,"score_quantile",0.2,NA,52,102,NA,NA,NA,1.03781210506422,1.03772173789349,-9.0367170735961e-05,1.03781210506422,1.03772173789349,-9.0367170735961e-05,"skew-t",1,50,"yes","yes",TRUE,FALSE,FALSE,"ar2"
"quantile",0.3,"score_quantile",0.3,NA,52,102,NA,NA,NA,1.02044442298802,1.02035092235268,-9.35006353401935e-05,1.02044442298802,1.02035092235268,-9.35006353401935e-05,"skew-t",1,50,"yes","yes",TRUE,FALSE,FALSE,"ar2"
"quantile",0.4,"score_quantile",0.4,NA,52,102,NA,NA,NA,1.01201752310971,1.0120600662384,4.25431286970035e-05,1.01201752310971,1.0120600662384,4.25431286970035e-05,"skew-t",1,50,"yes","yes",TRUE,FALSE,FALSE,"ar2"
"quantile",0.5,"score_quantile",0.5,NA,52,102,NA,NA,NA,1.00723366085067,1.00735638876541,0.00012272791473511,1.00723366085067,1.00735638876541,0.00012272791473511,"skew-t",1,50,"yes","yes",TRUE,FALSE,FALSE,"ar2"
"quantile",0.6,"score_quantile",0.6,NA,52,102,NA,NA,NA,1.00392994242712,1.00400822687567,7.82844485536227e-05,1.00392994242712,1.00400822687567,7.82844485536227e-05,"skew-t",1,50,"yes","yes",TRUE,FALSE,FALSE,"ar2"
"quantile",0.7,"score_quantile",0.7,NA,52,102,NA,NA,NA,1.00233007333454,1.00238724626824,5.71729337031091e-05,1.00233007333454,1.00238724626824,5.71729337031091e-05,"skew-t",1,50,"yes","yes",TRUE,FALSE,FALSE,"ar2"
"quantile",0.8,"score_quantile",0.8,NA,52,102,NA,NA,NA,1.00121530627107,1.00121022202687,-5.0842441969845e-06,1.00121530627107,1.00121022202687,-5.0842441969845e-06,"skew-t",1,50,"yes","yes",TRUE,FALSE,FALSE,"ar2"
"quantile",0.9,"score_quantile",0.9,NA,52,102,NA,NA,NA,1.00121060384522,1.00107201328796,-0.000138590557252627,1.00121060384522,1.00107201328796,-0.000138590557252627,"skew-t",1,50,"yes","yes",TRUE,FALSE,FALSE,"ar2"
"quantile",0.95,"score_quantile",0.95,NA,52,102,NA,NA,NA,0.999734077181074,0.999569684528929,-0.000164392652144962,0.999734077181074,0.999569684528929,-0.000164392652144962,"skew-t",1,50,"yes","yes",TRUE,FALSE,FALSE,"ar2"
"quantile",0.98,"score_quantile",0.98,NA,52,102,NA,NA,NA,0.994834914504267,0.994498171563807,-0.000336742940460155,0.994834914504267,0.994498171563807,-0.000336742940460155,"skew-t",1,50,"yes","yes",TRUE,FALSE,FALSE,"ar2"
"quantile",0.99,"score_quantile",0.99,NA,52,102,NA,NA,NA,0.985213598430482,0.984763441254371,-0.000450157176110966,0.985213598430482,0.984763441254371,-0.000450157176110966,"skew-t",1,50,"yes","yes",TRUE,FALSE,FALSE,"ar2"
"quantile",0.995,"score_quantile",0.995,NA,52,102,NA,NA,NA,0.965726243764581,0.966009304699937,0.000283060935355905,0.965726243764581,0.966009304699937,0.000283060935355905,"skew-t",1,50,"yes","yes",TRUE,FALSE,FALSE,"ar2"
"brier",0,"threshold_quantile",0,2,53,103,11.2448329465787,9.08539280348594,-2.15944014309281,11.2448329465787,9.08539280348594,-2.15944014309281,NA,NA,NA,"t",1,75,"yes","yes",TRUE,FALSE,FALSE,"ar2"
"brier",0.1,"threshold_quantile",0.1,28.875,53,103,2.25477313163863,2.14533237546073,-0.109440756177896,2.25477313163863,2.14533237546073,-0.109440756177896,NA,NA,NA,"t",1,75,"yes","yes",TRUE,FALSE,FALSE,"ar2"
"brier",0.2,"threshold_quantile",0.2,36,53,103,2.0752296333924,2.00226081068283,-0.0729688227095671,2.0752296333924,2.00226081068283,-0.0729688227095671,NA,NA,NA,"t",1,75,"yes","yes",TRUE,FALSE,FALSE,"ar2"
"brier",0.3,"threshold_quantile",0.3,41.625,53,103,1.98955796901922,1.94418595224596,-0.0453720167732612,1.98955796901922,1.94418595224596,-0.0453720167732612,NA,NA,NA,"t",1,75,"yes","yes",TRUE,FALSE,FALSE,"ar2"
"brier",0.4,"threshold_quantile",0.4,46.5,53,103,1.89603102438931,1.86976287410575,-0.0262681502835684,1.89603102438931,1.86976287410575,-0.0262681502835684,NA,NA,NA,"t",1,75,"yes","yes",TRUE,FALSE,FALSE,"ar2"
"brier",0.5,"threshold_quantile",0.5,50.875,53,103,1.75370753430879,1.74196983484286,-0.01173769946593,1.75370753430879,1.74196983484286,-0.01173769946593,NA,NA,NA,"t",1,75,"yes","yes",TRUE,FALSE,FALSE,"ar2"
"brier",0.6,"threshold_quantile",0.6,55.429,53,103,1.60745188035974,1.59995349969318,-0.00749838066656094,1.60745188035974,1.59995349969318,-0.00749838066656094,NA,NA,NA,"t",1,75,"yes","yes",TRUE,FALSE,FALSE,"ar2"
"brier",0.7,"threshold_quantile",0.7,60.125,53,103,1.44929762541618,1.43990346752035,-0.00939415789582965,1.44929762541618,1.43990346752035,-0.00939415789582965,NA,NA,NA,"t",1,75,"yes","yes",TRUE,FALSE,FALSE,"ar2"
"brier",0.8,"threshold_quantile",0.8,65.5,53,103,1.25744936339198,1.25313470295849,-0.00431466043348827,1.25744936339198,1.25313470295849,-0.00431466043348827,NA,NA,NA,"t",1,75,"yes","yes",TRUE,FALSE,FALSE,"ar2"
"brier",0.9,"threshold_quantile",0.9,73.25,53,103,1.08682530880556,1.08776704797327,0.000941739167718225,1.08682530880556,1.08776704797327,0.000941739167718225,NA,NA,NA,"t",1,75,"yes","yes",TRUE,FALSE,FALSE,"ar2"
"brier",0.95,"threshold_quantile",0.95,79.75,53,103,1.01228039582623,1.01548788493863,0.00320748911240143,1.01228039582623,1.01548788493863,0.00320748911240143,NA,NA,NA,"t",1,75,"yes","yes",TRUE,FALSE,FALSE,"ar2"
"brier",0.98,"threshold_quantile",0.98,88.5,53,103,0.987383198471936,0.993477144885183,0.00609394641324712,0.987383198471936,0.993477144885183,0.00609394641324712,NA,NA,NA,"t",1,75,"yes","yes",TRUE,FALSE,FALSE,"ar2"
"brier",0.99,"threshold_quantile",0.99,94.75,53,103,0.959330478602021,0.963609301144641,0.0042788225426198,0.959330478602021,0.963609301144641,0.0042788225426198,NA,NA,NA,"t",1,75,"yes","yes",TRUE,FALSE,FALSE,"ar2"
"brier",0.995,"threshold_quantile",0.995,100.52,53,103,0.964194728236206,0.96424111711409,4.63888778843291e-05,0.964194728236206,0.96424111711409,4.63888778843291e-05,NA,NA,NA,"t",1,75,"yes","yes",TRUE,FALSE,FALSE,"ar2"
"quantile",0,"score_quantile",0,NA,53,103,NA,NA,NA,NA,NA,NA,NA,NA,NA,"t",1,75,"yes","yes",TRUE,FALSE,FALSE,"ar2"
"quantile",0.1,"score_quantile",0.1,NA,53,103,NA,NA,NA,1.32663269040317,1.28330004002054,-0.0433326503826301,1.32663269040317,1.28330004002054,-0.0433326503826301,"t",1,75,"yes","yes",TRUE,FALSE,FALSE,"ar2"
"quantile",0.2,"score_quantile",0.2,NA,53,103,NA,NA,NA,1.24195940149446,1.20003780179197,-0.0419215997024929,1.24195940149446,1.20003780179197,-0.0419215997024929,"t",1,75,"yes","yes",TRUE,FALSE,FALSE,"ar2"
"quantile",0.3,"score_quantile",0.3,NA,53,103,NA,NA,NA,1.19177480357234,1.15828776333598,-0.0334870402363576,1.19177480357234,1.15828776333598,-0.0334870402363576,"t",1,75,"yes","yes",TRUE,FALSE,FALSE,"ar2"
"quantile",0.4,"score_quantile",0.4,NA,53,103,NA,NA,NA,1.15659866018534,1.13030075412512,-0.0262979060602264,1.15659866018534,1.13030075412512,-0.0262979060602264,"t",1,75,"yes","yes",TRUE,FALSE,FALSE,"ar2"
"quantile",0.5,"score_quantile",0.5,NA,53,103,NA,NA,NA,1.12551958195696,1.10493449514528,-0.0205850868116813,1.12551958195696,1.10493449514528,-0.0205850868116813,"t",1,75,"yes","yes",TRUE,FALSE,FALSE,"ar2"
"quantile",0.6,"score_quantile",0.6,NA,53,103,NA,NA,NA,1.09548382489298,1.0806854476939,-0.0147983771990758,1.09548382489298,1.0806854476939,-0.0147983771990758,"t",1,75,"yes","yes",TRUE,FALSE,FALSE,"ar2"
"quantile",0.7,"score_quantile",0.7,NA,53,103,NA,NA,NA,1.0680173089653,1.05841941966235,-0.00959788930294803,1.0680173089653,1.05841941966235,-0.00959788930294803,"t",1,75,"yes","yes",TRUE,FALSE,FALSE,"ar2"
"quantile",0.8,"score_quantile",0.8,NA,53,103,NA,NA,NA,1.04251825369911,1.03871330611179,-0.00380494758731365,1.04251825369911,1.03871330611179,-0.00380494758731365,"t",1,75,"yes","yes",TRUE,FALSE,FALSE,"ar2"
"quantile",0.9,"score_quantile",0.9,NA,53,103,NA,NA,NA,1.02263754058349,1.02328888679735,0.000651346213861981,1.02263754058349,1.02328888679735,0.000651346213861981,"t",1,75,"yes","yes",TRUE,FALSE,FALSE,"ar2"
"quantile",0.95,"score_quantile",0.95,NA,53,103,NA,NA,NA,1.01434150152749,1.01625218960806,0.00191068808056349,1.01434150152749,1.01625218960806,0.00191068808056349,"t",1,75,"yes","yes",TRUE,FALSE,FALSE,"ar2"
"quantile",0.98,"score_quantile",0.98,NA,53,103,NA,NA,NA,1.00638735252479,1.00764514093278,0.0012577884079874,1.00638735252479,1.00764514093278,0.0012577884079874,"t",1,75,"yes","yes",TRUE,FALSE,FALSE,"ar2"
"quantile",0.99,"score_quantile",0.99,NA,53,103,NA,NA,NA,0.993934843121405,0.995024519500212,0.00108967637880719,0.993934843121405,0.995024519500212,0.00108967637880719,"t",1,75,"yes","yes",TRUE,FALSE,FALSE,"ar2"
"quantile",0.995,"score_quantile",0.995,NA,53,103,NA,NA,NA,0.962959892170864,0.964038243609348,0.00107835143848423,0.962959892170864,0.964038243609348,0.00107835143848423,"t",1,75,"yes","yes",TRUE,FALSE,FALSE,"ar2"
"brier",0,"threshold_quantile",0,2,54,104,0.861861173463485,0.828938025851346,-0.0329231476121395,0.861861173463485,0.828938025851346,-0.0329231476121395,NA,NA,NA,"skew-t",5,0,"yes","yes",TRUE,FALSE,FALSE,"ar2"
