"calibration_type","bin_id","bin_left","bin_right","bin_mid","expected_share","observed_share_mean","observed_share_se","share_gap","count_total","count_mean_per_fold","summary_draws_used","n_obs_total","bin_direction","setting","method","knots","thresh","CMAQ","TS","ar2","is_baseline","is_proposed","mrts","setting_orig","source","is_ar2","is_mrts","is_prop","model_lane"
"pit_histogram",8,0.7,0.8,0.75,0.1,0.0107149848022566,0.000121057541662693,-0.0892850151977434,257,128.5,5000,23985,"closer_to_expected_share_better",2,"max-stable",1,75,"yes","no","",TRUE,FALSE,NA,2,"ozone_us_all_results",FALSE,FALSE,FALSE,"morris_baseline"
"pit_histogram",9,0.8,0.9,0.85,0.1,0.0162191135872056,0.00171548768072899,-0.0837808864127944,389,194.5,5000,23985,"closer_to_expected_share_better",2,"max-stable",1,75,"yes","no","",TRUE,FALSE,NA,2,"ozone_us_all_results",FALSE,FALSE,FALSE,"morris_baseline"
"pit_histogram",10,0.9,1,0.95,0.1,0.0358146343392655,0.00155606969810521,-0.0641853656607345,859,429.5,5000,23985,"closer_to_expected_share_better",2,"max-stable",1,75,"yes","no","",TRUE,FALSE,NA,2,"ozone_us_all_results",FALSE,FALSE,FALSE,"morris_baseline"
"pit_histogram",1,0,0.1,0.05,0.1,0.0775941608024629,0.010660760785792,-0.0224058391975371,1861,930.5,5000,23985,"closer_to_expected_share_better",3,"skew-t",1,0,"yes","no","",TRUE,FALSE,NA,3,"ozone_us_all_results",FALSE,FALSE,FALSE,"morris_baseline"
"pit_histogram",2,0.1,0.2,0.15,0.1,0.0810954114905103,0.00816051109874566,-0.0189045885094897,1945,972.5,5000,23985,"closer_to_expected_share_better",3,"skew-t",1,0,"yes","no","",TRUE,FALSE,NA,3,"ozone_us_all_results",FALSE,FALSE,FALSE,"morris_baseline"
"pit_histogram",3,0.2,0.3,0.25,0.1,0.102399911789759,0.00687603081951669,0.00239991178975921,2456,1228,5000,23985,"closer_to_expected_share_better",3,"skew-t",1,0,"yes","no","",TRUE,FALSE,NA,3,"ozone_us_all_results",FALSE,FALSE,FALSE,"morris_baseline"
"pit_histogram",4,0.3,0.4,0.35,0.1,0.116740646623117,0.00271213949633554,0.0167406466231173,2800,1400,5000,23985,"closer_to_expected_share_better",3,"skew-t",1,0,"yes","no","",TRUE,FALSE,NA,3,"ozone_us_all_results",FALSE,FALSE,FALSE,"morris_baseline"
"pit_histogram",5,0.4,0.5,0.45,0.1,0.126162171173424,3.60450472978724e-05,0.026162171173424,3026,1513,5000,23985,"closer_to_expected_share_better",3,"skew-t",1,0,"yes","no","",TRUE,FALSE,NA,3,"ozone_us_all_results",FALSE,FALSE,FALSE,"morris_baseline"
"pit_histogram",6,0.5,0.6,0.55,0.1,0.123117584951794,0.00274721458142314,0.0231175849517934,2953,1476.5,5000,23985,"closer_to_expected_share_better",3,"skew-t",1,0,"yes","no","",TRUE,FALSE,NA,3,"ozone_us_all_results",FALSE,FALSE,FALSE,"morris_baseline"
"pit_histogram",7,0.6,0.7,0.65,0.1,0.114028507126782,0.00291739601567059,0.0140285071267817,2735,1367.5,5000,23985,"closer_to_expected_share_better",3,"skew-t",1,0,"yes","no","",TRUE,FALSE,NA,3,"ozone_us_all_results",FALSE,FALSE,FALSE,"morris_baseline"
"pit_histogram",8,0.7,0.8,0.75,0.1,0.100351382890768,0.0080090405484254,0.000351382890767762,2407,1203.5,5000,23985,"closer_to_expected_share_better",3,"skew-t",1,0,"yes","no","",TRUE,FALSE,NA,3,"ozone_us_all_results",FALSE,FALSE,FALSE,"morris_baseline"
"pit_histogram",9,0.8,0.9,0.85,0.1,0.0809653113979195,0.00522290232217714,-0.0190346886020804,1942,971,5000,23985,"closer_to_expected_share_better",3,"skew-t",1,0,"yes","no","",TRUE,FALSE,NA,3,"ozone_us_all_results",FALSE,FALSE,FALSE,"morris_baseline"
"pit_histogram",10,0.9,1,0.95,0.1,0.0775449117534639,0.00947684368539582,-0.0224550882465361,1860,930,5000,23985,"closer_to_expected_share_better",3,"skew-t",1,0,"yes","no","",TRUE,FALSE,NA,3,"ozone_us_all_results",FALSE,FALSE,FALSE,"morris_baseline"
"pit_histogram",1,0,0.1,0.05,0.1,0.066879614047656,0.0119492147811728,-0.033120385952344,1604,802,5000,23985,"closer_to_expected_share_better",4,"skew-t",1,50,"yes","no","",TRUE,FALSE,NA,4,"ozone_us_all_results",FALSE,FALSE,FALSE,"morris_baseline"
"pit_histogram",2,0.1,0.2,0.15,0.1,0.0733822094162179,0.00803253866519683,-0.0266177905837821,1760,880,5000,23985,"closer_to_expected_share_better",4,"skew-t",1,50,"yes","no","",TRUE,FALSE,NA,4,"ozone_us_all_results",FALSE,FALSE,FALSE,"morris_baseline"
"pit_histogram",3,0.2,0.3,0.25,0.1,0.0824716314213689,0.00911996017022274,-0.0175283685786312,1978,989,5000,23985,"closer_to_expected_share_better",4,"skew-t",1,50,"yes","no","",TRUE,FALSE,NA,4,"ozone_us_all_results",FALSE,FALSE,FALSE,"morris_baseline"
"pit_histogram",4,0.3,0.4,0.35,0.1,0.0983962206767908,0.00370588142531129,-0.00160377932320915,2360,1180,5000,23985,"closer_to_expected_share_better",4,"skew-t",1,50,"yes","no","",TRUE,FALSE,NA,4,"ozone_us_all_results",FALSE,FALSE,FALSE,"morris_baseline"
"pit_histogram",5,0.4,0.5,0.45,0.1,0.114029664823613,0.000167866040584219,0.0140296648236133,2735,1367.5,5000,23985,"closer_to_expected_share_better",4,"skew-t",1,50,"yes","no","",TRUE,FALSE,NA,4,"ozone_us_all_results",FALSE,FALSE,FALSE,"morris_baseline"
"pit_histogram",6,0.5,0.6,0.55,0.1,0.119660514477969,0.00638219489807387,0.0196605144779687,2870,1435,5000,23985,"closer_to_expected_share_better",4,"skew-t",1,50,"yes","no","",TRUE,FALSE,NA,4,"ozone_us_all_results",FALSE,FALSE,FALSE,"morris_baseline"
"pit_histogram",7,0.6,0.7,0.65,0.1,0.127452877984261,0.00474683861155479,0.0274528779842609,3057,1528.5,5000,23985,"closer_to_expected_share_better",4,"skew-t",1,50,"yes","no","",TRUE,FALSE,NA,4,"ozone_us_all_results",FALSE,FALSE,FALSE,"morris_baseline"
"pit_histogram",8,0.7,0.8,0.75,0.1,0.122364800409312,0.00891802029586476,0.0223648004093116,2935,1467.5,5000,23985,"closer_to_expected_share_better",4,"skew-t",1,50,"yes","no","",TRUE,FALSE,NA,4,"ozone_us_all_results",FALSE,FALSE,FALSE,"morris_baseline"
"pit_histogram",9,0.8,0.9,0.85,0.1,0.106437332556362,0.0111754039611004,0.00643733255636234,2553,1276.5,5000,23985,"closer_to_expected_share_better",4,"skew-t",1,50,"yes","no","",TRUE,FALSE,NA,4,"ozone_us_all_results",FALSE,FALSE,FALSE,"morris_baseline"
"pit_histogram",10,0.9,1,0.95,0.1,0.0889251341864495,0.0145173931120418,-0.0110748658135505,2133,1066.5,5000,23985,"closer_to_expected_share_better",4,"skew-t",1,50,"yes","no","",TRUE,FALSE,NA,4,"ozone_us_all_results",FALSE,FALSE,FALSE,"morris_baseline"
"pit_histogram",1,0,0.1,0.05,0.1,0.0429021169206215,0.000808260123088829,-0.0570978830793785,1029,514.5,5000,23985,"closer_to_expected_share_better",5,"t",1,75,"yes","no","",TRUE,FALSE,NA,5,"ozone_us_all_results",FALSE,FALSE,FALSE,"morris_baseline"
"pit_histogram",2,0.1,0.2,0.15,0.1,0.0571610307481775,0.000813610559797104,-0.0428389692518225,1371,685.5,5000,23985,"closer_to_expected_share_better",5,"t",1,75,"yes","no","",TRUE,FALSE,NA,5,"ozone_us_all_results",FALSE,FALSE,FALSE,"morris_baseline"
"pit_histogram",3,0.2,0.3,0.25,0.1,0.0671684124734887,0.00381924184749891,-0.0328315875265113,1611,805.5,5000,23985,"closer_to_expected_share_better",5,"t",1,75,"yes","no","",TRUE,FALSE,NA,5,"ozone_us_all_results",FALSE,FALSE,FALSE,"morris_baseline"
"pit_histogram",4,0.3,0.4,0.35,0.1,0.0849687834871631,0.00263645115483075,-0.0150312165128369,2038,1019,5000,23985,"closer_to_expected_share_better",5,"t",1,75,"yes","no","",TRUE,FALSE,NA,5,"ozone_us_all_results",FALSE,FALSE,FALSE,"morris_baseline"
"pit_histogram",5,0.4,0.5,0.45,0.1,0.101229761894928,0.000462327794160749,0.00122976189492821,2428,1214,5000,23985,"closer_to_expected_share_better",5,"t",1,75,"yes","no","",TRUE,FALSE,NA,5,"ozone_us_all_results",FALSE,FALSE,FALSE,"morris_baseline"
"pit_histogram",6,0.5,0.6,0.55,0.1,0.113319996665833,0.00220888555472202,0.013319996665833,2718,1359,5000,23985,"closer_to_expected_share_better",5,"t",1,75,"yes","no","",TRUE,FALSE,NA,5,"ozone_us_all_results",FALSE,FALSE,FALSE,"morris_baseline"
"pit_histogram",7,0.6,0.7,0.65,0.1,0.131290048488098,0.000909668107717615,0.031290048488098,3149,1574.5,5000,23985,"closer_to_expected_share_better",5,"t",1,75,"yes","no","",TRUE,FALSE,NA,5,"ozone_us_all_results",FALSE,FALSE,FALSE,"morris_baseline"
"pit_histogram",8,0.7,0.8,0.75,0.1,0.144839294157874,0.00328106926631558,0.0448392941578738,3474,1737,5000,23985,"closer_to_expected_share_better",5,"t",1,75,"yes","no","",TRUE,FALSE,NA,5,"ozone_us_all_results",FALSE,FALSE,FALSE,"morris_baseline"
"pit_histogram",9,0.8,0.9,0.85,0.1,0.137919270858756,0.000698716971535188,0.0379192708587557,3308,1654,5000,23985,"closer_to_expected_share_better",5,"t",1,75,"yes","no","",TRUE,FALSE,NA,5,"ozone_us_all_results",FALSE,FALSE,FALSE,"morris_baseline"
"pit_histogram",10,0.9,1,0.95,0.1,0.11920128430506,0.00475600631889704,0.0192012843050603,2859,1429.5,5000,23985,"closer_to_expected_share_better",5,"t",1,75,"yes","no","",TRUE,FALSE,NA,5,"ozone_us_all_results",FALSE,FALSE,FALSE,"morris_baseline"
"pit_histogram",1,0,0.1,0.05,0.1,0.0323903861350723,0.0129542833656362,-0.0676096138649277,777,388.5,5000,23985,"closer_to_expected_share_better",6,"skew-t",1,85,"yes","no","",FALSE,FALSE,NA,6,"ozone_us_all_results",FALSE,FALSE,FALSE,"other_numeric"
"pit_histogram",2,0.1,0.2,0.15,0.1,0.0466511147306346,0.00811257619209607,-0.0533488852693654,1119,559.5,5000,23985,"closer_to_expected_share_better",6,"skew-t",1,85,"yes","no","",FALSE,FALSE,NA,6,"ozone_us_all_results",FALSE,FALSE,FALSE,"other_numeric"
"pit_histogram",3,0.2,0.3,0.25,0.1,0.0648725119217742,0.00364461736054634,-0.0351274880782258,1556,778,5000,23985,"closer_to_expected_share_better",6,"skew-t",1,85,"yes","no","",FALSE,FALSE,NA,6,"ozone_us_all_results",FALSE,FALSE,FALSE,"other_numeric"
"pit_histogram",4,0.3,0.4,0.35,0.1,0.0783420329556864,0.00374004912639571,-0.0216579670443136,1879,939.5,5000,23985,"closer_to_expected_share_better",6,"skew-t",1,85,"yes","no","",FALSE,FALSE,NA,6,"ozone_us_all_results",FALSE,FALSE,FALSE,"other_numeric"
"pit_histogram",5,0.4,0.5,0.45,0.1,0.0878480067964939,0.00382700154518109,-0.0121519932035061,2107,1053.5,5000,23985,"closer_to_expected_share_better",6,"skew-t",1,85,"yes","no","",FALSE,FALSE,NA,6,"ozone_us_all_results",FALSE,FALSE,FALSE,"other_numeric"
"pit_histogram",6,0.5,0.6,0.55,0.1,0.109029196738624,0.00725375287765886,0.00902919673862401,2615,1307.5,5000,23985,"closer_to_expected_share_better",6,"skew-t",1,85,"yes","no","",FALSE,FALSE,NA,6,"ozone_us_all_results",FALSE,FALSE,FALSE,"other_numeric"
