"setting","rel_brier_q999","rel_quant_q999"
1,1,1
5,0.99569225491343,0.894541191584411
6,0.965236727427121,0.825753069053124
9,1.26943126109531,1.66218779170787
10,1.27166515077729,1.60155982362659
