"band_type","event_quantile","event_threshold_value","score_mean","score_se","rel_to_gaussian","n_obs_total","n_obs_mean_per_fold","obs_share","score_direction","setting","method","knots","thresh","CMAQ","TS","ar2","is_baseline","is_proposed","mrts","setting_orig","source","model_lane"
"all",0.99,94.75,0.00890127593230765,0.000748857377668992,1.22547508515348,23985,11992.5,1,"lower_better",2,"skew-t",1,0,"yes",NA,NA,FALSE,TRUE,"20",1,"ozone_prop_us_all_results","proposed"
"below_threshold",0.99,94.75,0.000643707286544585,0.000110799020551319,0.855605759582357,23746,11873,0.990035438815927,"lower_better",2,"skew-t",1,0,"yes",NA,NA,FALSE,TRUE,"20",1,"ozone_prop_us_all_results","proposed"
"above_threshold",0.99,94.75,0.828342501371725,0.0465167304315539,1.2676938907245,239,119.5,0.00996456118407338,"lower_better",2,"skew-t",1,0,"yes",NA,NA,FALSE,TRUE,"20",1,"ozone_prop_us_all_results","proposed"
"all",0.995,100.52,0.00469314228442997,0.000116805783638102,1.16449691400562,23985,11992.5,1,"lower_better",2,"skew-t",1,0,"yes",NA,NA,FALSE,TRUE,"20",1,"ozone_prop_us_all_results","proposed"
"below_threshold",0.995,100.52,0.000208308888534606,6.39489756732735e-05,0.899528361530529,23865,11932.5,0.994996873045654,"lower_better",2,"skew-t",1,0,"yes",NA,NA,FALSE,TRUE,"20",1,"ozone_prop_us_all_results","proposed"
"above_threshold",0.995,100.52,0.897948855528365,0.0402170258509455,1.18046099469665,120,60,0.00500312695434647,"lower_better",2,"skew-t",1,0,"yes",NA,NA,FALSE,TRUE,"20",1,"ozone_prop_us_all_results","proposed"
"all",0.9,73.25,0.0549640096074782,0.00083469726272534,1.22020543995505,23985,11992.5,1,"lower_better",3,"skew-t",1,0,"yes",NA,NA,FALSE,TRUE,"40",2,"ozone_prop_us_all_results","proposed"
"below_threshold",0.9,73.25,0.0222688340487022,0.00117586842892897,1.2323183211538,21603,10801.5,0.900687929956223,"lower_better",3,"skew-t",1,0,"yes",NA,NA,FALSE,TRUE,"40",2,"ozone_prop_us_all_results","proposed"
"above_threshold",0.9,73.25,0.35117050282038,0.0092800697407949,1.21171181264887,2382,1191,0.0993120700437774,"lower_better",3,"skew-t",1,0,"yes",NA,NA,FALSE,TRUE,"40",2,"ozone_prop_us_all_results","proposed"
"all",0.95,79.75,0.0335764572410533,0.00155472074026139,1.24218623050451,23985,11992.5,1,"lower_better",3,"skew-t",1,0,"yes",NA,NA,FALSE,TRUE,"40",2,"ozone_prop_us_all_results","proposed"
