"band_type","event_quantile","event_threshold_value","score_mean","score_se","rel_to_gaussian","n_obs_total","n_obs_mean_per_fold","obs_share","score_direction","setting","method","knots","thresh","CMAQ","TS","ar2","is_baseline","is_proposed","mrts","setting_orig","source","model_lane"
"above_threshold",0.99,94.75,0.745388735596189,0.0658338785021718,1.14074159513168,239,119.5,0.00996456118407338,"lower_better",8,"skew-t",1,50,"yes",NA,NA,FALSE,TRUE,"40",7,"ozone_prop_us_all_results","proposed"
"all",0.995,100.52,0.0045462681683897,0.00011036653631501,1.12805343019231,23985,11992.5,1,"lower_better",8,"skew-t",1,50,"yes",NA,NA,FALSE,TRUE,"40",7,"ozone_prop_us_all_results","proposed"
"below_threshold",0.995,100.52,0.000337052419864374,2.76719873413232e-05,1.45547419086792,23865,11932.5,0.994996873045654,"lower_better",8,"skew-t",1,50,"yes",NA,NA,FALSE,TRUE,"40",7,"ozone_prop_us_all_results","proposed"
"above_threshold",0.995,100.52,0.843489692157953,0.0553521747385985,1.10886792147562,120,60,0.00500312695434647,"lower_better",8,"skew-t",1,50,"yes",NA,NA,FALSE,TRUE,"40",7,"ozone_prop_us_all_results","proposed"
"all",0.9,73.25,0.0527779430845812,0.000223293742245622,1.1716745870862,23985,11992.5,1,"lower_better",9,"skew-t",1,50,"yes",NA,NA,FALSE,TRUE,"60",8,"ozone_prop_us_all_results","proposed"
"below_threshold",0.9,73.25,0.0275227575480977,0.000599170233472217,1.52306125686772,21603,10801.5,0.900687929956223,"lower_better",9,"skew-t",1,50,"yes",NA,NA,FALSE,TRUE,"60",8,"ozone_prop_us_all_results","proposed"
"above_threshold",0.9,73.25,0.281799945625377,0.000114557147868843,0.972349101577963,2382,1191,0.0993120700437774,"lower_better",9,"skew-t",1,50,"yes",NA,NA,FALSE,TRUE,"60",8,"ozone_prop_us_all_results","proposed"
"all",0.95,79.75,0.0326596725046627,0.000769624926101393,1.2082690912511,23985,11992.5,1,"lower_better",9,"skew-t",1,50,"yes",NA,NA,FALSE,TRUE,"60",8,"ozone_prop_us_all_results","proposed"
"below_threshold",0.95,79.75,0.0138910351312037,0.00118834587334651,1.64747748803867,22787,11393.5,0.950052115905774,"lower_better",9,"skew-t",1,50,"yes",NA,NA,FALSE,TRUE,"60",8,"ozone_prop_us_all_results","proposed"
"above_threshold",0.95,79.75,0.388624479431184,0.0191029773573698,1.02204294626064,1198,599,0.0499478840942256,"lower_better",9,"skew-t",1,50,"yes",NA,NA,FALSE,TRUE,"60",8,"ozone_prop_us_all_results","proposed"
"all",0.98,88.5,0.0154350855089623,0.000299530273486791,1.19539367146129,23985,11992.5,1,"lower_better",9,"skew-t",1,50,"yes",NA,NA,FALSE,TRUE,"60",8,"ozone_prop_us_all_results","proposed"
"below_threshold",0.98,88.5,0.00404308238125622,0.000583971593418723,1.82591301089538,23508,11754,0.980112570356473,"lower_better",9,"skew-t",1,50,"yes",NA,NA,FALSE,TRUE,"60",8,"ozone_prop_us_all_results","proposed"
"above_threshold",0.98,88.5,0.576001578499208,0.0232419609339905,1.06674410553715,477,238.5,0.0198874296435272,"lower_better",9,"skew-t",1,50,"yes",NA,NA,FALSE,TRUE,"60",8,"ozone_prop_us_all_results","proposed"
"all",0.99,94.75,0.00846707507787107,0.000772473637510979,1.16569687660103,23985,11992.5,1,"lower_better",9,"skew-t",1,50,"yes",NA,NA,FALSE,TRUE,"60",8,"ozone_prop_us_all_results","proposed"
"below_threshold",0.99,94.75,0.00145101063491111,6.91816714861974e-05,1.92866087179084,23746,11873,0.990035438815927,"lower_better",9,"skew-t",1,50,"yes",NA,NA,FALSE,TRUE,"60",8,"ozone_prop_us_all_results","proposed"
"above_threshold",0.99,94.75,0.704067005856803,0.0694324000448367,1.07750289343759,239,119.5,0.00996456118407338,"lower_better",9,"skew-t",1,50,"yes",NA,NA,FALSE,TRUE,"60",8,"ozone_prop_us_all_results","proposed"
"all",0.995,100.52,0.00464811876717928,0.000177101199454017,1.15332534840659,23985,11992.5,1,"lower_better",9,"skew-t",1,50,"yes",NA,NA,FALSE,TRUE,"60",8,"ozone_prop_us_all_results","proposed"
"below_threshold",0.995,100.52,0.000512128261635831,2.47032121806755e-05,2.21149418694261,23865,11932.5,0.994996873045654,"lower_better",9,"skew-t",1,50,"yes",NA,NA,FALSE,TRUE,"60",8,"ozone_prop_us_all_results","proposed"
"above_threshold",0.995,100.52,0.829433300667408,0.0676314600222469,1.09038911638709,120,60,0.00500312695434647,"lower_better",9,"skew-t",1,50,"yes",NA,NA,FALSE,TRUE,"60",8,"ozone_prop_us_all_results","proposed"
"all",0.9,73.25,0.0520476006713428,0.000569824684012596,1.15546092669229,23985,11992.5,1,"lower_better",10,"skew-t",1,50,"yes",NA,NA,FALSE,TRUE,"80",9,"ozone_prop_us_all_results","proposed"
"below_threshold",0.9,73.25,0.0287386610613375,0.000510375545241202,1.59034723029783,21603,10801.5,0.900687929956223,"lower_better",10,"skew-t",1,50,"yes",NA,NA,FALSE,TRUE,"80",9,"ozone_prop_us_all_results","proposed"
"above_threshold",0.9,73.25,0.263630280719729,0.00588186049134382,0.909654776681014,2382,1191,0.0993120700437774,"lower_better",10,"skew-t",1,50,"yes",NA,NA,FALSE,TRUE,"80",9,"ozone_prop_us_all_results","proposed"
"all",0.95,79.75,0.0324802110648846,0.00111339458409773,1.20162978062346,23985,11992.5,1,"lower_better",10,"skew-t",1,50,"yes",NA,NA,FALSE,TRUE,"80",9,"ozone_prop_us_all_results","proposed"
"below_threshold",0.95,79.75,0.0150774647504145,0.000308966555150805,1.7881881024983,22787,11393.5,0.950052115905774,"lower_better",10,"skew-t",1,50,"yes",NA,NA,FALSE,TRUE,"80",9,"ozone_prop_us_all_results","proposed"
"above_threshold",0.95,79.75,0.362937750382536,0.0106151486953655,0.954489455355731,1198,599,0.0499478840942256,"lower_better",10,"skew-t",1,50,"yes",NA,NA,FALSE,TRUE,"80",9,"ozone_prop_us_all_results","proposed"
"all",0.98,88.5,0.0152443970033049,0.000344631585283708,1.18062551013488,23985,11992.5,1,"lower_better",10,"skew-t",1,50,"yes",NA,NA,FALSE,TRUE,"80",9,"ozone_prop_us_all_results","proposed"
"below_threshold",0.98,88.5,0.0046172152420068,0.00037054657323923,2.08519950609199,23508,11754,0.980112570356473,"lower_better",10,"skew-t",1,50,"yes",NA,NA,FALSE,TRUE,"80",9,"ozone_prop_us_all_results","proposed"
"above_threshold",0.98,88.5,0.538373968888224,0.0163674800186587,0.997058479218984,477,238.5,0.0198874296435272,"lower_better",10,"skew-t",1,50,"yes",NA,NA,FALSE,TRUE,"80",9,"ozone_prop_us_all_results","proposed"
"all",0.99,94.75,0.00841402164691323,0.000780053468201885,1.15839279364537,23985,11992.5,1,"lower_better",10,"skew-t",1,50,"yes",NA,NA,FALSE,TRUE,"80",9,"ozone_prop_us_all_results","proposed"
"below_threshold",0.99,94.75,0.00178606176926237,4.19050683190126e-06,2.3740056524044,23746,11873,0.990035438815927,"lower_better",10,"skew-t",1,50,"yes",NA,NA,FALSE,TRUE,"80",9,"ozone_prop_us_all_results","proposed"
"above_threshold",0.99,94.75,0.665558962020457,0.0645630714221662,1.01857025164479,239,119.5,0.00996456118407338,"lower_better",10,"skew-t",1,50,"yes",NA,NA,FALSE,TRUE,"80",9,"ozone_prop_us_all_results","proposed"
"all",0.995,100.52,0.00463964947068349,0.000186781593714244,1.15122388439049,23985,11992.5,1,"lower_better",10,"skew-t",1,50,"yes",NA,NA,FALSE,TRUE,"80",9,"ozone_prop_us_all_results","proposed"
"below_threshold",0.995,100.52,0.000662818523153671,1.33889875291947e-05,2.8622113262606,23865,11932.5,0.994996873045654,"lower_better",10,"skew-t",1,50,"yes",NA,NA,FALSE,TRUE,"80",9,"ozone_prop_us_all_results","proposed"
"above_threshold",0.995,100.52,0.797726211779755,0.0662662233926585,1.04870636189966,120,60,0.00500312695434647,"lower_better",10,"skew-t",1,50,"yes",NA,NA,FALSE,TRUE,"80",9,"ozone_prop_us_all_results","proposed"
"all",0.9,73.25,0.0515814546370013,0.00149468316413312,1.14511244718763,23985,11992.5,1,"lower_better",11,"skew-t",1,50,"yes",NA,NA,FALSE,TRUE,"100",10,"ozone_prop_us_all_results","proposed"
"below_threshold",0.9,73.25,0.0299748088870325,0.00169766362737007,1.65875348856563,21603,10801.5,0.900687929956223,"lower_better",11,"skew-t",1,50,"yes",NA,NA,FALSE,TRUE,"100",10,"ozone_prop_us_all_results","proposed"
"above_threshold",0.9,73.25,0.247789282156562,0.00682876767042792,0.85499550168786,2382,1191,0.0993120700437774,"lower_better",11,"skew-t",1,50,"yes",NA,NA,FALSE,TRUE,"100",10,"ozone_prop_us_all_results","proposed"
"all",0.95,79.75,0.0323951627254161,0.00207080101165432,1.19848335348684,23985,11992.5,1,"lower_better",11,"skew-t",1,50,"yes",NA,NA,FALSE,TRUE,"100",10,"ozone_prop_us_all_results","proposed"
"below_threshold",0.95,79.75,0.0161929692014037,0.000763083947641061,1.92048698832313,22787,11393.5,0.950052115905774,"lower_better",11,"skew-t",1,50,"yes",NA,NA,FALSE,TRUE,"100",10,"ozone_prop_us_all_results","proposed"
"above_threshold",0.95,79.75,0.340072358010791,0.0106019910512125,0.894355793623385,1198,599,0.0499478840942256,"lower_better",11,"skew-t",1,50,"yes",NA,NA,FALSE,TRUE,"100",10,"ozone_prop_us_all_results","proposed"
"all",0.98,88.5,0.015146406527887,0.000780561263237481,1.17303648873879,23985,11992.5,1,"lower_better",11,"skew-t",1,50,"yes",NA,NA,FALSE,TRUE,"100",10,"ozone_prop_us_all_results","proposed"
"below_threshold",0.98,88.5,0.00511267791904153,3.20892626295335e-05,2.30895743707179,23508,11754,0.980112570356473,"lower_better",11,"skew-t",1,50,"yes",NA,NA,FALSE,TRUE,"100",10,"ozone_prop_us_all_results","proposed"
"above_threshold",0.98,88.5,0.508930095803908,0.0195224483256469,0.942528979250051,477,238.5,0.0198874296435272,"lower_better",11,"skew-t",1,50,"yes",NA,NA,FALSE,TRUE,"100",10,"ozone_prop_us_all_results","proposed"
"all",0.99,94.75,0.00851914304066257,0.00101388336574384,1.1728652861213,23985,11992.5,1,"lower_better",11,"skew-t",1,50,"yes",NA,NA,FALSE,TRUE,"100",10,"ozone_prop_us_all_results","proposed"
"below_threshold",0.99,94.75,0.00216597783782598,0.000146075501125645,2.87898420898687,23746,11873,0.990035438815927,"lower_better",11,"skew-t",1,50,"yes",NA,NA,FALSE,TRUE,"100",10,"ozone_prop_us_all_results","proposed"
"above_threshold",0.99,94.75,0.638170722229228,0.0736907174429032,0.976655338183824,239,119.5,0.00996456118407338,"lower_better",11,"skew-t",1,50,"yes",NA,NA,FALSE,TRUE,"100",10,"ozone_prop_us_all_results","proposed"
"all",0.995,100.52,0.00473006657902338,0.000244388652875181,1.17365884102593,23985,11992.5,1,"lower_better",11,"skew-t",1,50,"yes",NA,NA,FALSE,TRUE,"100",10,"ozone_prop_us_all_results","proposed"
"below_threshold",0.995,100.52,0.00088410716881642,2.27007607728507e-05,3.81778943076983,23865,11932.5,0.994996873045654,"lower_better",11,"skew-t",1,50,"yes",NA,NA,FALSE,TRUE,"100",10,"ozone_prop_us_all_results","proposed"
"above_threshold",0.995,100.52,0.771902685684093,0.0697447405228031,1.01475825325875,120,60,0.00500312695434647,"lower_better",11,"skew-t",1,50,"yes",NA,NA,FALSE,TRUE,"100",10,"ozone_prop_us_all_results","proposed"
