"calibration_type","bin_id","bin_left","bin_right","bin_mid","expected_share","observed_share_mean","observed_share_se","share_gap","count_total","count_mean_per_fold","summary_draws_used","n_obs_total","bin_direction","setting","method","knots","thresh","CMAQ","TS","ar2","is_baseline","is_proposed","mrts","setting_orig","source","model_lane"
"pit_histogram",1,0,0.1,0.05,0.1,0.0901019799494418,0.0106654541513256,-0.00989802005055819,2161,1080.5,400,23985,"closer_to_expected_share_better",3,"skew-t",1,0,"yes",NA,NA,FALSE,TRUE,"40",2,"ozone_prop_us_all_results","proposed"
"pit_histogram",2,0.1,0.2,0.15,0.1,0.0852646845395033,0.00816207555392352,-0.0147353154604968,2045,1022.5,400,23985,"closer_to_expected_share_better",3,"skew-t",1,0,"yes",NA,NA,FALSE,TRUE,"40",2,"ozone_prop_us_all_results","proposed"
"pit_histogram",3,0.2,0.3,0.25,0.1,0.0996060764440359,0.00574927891131942,-0.000393923555964099,2389,1194.5,400,23985,"closer_to_expected_share_better",3,"skew-t",1,0,"yes",NA,NA,FALSE,TRUE,"40",2,"ozone_prop_us_all_results","proposed"
"pit_histogram",4,0.3,0.4,0.35,0.1,0.113780165511848,0.0019188668538506,0.0137801655118485,2729,1364.5,400,23985,"closer_to_expected_share_better",3,"skew-t",1,0,"yes",NA,NA,FALSE,TRUE,"40",2,"ozone_prop_us_all_results","proposed"
"pit_histogram",5,0.4,0.5,0.45,0.1,0.119615082699604,0.00358238333357113,0.0196150826996039,2869,1434.5,400,23985,"closer_to_expected_share_better",3,"skew-t",1,0,"yes",NA,NA,FALSE,TRUE,"40",2,"ozone_prop_us_all_results","proposed"
"pit_histogram",6,0.5,0.6,0.55,0.1,0.115403256469773,0.0058770636102469,0.015403256469773,2768,1384,400,23985,"closer_to_expected_share_better",3,"skew-t",1,0,"yes",NA,NA,FALSE,TRUE,"40",2,"ozone_prop_us_all_results","proposed"
"pit_histogram",7,0.6,0.7,0.65,0.1,0.109066086591718,0.00554589973819781,0.00906608659171802,2616,1308,400,23985,"closer_to_expected_share_better",3,"skew-t",1,0,"yes",NA,NA,FALSE,TRUE,"40",2,"ozone_prop_us_all_results","proposed"
"pit_histogram",8,0.7,0.8,0.75,0.1,0.0973507578596351,0.00467474851695906,-0.0026492421403649,2335,1167.5,400,23985,"closer_to_expected_share_better",3,"skew-t",1,0,"yes",NA,NA,FALSE,TRUE,"40",2,"ozone_prop_us_all_results","proposed"
"pit_histogram",9,0.8,0.9,0.85,0.1,0.0822588655171801,0.00234561893726685,-0.0177411344828199,1973,986.5,400,23985,"closer_to_expected_share_better",3,"skew-t",1,0,"yes",NA,NA,FALSE,TRUE,"40",2,"ozone_prop_us_all_results","proposed"
"pit_histogram",10,0.9,1,0.95,0.1,0.0875530444172605,0.00446996133417739,-0.0124469555827395,2100,1050,400,23985,"closer_to_expected_share_better",3,"skew-t",1,0,"yes",NA,NA,FALSE,TRUE,"40",2,"ozone_prop_us_all_results","proposed"
