"uncertainty_family","summary_draws_used","n_obs_total","pit_mean","pit_mean_se","pit_mean_target","pit_mean_gap","pit_variance","pit_variance_se","pit_variance_target","pit_variance_gap","pit_ks_stat","pit_ks_se","pit_uniformity_mae","pit_uniformity_mae_se","pit_uniformity_rmse","pit_uniformity_rmse_se","coverage_direction","pit_direction","coverage_80_target","coverage_80_mean","coverage_80_se","coverage_80_gap","coverage_90_target","coverage_90_mean","coverage_90_se","coverage_90_gap","coverage_95_target","coverage_95_mean","coverage_95_se","coverage_95_gap","setting","method","knots","thresh","CMAQ","TS","ar2","is_baseline","is_proposed","mrts","setting_orig","source","is_ar2","is_mrts","is_prop","model_lane"
"coverage_pit",5000,23985,0.49859718794188,0.0180941348888273,0.5,-0.00140281205811965,0.0695593788630483,0.000717844169258186,0.0833333333333333,-0.013773954470285,0.0697971430044699,9.72180232245434e-05,0.0189157274303561,0.000697509212137876,0.020993676472094,0.000651110164823304,"closer_to_target_better","pit_mean_to_0.5; pit_variance_to_1_over_12; ks_mae_rmse_lower_better",0.8,0.847070407491763,0.00180847889650088,0.0470704074917627,0.9,0.916072048542666,0.0013239671279181,0.0160720485426661,0.95,0.949426201645507,0.00139483694747511,-0.000573798354493449,1,"gaussian",1,0,"yes","no","",TRUE,FALSE,NA,1,"ozone_us_all_results",FALSE,FALSE,FALSE,"gaussian_reference"
"coverage_pit",5000,23985,0.0662248619399595,0.00294595888086135,0.5,-0.433775138060041,0.051784452858012,0.00232802113490726,0.0833333333333333,-0.0315488804753213,0.916321547854431,0.0030749679411845,0.163431074235025,0.000631608102225761,0.272567183308657,0.00103236463707126,"closer_to_target_better","pit_mean_to_0.5; pit_variance_to_1_over_12; ks_mae_rmse_lower_better",0.8,0.0475303698296947,0.00176892946960464,-0.752469630170305,0.9,0.0623315238218964,0.00239987424283498,-0.837668476178104,0.95,0.071211965904389,0.00211135741893431,-0.878788034095611,2,"max-stable",1,75,"yes","no","",TRUE,FALSE,NA,2,"ozone_us_all_results",FALSE,FALSE,FALSE,"morris_baseline"
"coverage_pit",5000,23985,0.499029547476959,0.0183004183478302,0.5,-0.000970452523040677,0.0703945360323412,0.000598493138269318,0.0833333333333333,-0.0129387973009921,0.0663433903771238,0.000953533853933972,0.0177734185798702,0.000506151312602933,0.0196360565669162,0.000647802234119641,"closer_to_target_better","pit_mean_to_0.5; pit_variance_to_1_over_12; ks_mae_rmse_lower_better",0.8,0.844694156522114,0.00118397967860334,0.0446941565221135,0.9,0.916363350096783,0.00278310318320324,0.0163633500967834,0.95,0.949218003950437,0.000686138751905208,-0.000781996049562972,3,"skew-t",1,0,"yes","no","",TRUE,FALSE,NA,3,"ozone_us_all_results",FALSE,FALSE,FALSE,"morris_baseline"
"coverage_pit",5000,23985,0.536113184489816,0.0241633346399663,0.5,0.0361131844898162,0.0708767788963418,0.00106674064397106,0.0833333333333333,-0.0124565544369916,0.0816320166377931,0.0315645491703256,0.0190173081308365,0.00331827576513748,0.0217542377930138,0.00408410481644383,"closer_to_target_better","pit_mean_to_0.5; pit_variance_to_1_over_12; ks_mae_rmse_lower_better",0.8,0.84415360596906,0.002693240877787,0.0441536059690598,0.9,0.922158936881368,0.0019887667111973,0.0221589368813675,0.95,0.955929923421796,0.00230963646817606,0.00592992342179643,4,"skew-t",1,50,"yes","no","",TRUE,FALSE,NA,4,"ozone_us_all_results",FALSE,FALSE,FALSE,"morris_baseline"
"coverage_pit",5000,23985,0.590332327376138,0.000214209258020237,0.5,0.0903323273761383,0.0676260182955373,0.00131168539218644,0.0833333333333333,-0.015707315037796,0.152084364384389,0.00272447115782948,0.0295599312741098,0.00056093227511082,0.0338063493625238,0.000909638542903927,"closer_to_target_better","pit_mean_to_0.5; pit_variance_to_1_over_12; ks_mae_rmse_lower_better",0.8,0.83768815076642,0.00552265193425483,0.0376881507664203,0.9,0.927494699000075,0.00440494257698559,0.0274946990000754,0.95,0.966019063574703,0.00364001786232343,0.0160190635747026,5,"t",1,75,"yes","no","",TRUE,FALSE,NA,5,"ozone_us_all_results",FALSE,FALSE,FALSE,"morris_baseline"
"coverage_pit",5000,23985,0.620926490350065,0.012763449589875,0.5,0.120926490350065,0.0654282156672261,0.00574617466057254,0.0833333333333333,-0.0179051176661072,0.192219574388091,0.0160990775972271,0.0379791894920677,0.00342888524934036,0.042831653608049,0.00454084728969285,"closer_to_target_better","pit_mean_to_0.5; pit_variance_to_1_over_12; ks_mae_rmse_lower_better",0.8,0.820392316547605,0.0121902660349772,0.0203923165476053,0.9,0.923037222018217,0.00530778966012774,0.0230372220182172,0.95,0.967479732796062,0.000154568171572389,0.0174797327960619,6,"skew-t",1,85,"yes","no","",FALSE,FALSE,NA,6,"ozone_us_all_results",FALSE,FALSE,FALSE,"other_numeric"
"coverage_pit",5000,23985,0.500227392195897,0.0205109090460804,0.5,0.000227392195896847,0.0762494930700771,0.000509321539007589,0.0833333333333333,-0.00708384026325627,0.0501478354323315,0.00222587160804215,0.01052165944389,0.000222417966854069,0.0124676652284329,0.000223902033814591,"closer_to_target_better","pit_mean_to_0.5; pit_variance_to_1_over_12; ks_mae_rmse_lower_better",0.8,0.824391063982212,0.00218551259436478,0.0243910639822118,0.9,0.905317138844271,0.00350835331455485,0.00531713884427065,0.95,0.945925107402977,0.0015223400444706,-0.00407489259702309,7,"skew-t",5,0,"yes","no","",TRUE,FALSE,NA,7,"ozone_us_all_results",FALSE,FALSE,FALSE,"morris_baseline"
"coverage_pit",5000,23985,0.517802920881622,0.0283936282556625,0.5,0.0178029208816218,0.0756404771983525,0.000671687350308654,0.0833333333333333,-0.00769285613498082,0.0596135450779612,0.0224801450112277,0.0122897603780324,0.00334414809908684,0.0145506227779457,0.00365588425353598,"closer_to_target_better","pit_mean_to_0.5; pit_variance_to_1_over_12; ks_mae_rmse_lower_better",0.8,0.826141783193546,0.00118554413378119,0.026141783193546,0.9,0.911361067243788,0.000533573082960426,0.0113610672437879,0.95,0.950551983591494,0.00118595089212742,0.000551983591493554,8,"skew-t",5,50,"yes","no","",TRUE,FALSE,NA,8,"ozone_us_all_results",FALSE,FALSE,FALSE,"morris_baseline"
"coverage_pit",5000,23985,0.486441763806818,0.0215894340577136,0.5,-0.0135582361931824,0.0912439861777579,0.00187316202392465,0.0833333333333333,0.00791065284442453,0.0488374978629542,0.0203126396714294,0.0112421724049631,0.00183276299555368,0.0165267808099484,0.00568428459778762,"closer_to_target_better","pit_mean_to_0.5; pit_variance_to_1_over_12; ks_mae_rmse_lower_better",0.8,0.756935761718207,0.0115827568003112,-0.0430642382817927,0.9,0.864461923789256,0.0132491205884555,-0.0355380762107443,0.95,0.920622172560157,0.0136454283741106,-0.0293778274398429,9,"t",5,75,"yes","no","",TRUE,FALSE,NA,9,"ozone_us_all_results",FALSE,FALSE,FALSE,"morris_baseline"
"coverage_pit",5000,23985,0.699359349847472,0.17297710093189,0.5,0.199359349847472,0.0741187980092095,0.0228299202474494,0.0833333333333333,-0.00921453532412386,0.337131556687971,0.274401426557841,0.0699317497041928,0.0518870383261481,0.112802052815442,0.0912510064971326,"closer_to_target_better","pit_mean_to_0.5; pit_variance_to_1_over_12; ks_mae_rmse_lower_better",0.8,0.498147278311069,0.229163365666241,-0.301852721688931,0.9,0.597757422338568,0.245752754504943,-0.302242577661432,0.95,0.671968855577258,0.241444557836156,-0.278031144422742,10,"skew-t",5,85,"yes","no","",FALSE,FALSE,NA,10,"ozone_us_all_results",FALSE,FALSE,FALSE,"other_numeric"
"coverage_pit",5000,23985,0.501379240305572,0.0204801412064728,0.5,0.0013792403055719,0.0773610845073744,0.000729367391309438,0.0833333333333333,-0.00597224882595897,0.0459085727638116,0.000990860002287902,0.00956278609191837,0.000380490518024894,0.011358834707897,0.000183029499303636,"closer_to_target_better","pit_mean_to_0.5; pit_variance_to_1_over_12; ks_mae_rmse_lower_better",0.8,0.820680645636885,0.00280951118660544,0.0206806456368847,0.9,0.904315981397752,0.00209042500865458,0.00431598139775191,0.95,0.944508305504805,0.00352305919322676,-0.00549169449519527,11,"skew-t",10,0,"yes","no","",TRUE,FALSE,NA,11,"ozone_us_all_results",FALSE,FALSE,FALSE,"morris_baseline"
"coverage_pit",5000,23985,0.508807839153232,0.0248864344151603,0.5,0.00880783915323169,0.0778667177626115,0.000979188508143838,0.0833333333333333,-0.00546661557072183,0.0487973337428451,0.0121944642066423,0.00957419535063946,0.00254716832361244,0.0114615000869276,0.00247501085163002,"closer_to_target_better","pit_mean_to_0.5; pit_variance_to_1_over_12; ks_mae_rmse_lower_better",0.8,0.817302110812989,0.000985794496672243,0.0173021108129885,0.9,0.906816043350177,0.00191113844527196,0.00681604335017683,0.95,0.948967503387358,0.00160347268999428,-0.0010324966126416,12,"skew-t",10,50,"yes","no","",TRUE,FALSE,NA,12,"ozone_us_all_results",FALSE,FALSE,FALSE,"morris_baseline"
"coverage_pit",5000,23985,0.46502880002408,0.0164034913821048,0.5,-0.0349711999759199,0.0963578995994478,0.000657853543236622,0.0833333333333333,0.0130245662661145,0.0758589163807468,0.0168121546903242,0.0157299084530893,0.0024282497050689,0.0248603522729037,0.00461242289101336,"closer_to_target_better","pit_mean_to_0.5; pit_variance_to_1_over_12; ks_mae_rmse_lower_better",0.8,0.726784611568307,0.00789905934942198,-0.0732153884316926,0.9,0.838312337093282,0.00873275751370273,-0.0616876629067177,0.95,0.903311882775499,0.00716573662935249,-0.0466881172245013,13,"t",10,75,"yes","no","",TRUE,FALSE,NA,13,"ozone_us_all_results",FALSE,FALSE,FALSE,"morris_baseline"
"coverage_pit",5000,23985,0.733830684666912,0.216292029344924,0.5,0.233830684666912,0.0571602310898835,0.0454563201245257,0.0833333333333333,-0.0261731022434498,0.411127984698877,0.342587444158337,0.0867712573789093,0.063487974095626,0.139341864092504,0.112004353467166,"closer_to_target_better","pit_mean_to_0.5; pit_variance_to_1_over_12; ks_mae_rmse_lower_better",0.8,0.423951896382504,0.276248303817696,-0.376048103617496,0.9,0.525441076235025,0.300468166340884,-0.374558923764975,0.95,0.608700567283963,0.29812292287286,-0.341299432716037,14,"skew-t",10,85,"yes","no","",FALSE,FALSE,NA,14,"ozone_us_all_results",FALSE,FALSE,FALSE,"other_numeric"
"coverage_pit",5000,23985,0.501498939080366,0.0207495730476663,0.5,0.00149893908036569,0.0782137578534388,0.000984274677900125,0.0833333333333333,-0.00511957547989454,0.0438457672225864,0.00108075930394008,0.00915563099984205,0.000243385420929815,0.0109571477565814,0.000298014554292976,"closer_to_target_better","pit_mean_to_0.5; pit_variance_to_1_over_12; ks_mae_rmse_lower_better",0.8,0.817637905472364,0.0050180838502919,0.017637905472364,0.9,0.901398178623735,0.00392381003158698,0.00139817862373504,0.95,0.94275749242616,0.00427287127087073,-0.00724250757384037,15,"skew-t",15,0,"yes","no","",TRUE,FALSE,NA,15,"ozone_us_all_results",FALSE,FALSE,FALSE,"morris_baseline"
"coverage_pit",5000,23985,0.50743856188021,0.0258325892409038,0.5,0.00743856188020975,0.077640592212404,0.000731292480376421,0.0833333333333333,-0.00569274112092931,0.0496885433820918,0.00952077561432402,0.00942597010614015,0.00201188935872608,0.0116511982948383,0.00217439463626567,"closer_to_target_better","pit_mean_to_0.5; pit_variance_to_1_over_12; ks_mae_rmse_lower_better",0.8,0.820595445407899,0.00202687683932995,0.0205954454078985,0.9,0.910110316618194,0.000450656958533913,0.0101103166181936,0.95,0.950343504294492,0.00122772184537628,0.000343504294492147,16,"skew-t",15,50,"yes","no","",TRUE,FALSE,NA,16,"ozone_us_all_results",FALSE,FALSE,FALSE,"morris_baseline"
"coverage_pit",5000,23985,0.452388057168196,0.00191653564667443,0.5,-0.047611942831804,0.0967936047886104,0.000266612126772758,0.0833333333333333,0.013460271455277,0.0935945744193806,5.91723506452313e-05,0.0184281768640358,1.97684556274211e-05,0.0281478606552595,0.000700632951437097,"closer_to_target_better","pit_mean_to_0.5; pit_variance_to_1_over_12; ks_mae_rmse_lower_better",0.8,0.721825538967324,0.00160531874710418,-0.0781744610326756,0.9,0.838148413479746,0.00114474314274265,-0.0618515865202537,0.95,0.907025304874767,0.00021526903247332,-0.0429746951252328,17,"t",15,75,"yes","no","",TRUE,FALSE,NA,17,"ozone_us_all_results",FALSE,FALSE,FALSE,"morris_baseline"
"coverage_pit",5000,23985,0.947142440540065,0.0279292940602518,0.5,0.447142440540065,0.0165059528246647,0.0112740400683123,0.0833333333333333,-0.0668273805086687,0.761429450155332,0.0740486693745508,0.15154349898786,0.0143529751306696,0.253120639052219,0.0235870229992801,"closer_to_target_better","pit_mean_to_0.5; pit_variance_to_1_over_12; ks_mae_rmse_lower_better",0.8,0.140489107512113,0.070138186448514,-0.659510892487887,0.9,0.197736058138659,0.0777060506367833,-0.702263941861341,0.95,0.258732319466253,0.0771869331196663,-0.691267680533747,18,"skew-t",15,85,"yes","no","",FALSE,FALSE,NA,18,"ozone_us_all_results",FALSE,FALSE,FALSE,"other_numeric"
