"metric_family","crps_mean","crps_se","crps_rel_to_gaussian","crps_direction","mspe_mean","mspe_se","mspe_rel_to_gaussian","mspe_direction","mape_mean","mape_se","mape_rel_to_gaussian","mape_direction","crps_draws_used","n_obs_total","loo_elpd","loo_elpd_se","delta_loo_elpd_to_gaussian","loo_direction","waic","waic_se","delta_waic_to_gaussian","waic_direction","predictive_density_status","predictive_density_note","setting","method","knots","thresh","CMAQ","TS","ar2","is_baseline","is_proposed","mrts","setting_orig","source","is_ar2","is_mrts","is_prop","model_lane"
"scalar",4.69266804445141,0.026177589704441,1.13120312089283,"lower_better",NA,NA,NA,"lower_better",NA,NA,NA,"lower_better",5000,23985,NA,NA,NA,"higher_better",NA,NA,NA,"lower_better","unavailable","Pointwise log-likelihood is not stored in fit[[d]]; LOO-ELPD and WAIC are exported as NA placeholders.",12,"skew-t",10,50,"yes","no","",TRUE,FALSE,NA,12,"ozone_us_all_results",FALSE,FALSE,FALSE,"morris_baseline"
"scalar",6.61965473007814,0.00906862058640057,1.59571783449532,"lower_better",NA,NA,NA,"lower_better",NA,NA,NA,"lower_better",5000,23985,NA,NA,NA,"higher_better",NA,NA,NA,"lower_better","unavailable","Pointwise log-likelihood is not stored in fit[[d]]; LOO-ELPD and WAIC are exported as NA placeholders.",13,"t",10,75,"yes","no","",TRUE,FALSE,NA,13,"ozone_us_all_results",FALSE,FALSE,FALSE,"morris_baseline"
"scalar",1515.48291312016,1508.57878535434,365.31861720078,"lower_better",NA,NA,NA,"lower_better",NA,NA,NA,"lower_better",5000,23985,NA,NA,NA,"higher_better",NA,NA,NA,"lower_better","unavailable","Pointwise log-likelihood is not stored in fit[[d]]; LOO-ELPD and WAIC are exported as NA placeholders.",14,"skew-t",10,85,"yes","no","",FALSE,FALSE,NA,14,"ozone_us_all_results",FALSE,FALSE,FALSE,"other_numeric"
"scalar",4.05858684086404,0.00901277217248042,0.97835305146471,"lower_better",NA,NA,NA,"lower_better",NA,NA,NA,"lower_better",5000,23985,NA,NA,NA,"higher_better",NA,NA,NA,"lower_better","unavailable","Pointwise log-likelihood is not stored in fit[[d]]; LOO-ELPD and WAIC are exported as NA placeholders.",15,"skew-t",15,0,"yes","no","",TRUE,FALSE,NA,15,"ozone_us_all_results",FALSE,FALSE,FALSE,"morris_baseline"
"scalar",4.67022733035307,0.0522238368057422,1.12579361704925,"lower_better",NA,NA,NA,"lower_better",NA,NA,NA,"lower_better",5000,23985,NA,NA,NA,"higher_better",NA,NA,NA,"lower_better","unavailable","Pointwise log-likelihood is not stored in fit[[d]]; LOO-ELPD and WAIC are exported as NA placeholders.",16,"skew-t",15,50,"yes","no","",TRUE,FALSE,NA,16,"ozone_us_all_results",FALSE,FALSE,FALSE,"morris_baseline"
"scalar",6.5839091082697,0.0695624739251621,1.5871010820285,"lower_better",NA,NA,NA,"lower_better",NA,NA,NA,"lower_better",5000,23985,NA,NA,NA,"higher_better",NA,NA,NA,"lower_better","unavailable","Pointwise log-likelihood is not stored in fit[[d]]; LOO-ELPD and WAIC are exported as NA placeholders.",17,"t",15,75,"yes","no","",TRUE,FALSE,NA,17,"ozone_us_all_results",FALSE,FALSE,FALSE,"morris_baseline"
"scalar",43565.2968535189,38001.6423183466,10501.7442735147,"lower_better",NA,NA,NA,"lower_better",NA,NA,NA,"lower_better",5000,23985,NA,NA,NA,"higher_better",NA,NA,NA,"lower_better","unavailable","Pointwise log-likelihood is not stored in fit[[d]]; LOO-ELPD and WAIC are exported as NA placeholders.",18,"skew-t",15,85,"yes","no","",FALSE,FALSE,NA,18,"ozone_us_all_results",FALSE,FALSE,FALSE,"other_numeric"
"scalar",6.71767581244875,0.0815978707644951,1.61934655769513,"lower_better",NA,NA,NA,"lower_better",NA,NA,NA,"lower_better",5000,23985,NA,NA,NA,"higher_better",NA,NA,NA,"lower_better","unavailable","Pointwise log-likelihood is not stored in fit[[d]]; LOO-ELPD and WAIC are exported as NA placeholders.",19,"t",1,75,"yes","no","",FALSE,FALSE,NA,19,"ozone_us_all_results",FALSE,FALSE,FALSE,"other_numeric"
"scalar",7.85330970924131,0.357393207787841,1.89309969686344,"lower_better",NA,NA,NA,"lower_better",NA,NA,NA,"lower_better",5000,23985,NA,NA,NA,"higher_better",NA,NA,NA,"lower_better","unavailable","Pointwise log-likelihood is not stored in fit[[d]]; LOO-ELPD and WAIC are exported as NA placeholders.",20,"t",1,85,"yes","no","",FALSE,FALSE,NA,20,"ozone_us_all_results",FALSE,FALSE,FALSE,"other_numeric"
"scalar",6.55572904626798,0.0938087458977535,1.58030806496841,"lower_better",NA,NA,NA,"lower_better",NA,NA,NA,"lower_better",5000,23985,NA,NA,NA,"higher_better",NA,NA,NA,"lower_better","unavailable","Pointwise log-likelihood is not stored in fit[[d]]; LOO-ELPD and WAIC are exported as NA placeholders.",21,"t",5,75,"yes","no","",FALSE,FALSE,NA,21,"ozone_us_all_results",FALSE,FALSE,FALSE,"other_numeric"
"scalar",7.22776168722391,0.273823449146819,1.74230661538582,"lower_better",NA,NA,NA,"lower_better",NA,NA,NA,"lower_better",5000,23985,NA,NA,NA,"higher_better",NA,NA,NA,"lower_better","unavailable","Pointwise log-likelihood is not stored in fit[[d]]; LOO-ELPD and WAIC are exported as NA placeholders.",22,"t",5,85,"yes","no","",FALSE,FALSE,NA,22,"ozone_us_all_results",FALSE,FALSE,FALSE,"other_numeric"
"scalar",6.58440722242908,0.153141469156759,1.58722115621366,"lower_better",NA,NA,NA,"lower_better",NA,NA,NA,"lower_better",5000,23985,NA,NA,NA,"higher_better",NA,NA,NA,"lower_better","unavailable","Pointwise log-likelihood is not stored in fit[[d]]; LOO-ELPD and WAIC are exported as NA placeholders.",23,"t",10,75,"yes","no","",FALSE,FALSE,NA,23,"ozone_us_all_results",FALSE,FALSE,FALSE,"other_numeric"
"scalar",7.2099828040497,0.172799577708643,1.73802088114207,"lower_better",NA,NA,NA,"lower_better",NA,NA,NA,"lower_better",5000,23985,NA,NA,NA,"higher_better",NA,NA,NA,"lower_better","unavailable","Pointwise log-likelihood is not stored in fit[[d]]; LOO-ELPD and WAIC are exported as NA placeholders.",24,"t",10,85,"yes","no","",FALSE,FALSE,NA,24,"ozone_us_all_results",FALSE,FALSE,FALSE,"other_numeric"
"scalar",6.47158483651352,0.147828273638447,1.56002446685798,"lower_better",NA,NA,NA,"lower_better",NA,NA,NA,"lower_better",5000,23985,NA,NA,NA,"higher_better",NA,NA,NA,"lower_better","unavailable","Pointwise log-likelihood is not stored in fit[[d]]; LOO-ELPD and WAIC are exported as NA placeholders.",25,"t",15,75,"yes","no","",FALSE,FALSE,NA,25,"ozone_us_all_results",FALSE,FALSE,FALSE,"other_numeric"
"scalar",8.23089908011929,1.06044693074833,1.98412047027148,"lower_better",NA,NA,NA,"lower_better",NA,NA,NA,"lower_better",5000,23985,NA,NA,NA,"higher_better",NA,NA,NA,"lower_better","unavailable","Pointwise log-likelihood is not stored in fit[[d]]; LOO-ELPD and WAIC are exported as NA placeholders.",26,"t",15,85,"yes","no","",FALSE,FALSE,NA,26,"ozone_us_all_results",FALSE,FALSE,FALSE,"other_numeric"
"scalar",4.13378213719573,0.0204892409336503,0.996479446317518,"lower_better",NA,NA,NA,"lower_better",NA,NA,NA,"lower_better",5000,23985,NA,NA,NA,"higher_better",NA,NA,NA,"lower_better","unavailable","Pointwise log-likelihood is not stored in fit[[d]]; LOO-ELPD and WAIC are exported as NA placeholders.",27,"skew-t",2,0,"yes","no","",FALSE,FALSE,NA,27,"ozone_us_all_results",FALSE,FALSE,FALSE,"other_numeric"
"scalar",6.78998207176462,0.180867594290814,1.63677652832663,"lower_better",NA,NA,NA,"lower_better",NA,NA,NA,"lower_better",5000,23985,NA,NA,NA,"higher_better",NA,NA,NA,"lower_better","unavailable","Pointwise log-likelihood is not stored in fit[[d]]; LOO-ELPD and WAIC are exported as NA placeholders.",28,"skew-t",2,75,"yes","no","",FALSE,FALSE,NA,28,"ozone_us_all_results",FALSE,FALSE,FALSE,"other_numeric"
"scalar",4.13414137321969,0.0216354116341439,0.996566042877851,"lower_better",NA,NA,NA,"lower_better",NA,NA,NA,"lower_better",5000,23985,NA,NA,NA,"higher_better",NA,NA,NA,"lower_better","unavailable","Pointwise log-likelihood is not stored in fit[[d]]; LOO-ELPD and WAIC are exported as NA placeholders.",29,"skew-t",3,0,"yes","no","",FALSE,FALSE,NA,29,"ozone_us_all_results",FALSE,FALSE,FALSE,"other_numeric"
"scalar",6.77657000751215,0.111710793469073,1.63354344880848,"lower_better",NA,NA,NA,"lower_better",NA,NA,NA,"lower_better",5000,23985,NA,NA,NA,"higher_better",NA,NA,NA,"lower_better","unavailable","Pointwise log-likelihood is not stored in fit[[d]]; LOO-ELPD and WAIC are exported as NA placeholders.",30,"skew-t",3,75,"yes","no","",FALSE,FALSE,NA,30,"ozone_us_all_results",FALSE,FALSE,FALSE,"other_numeric"
"scalar",4.1334760477565,0.0196399704571419,0.996405661143357,"lower_better",NA,NA,NA,"lower_better",NA,NA,NA,"lower_better",5000,23985,NA,NA,NA,"higher_better",NA,NA,NA,"lower_better","unavailable","Pointwise log-likelihood is not stored in fit[[d]]; LOO-ELPD and WAIC are exported as NA placeholders.",31,"skew-t",4,0,"yes","no","",FALSE,FALSE,NA,31,"ozone_us_all_results",FALSE,FALSE,FALSE,"other_numeric"
