"setting","fold","backend","param","mean","sd","rhat_bulk","rhat_tail","rhat","ess","geweke_z","degenerate","flag"
204,2,"legacy","beta[cmaq]",7.759,0.1373,1.0032,0.9997,1.0032,1729.521,-1.3953,FALSE,"pass"
204,2,"legacy","beta[mrts1]",-0.2773,0.4576,0.9998,0.9998,0.9998,2501.2679,-0.0187,FALSE,"pass"
204,2,"legacy","beta[mrts2]",2.4382,0.3193,1,1.0001,1.0001,5000,-0.1679,FALSE,"pass"
204,2,"legacy","beta[mrts3]",2.7711,0.3536,0.9997,1.0002,1.0002,3805.1239,0.0316,FALSE,"pass"
204,2,"legacy","beta[mrts4]",-2.5638,0.3004,0.9999,0.9998,0.9999,4910.8473,-0.5582,FALSE,"pass"
204,2,"legacy","beta[mrts5]",1.6831,0.308,1.0008,0.9998,1.0008,5000,1.4203,FALSE,"pass"
204,2,"legacy","beta[mrts6]",0.4187,0.2624,0.9999,0.9998,0.9999,4456.7118,-1.9369,FALSE,"pass"
204,2,"legacy","beta[mrts7]",2.0291,0.2876,0.9999,0.9998,0.9999,4029.1225,0.4011,FALSE,"pass"
204,2,"legacy","beta[mrts8]",-0.7886,0.2495,0.9999,1.0001,1.0001,5000,-1.3125,FALSE,"pass"
204,2,"legacy","beta[mrts9]",-1.1881,0.2736,0.9997,0.9998,0.9998,5238.7253,0.1087,FALSE,"pass"
204,2,"legacy","tau.alpha",0.4216,0.0835,0.9999,1.0003,1.0003,2229.7423,-0.9569,FALSE,"pass"
204,2,"legacy","tau.beta",11.2934,3.6441,1.0002,0.9999,1.0002,2467.8733,-0.8698,FALSE,"pass"
204,2,"legacy","rho",0.3941,0.0368,1.0505,1.0033,1.0505,95.0497,-2.4097,FALSE,"fail"
204,2,"legacy","nu",0.3204,0.0239,1.0741,1.0136,1.0741,49.8525,2.9934,FALSE,"fail"
204,2,"legacy","gamma",0.8355,0.0152,1.0428,1.0091,1.0428,74.1529,-3.7178,FALSE,"fail"
204,2,"legacy","lambda",-0.3124,19.4835,0.9999,1.0002,1.0002,5285.1193,1.6046,FALSE,"pass"
204,2,"legacy","phi.z",0,0,NA,NA,NA,NA,NA,TRUE,"degenerate"
204,2,"legacy","phi.w",0,0,NA,NA,NA,NA,NA,TRUE,"degenerate"
204,2,"legacy","phi.tau",0.9967,0.0014,1.0024,1.0072,1.0072,552.5564,-0.49,FALSE,"pass"
204,2,"legacy","mean.log.tau",-4.8892,0.0296,1.0047,1.0127,1.0127,122.375,0.371,FALSE,"marginal"
204,2,"legacy","mean.z",0,0,NA,NA,NA,NA,NA,TRUE,"degenerate"
