"setting","fold","backend","param","mean","sd","rhat_bulk","rhat_tail","rhat","ess","geweke_z","degenerate","flag"
55,1,"legacy","beta[int]",49.0029,0.5231,1.0447,1.003,1.0447,210.1471,-2.5936,FALSE,"marginal"
55,1,"legacy","beta[cmaq]",8.4086,0.1747,1.0098,0.9999,1.0098,456.9645,0.2625,FALSE,"pass"
55,1,"legacy","tau.alpha",0.7358,0.0731,1.0016,1.0003,1.0016,1463.2011,1.584,FALSE,"pass"
55,1,"legacy","tau.beta",45.7742,6.4408,1.0065,0.9996,1.0065,1350.9503,1.022,FALSE,"pass"
55,1,"legacy","rho",0.4981,0.0497,1.0786,1.0037,1.0786,59.7996,-1.7384,FALSE,"fail"
55,1,"legacy","nu",0.3133,0.0221,1.0672,1.0626,1.0672,39.322,0.1735,FALSE,"fail"
55,1,"legacy","gamma",0.8934,0.014,1.0384,1.0126,1.0384,84.676,0.3689,FALSE,"fail"
55,1,"legacy","lambda",-0.5899,19.888,0.9997,1.0008,1.0008,5000,0.0627,FALSE,"pass"
55,1,"legacy","phi.z",0,0,NA,NA,NA,NA,NA,TRUE,"degenerate"
55,1,"legacy","phi.w",0.2892,0.062,1.0508,1.002,1.0508,849.9515,7.981,FALSE,"fail"
55,1,"legacy","phi.tau",0.8027,0.0433,1.0276,1.0116,1.0276,319.0361,1.1737,FALSE,"marginal"
55,1,"legacy","mean.log.tau",-4.9509,0.0452,1.0395,1.0006,1.0395,73.5174,0.2376,FALSE,"fail"
55,1,"legacy","mean.z",0,0,NA,NA,NA,NA,NA,TRUE,"degenerate"
55,2,"legacy","beta[int]",49.7118,0.5575,1.014,1.0008,1.014,251.7212,0.5207,FALSE,"marginal"
55,2,"legacy","beta[cmaq]",8.384,0.1771,1.0148,1.0001,1.0148,428.8074,-2.1684,FALSE,"marginal"
55,2,"legacy","tau.alpha",0.7837,0.0785,0.9998,1.0001,1.0001,1457.9227,0.2128,FALSE,"pass"
