"metric_family","metric","ranking_group","quantile","target_type","target_level","threshold_value","band_type","target_value","prediction_cutoff","ranking_basis","rank","setting","rank_value","score_value","score_se","rel_score_to_gaussian","rel_to_gaussian","gap_to_target","score_direction","method","knots","thresh","CMAQ","TS","ar2","mrts","setting_orig","source","is_baseline","is_proposed","is_ar2","is_mrts","is_prop","model_lane"
"score","brier","brier__q0.8",0.8,"threshold_quantile",0.8,65.5,NA,NA,NA,"rel_to_gaussian",2,60,0.989661010297931,0.0708047697318837,0.00173927324776264,0.989661010297931,0.989661010297931,NA,"lower_better","skew-t",7,0,"yes","yes","",NA,60,"ozone_us_all_results",TRUE,FALSE,FALSE,FALSE,FALSE,"morris_baseline"
"score","brier","brier__q0.9",0.9,"threshold_quantile",0.9,73.25,NA,NA,NA,"rel_to_gaussian",1,204,0.99157015287026,0.044665160164224,0.00126021543470827,0.99157015287026,0.99157015287026,NA,"lower_better","skew-t",1,0,"yes","yes","","10",204,"ozone_us_all_results",FALSE,TRUE,FALSE,TRUE,FALSE,"mrts"
"score","brier","brier__q0.9",0.9,"threshold_quantile",0.9,73.25,NA,NA,NA,"rel_to_gaussian",2,51,0.992240779164545,0.0446953684462682,0.00130112263814953,0.992240779164545,0.992240779164545,NA,"lower_better","skew-t",1,0,"yes","yes","",NA,51,"ozone_us_all_results",TRUE,FALSE,FALSE,FALSE,FALSE,"morris_baseline"
"score","brier","brier__q0.95",0.95,"threshold_quantile",0.95,79.75,NA,NA,NA,"rel_to_gaussian",1,111,0.985568316004244,0.0266400412497031,0.00199102379200531,0.985568316004244,0.985568316004244,NA,"lower_better","skew-t",7,50,"yes","yes","yes",NA,111,"ozone_us_all_results",FALSE,TRUE,TRUE,FALSE,FALSE,"ar2"
"score","brier","brier__q0.95",0.95,"threshold_quantile",0.95,79.75,NA,NA,NA,"rel_to_gaussian",2,120,0.988640940047673,0.0267230946818524,0.0020421315810772,0.988640940047673,0.988640940047673,NA,"lower_better","skew-t",10,50,"yes","yes","yes",NA,120,"ozone_us_all_results",FALSE,TRUE,TRUE,FALSE,FALSE,"ar2"
"score","brier","brier__q0.98",0.98,"threshold_quantile",0.98,88.5,NA,NA,NA,"rel_to_gaussian",1,58,0.97343131219246,0.0125690773671446,0.000702658995885107,0.97343131219246,0.97343131219246,NA,"lower_better","skew-t",6,50,"yes","yes","",NA,58,"ozone_us_all_results",TRUE,FALSE,FALSE,FALSE,FALSE,"morris_baseline"
"score","brier","brier__q0.98",0.98,"threshold_quantile",0.98,88.5,NA,NA,NA,"rel_to_gaussian",2,55,0.973652178984649,0.0125719292291754,0.000688417974695125,0.973652178984649,0.973652178984649,NA,"lower_better","skew-t",5,50,"yes","yes","",NA,55,"ozone_us_all_results",TRUE,FALSE,FALSE,FALSE,FALSE,"morris_baseline"
"score","brier","brier__q0.99",0.99,"threshold_quantile",0.99,94.75,NA,NA,NA,"rel_to_gaussian",1,68,0.946636327446131,0.00687592204870412,0.000689344240918838,0.946636327446131,0.946636327446131,NA,"lower_better","t",9,75,"yes","yes","",NA,68,"ozone_us_all_results",TRUE,FALSE,FALSE,FALSE,FALSE,"morris_baseline"
"score","brier","brier__q0.99",0.99,"threshold_quantile",0.99,94.75,NA,NA,NA,"rel_to_gaussian",2,8,0.950005025467124,0.00690039069027893,0.000590571815560246,0.950005025467124,0.950005025467124,NA,"lower_better","skew-t",5,50,"yes","no","",NA,8,"ozone_us_all_results",TRUE,FALSE,FALSE,FALSE,FALSE,"morris_baseline"
"score","brier","brier__q0.995",0.995,"threshold_quantile",0.995,100.52,NA,NA,NA,"rel_to_gaussian",1,124,0.953374437154472,0.00384227886745836,0.000104501776518954,0.953374437154472,0.953374437154472,NA,"lower_better","t",15,75,"yes","yes","yes",NA,124,"ozone_us_all_results",FALSE,TRUE,TRUE,FALSE,FALSE,"ar2"
