"pair","A","B","twCRPS_A","twCRPS_B","Delta","CI_lo","CI_hi","boot_p"
"AR(2) vs AR(1)  | skew-t, K=7, T=50",111,61,0.567898211286704,0.568048087523691,-0.000149876236986964,-0.00465737367495475,0.00428499284989263,0.981
"MRTS(10) vs none | skew-t, K=1, T=0, TS",204,51,0.573278225270454,0.575120569437536,-0.00184234416708226,-0.0056220222825506,0.00166019939349722,0.289
