"pair","score","scheme","n_units","Delta","CI_lo","CI_hi","boot_p","sig"
"AR(2) vs AR(1)","brier","site",100,-2.68771129848231e-05,-0.000331546646919601,0.000322875774594884,0.808,""
"AR(2) vs AR(1)","brier","block_coarse",12,-2.68771129848231e-05,-0.000363323411117727,0.000255387608322595,0.834,""
"AR(2) vs AR(1)","brier","block_med",18,-2.68771129848231e-05,-0.000294146226891962,0.000314121163894881,0.825,""
"AR(2) vs AR(1)","brier","block_fine",28,-2.68771129848231e-05,-0.000400400717607818,0.000293668111828677,0.912,""
"AR(2) vs AR(1)","crps","site",100,0.039326907740812,0.00374224403223304,0.0719569596264401,0.027,"*"
"AR(2) vs AR(1)","crps","block_coarse",12,0.039326907740812,-0.0139577176450106,0.0760202100250583,0.109,""
"AR(2) vs AR(1)","crps","block_med",18,0.039326907740812,-0.0079162652630105,0.0782980370832744,0.091,""
"AR(2) vs AR(1)","crps","block_fine",28,0.039326907740812,0.000681416121190021,0.0731981064570692,0.047,"*"
"AR(2) vs AR(1)","twcrps","site",100,-0.000213523994231039,-0.00444718553212782,0.00465914835334435,0.868,""
"AR(2) vs AR(1)","twcrps","block_coarse",12,-0.000213523994231039,-0.00391510256321314,0.00213563501803999,0.913,""
"AR(2) vs AR(1)","twcrps","block_med",18,-0.000213523994231039,-0.00408828243520314,0.00398010860560705,0.899,""
"AR(2) vs AR(1)","twcrps","block_fine",28,-0.000213523994231039,-0.00477567759585809,0.00421161583167713,0.935,""
