"pair","A","B","CRPS_A","CRPS_B","Delta","CI_lo","CI_hi","boot_p"
"AR(2) vs AR(1)  | skew-t, K=7, T=50",111,61,5.02435006331595,5.00302717315435,0.0213228901615977,0.00300776725623388,0.0400989966453781,0.026
"MRTS(10) vs none | skew-t, K=1, T=0, TS",204,51,4.46888265415744,4.48616653260023,-0.0172838784427931,-0.0527311672001903,0.0193687274094713,0.344
