"score","Delta","mc_se_Delta","boot_CI_halfwidth","ratio_mc_to_boot"
"brier",-6.23372871717681e-05,6.59753271162005e-05,0.000354186176201812,0.186273015575313
"crps",0.0213228901615974,0.0130478390233645,0.0185456146945721,0.703553871804706
"twcrps",-0.000149876236986923,0.00116101508581791,0.00447118326242369,0.25966618178575
