"score","method","mrts_k","dataset","quantile","value"
"brier",2,0,2,0.91,0.0224274695909091
"brier",2,0,2,0.92,0.0216160366863636
"brier",2,0,2,0.93,0.0177388909909091
"brier",2,0,2,0.94,0.0165868894545455
"brier",2,0,2,0.95,0.0154496822909091
"brier",2,0,2,0.96,0.0142314765909091
"brier",2,0,2,0.97,0.0107223744318182
"brier",2,0,2,0.98,0.00713203318181818
"brier",2,0,2,0.99,0.00373973294545455
"brier",2,0,2,0.995,0.00206224772727273
"brier",2,0,3,0.9,0.0198498741363636
"brier",2,0,3,0.91,0.0184144805454545
"brier",2,0,3,0.92,0.0182657106409091
"brier",2,0,3,0.93,0.0160429665136364
"brier",2,0,3,0.94,0.0126546164545455
"brier",2,0,3,0.95,0.00889714557272727
"brier",2,0,3,0.96,0.00767160975909091
"brier",2,0,3,0.97,0.00609189038181818
"brier",2,0,3,0.98,0.00289960265909091
"brier",2,0,3,0.99,0.00210484334090909
"brier",2,0,3,0.995,0.00113900079545455
"brier",2,0,4,0.9,0.0106103455227273
"brier",2,0,4,0.91,0.00821127035454546
"brier",2,0,4,0.92,0.00704758143636364
"brier",2,0,4,0.93,0.00826735948636364
"brier",2,0,4,0.94,0.00940868750909091
"brier",2,0,4,0.95,0.00603255265909091
"brier",2,0,4,0.96,0.00702625602272727
"brier",2,0,4,0.97,0.00657132446363636
"brier",2,0,4,0.98,0.00557322008636364
"brier",2,0,4,0.99,0.00348893184545455
"brier",2,0,4,0.995,0.00311277524545455
"brier",2,0,5,0.9,0.0250542402045455
"brier",2,0,5,0.91,0.0239817168272727
"brier",2,0,5,0.92,0.0213175256681818
"brier",2,0,5,0.93,0.0199901047545455
"brier",2,0,5,0.94,0.0187745449545455
"brier",2,0,5,0.95,0.01471565725
"brier",2,0,5,0.96,0.0136232419045455
"brier",2,0,5,0.97,0.0113668780409091
"brier",2,0,5,0.98,0.00829822677272727
"brier",2,0,5,0.99,0.00558542487272727
"brier",2,0,5,0.995,0.00309505774545455
"brier",2,0,6,0.9,0.0157322471545455
"brier",2,0,6,0.91,0.0136346270363636
"brier",2,0,6,0.92,0.0135100146363636
"brier",2,0,6,0.93,0.0103091504227273
"brier",2,0,6,0.94,0.00944827795454545
"brier",2,0,6,0.95,0.00854375896363636
"brier",2,0,6,0.96,0.00861000054090909
"brier",2,0,6,0.97,0.00934554690909091
"brier",2,0,6,0.98,0.00681985440909091
"brier",2,0,6,0.99,0.00540100585909091
"brier",2,0,6,0.995,0.00359044515909091
"brier",2,0,7,0.9,0.0176928844909091
"brier",2,0,7,0.91,0.0182268544136364
"brier",2,0,7,0.92,0.0166267552636364
"brier",2,0,7,0.93,0.0140802639954545
"brier",2,0,7,0.94,0.0133391979681818
"brier",2,0,7,0.95,0.0123152491318182
"brier",2,0,7,0.96,0.0101021399681818
"brier",2,0,7,0.97,0.00713670734090909
"brier",2,0,7,0.98,0.00293188341818182
"brier",2,0,7,0.99,0.00252878331363636
"brier",2,0,7,0.995,0.00275037036818182
"brier",2,0,8,0.9,0.0179158545727273
"brier",2,0,8,0.91,0.0166051756545455
"brier",2,0,8,0.92,0.0178972086909091
"brier",2,0,8,0.93,0.0174404813318182
"brier",2,0,8,0.94,0.0183133764590909
"brier",2,0,8,0.95,0.0154757880136364
"brier",2,0,8,0.96,0.0130264260318182
"brier",2,0,8,0.97,0.0103487260045455
"brier",2,0,8,0.98,0.00829415374090909
"brier",2,0,8,0.99,0.00364339678636364
"brier",2,0,8,0.995,0.00325730652727273
"brier",2,0,9,0.9,0.0265574345227273
"brier",2,0,9,0.91,0.0248153628863636
"brier",2,0,9,0.92,0.0203542970545455
"brier",2,0,9,0.93,0.0180759037227273
"brier",2,0,9,0.94,0.0171239247272727
"brier",2,0,9,0.95,0.0149614122409091
"brier",2,0,9,0.96,0.0130492624772727
"brier",2,0,9,0.97,0.01090403745
"brier",2,0,9,0.98,0.00837699943636364
"brier",2,0,9,0.99,0.00591481724090909
"brier",2,0,9,0.995,0.00321450445909091
"brier",2,0,10,0.9,0.0183741978727273
"brier",2,0,10,0.91,0.0166057086863636
"brier",2,0,10,0.92,0.0144804245954545
"brier",2,0,10,0.93,0.0115724339272727
"brier",2,0,10,0.94,0.00848170115454545
"brier",2,0,10,0.95,0.00868479648636364
"brier",2,0,10,0.96,0.00723043574090909
"brier",2,0,10,0.97,0.00422662865454545
"brier",2,0,10,0.98,0.000792400763636364
"brier",2,0,10,0.99,0.0033609516
"brier",2,0,10,0.995,0.00288622058181818
"brier",3,0,1,0.9,0.0215535203909091
"brier",3,0,1,0.91,0.0176608497772727
"brier",3,0,1,0.92,0.0176027670454545
"brier",3,0,1,0.93,0.0163487998045455
"brier",3,0,1,0.94,0.0167032030545455
"brier",3,0,1,0.95,0.0137836542090909
"brier",3,0,1,0.96,0.01223226195
"brier",3,0,1,0.97,0.00774293398181818
"brier",3,0,1,0.98,0.00364749347272727
"brier",3,0,1,0.99,0.00497278361363636
"brier",3,0,1,0.995,0.00405644597727273
"brier",3,0,2,0.9,0.0242231406136364
"brier",3,0,2,0.91,0.0227039572409091
"brier",3,0,2,0.92,0.0227092902545455
"brier",3,0,2,0.93,0.0189764937545455
"brier",3,0,2,0.94,0.0172874724909091
"brier",3,0,2,0.95,0.0162367142727273
"brier",3,0,2,0.96,0.0148774039727273
"brier",3,0,2,0.97,0.0108817567181818
"brier",3,0,2,0.98,0.00727246854090909
"brier",3,0,2,0.99,0.00376994687727273
"brier",3,0,2,0.995,0.00209730105454545
"brier",3,0,3,0.9,0.0203339899272727
"brier",3,0,3,0.91,0.01879827935
"brier",3,0,3,0.92,0.0187257137681818
"brier",3,0,3,0.93,0.0166440794318182
"brier",3,0,3,0.94,0.0131996463954545
"brier",3,0,3,0.95,0.00914838544090909
"brier",3,0,3,0.96,0.00751828701818182
"brier",3,0,3,0.97,0.00609721953636364
"brier",3,0,3,0.98,0.00288604617272727
"brier",3,0,3,0.99,0.00207825353636364
"brier",3,0,3,0.995,0.00114313517272727
"brier",3,0,4,0.9,0.0105545880727273
"brier",3,0,4,0.91,0.00834385792727273
"brier",3,0,4,0.92,0.00704480995
"brier",3,0,4,0.93,0.00802951119090909
"brier",3,0,4,0.94,0.00928541334090909
"brier",3,0,4,0.95,0.0060995405
"brier",3,0,4,0.96,0.00707591612272727
"brier",3,0,4,0.97,0.00655300184545455
"brier",3,0,4,0.98,0.00548055632272727
"brier",3,0,4,0.99,0.00341184024090909
