"score","method","mrts_k","mean","median","rel_mean","rel_median"
"energy",1,0,11.4564544571742,11.4631124263891,1,1
"energy",2,0,11.5129698469666,11.5566152722177,1.00493306109701,1.0081568462692
"energy",3,0,11.0267066099168,11.0128380715281,0.962488582408821,0.960719712228899
"energy",4,0,11.4943981504648,11.526286880255,1.0033119926791,1.00551110828508
"energy",5,0,10.6443795477798,10.6466676425541,0.929116384791643,0.928776343329276
"variogram",1,0,776.675680464449,776.195800933089,1,1
"variogram",2,0,799.384028454591,804.200505750067,1.02923787696888,1.0360794335441
"variogram",3,0,785.629360775759,787.296882177553,1.01152820995497,1.01430190839878
"variogram",4,0,808.864318849249,816.037622567629,1.04144411778872,1.051329602127
"variogram",5,0,745.330766149521,743.343543991636,0.959642209607769,0.957675296746053
