"method","mrts_k","coverage_95","mean_width_95","n"
2,0,0,0.681942834298188,10
2,3,0,0.667460010974173,10
2,5,0,0.432726565078551,10
2,8,0,0.333107361746049,10
2,10,0,0.301618739592452,10
2,12,0,0.272798734800085,10
2,15,0,0.254101695581212,10
2,20,0,0.258165994386206,10
2,25,0,0.284293043656349,10
2,30,0,0.296581488779992,10
2,40,0,0.312294358619587,10
2,50,0,0.316562095294441,10
4,0,0,0.166729099487054,10
4,3,0,0.170571682169341,10
4,5,0,0.400546866495458,10
4,8,0,0.394972673533363,10
4,10,0,0.331927013175671,10
4,12,0,0.33603969198143,10
4,15,0,0.215941563882296,10
4,20,0,0.192715814008161,10
4,25,0,0.194332017841031,10
4,30,0,0.198580676046159,10
4,40,0,0.205175733537883,10
4,50,0,0.206885211409817,10
