"score","quantile","best_method","best_mrts_k","best_value"
"brier",0.9,4,0,0.0304923934986364
"brier",0.91,4,0,0.0278461394927273
"brier",0.92,4,0,0.0248275912845455
"brier",0.93,4,0,0.0221571643368182
"brier",0.94,4,0,0.0194316378145455
"brier",0.95,4,0,0.0170360971172727
"brier",0.96,4,0,0.0136619391395455
"brier",0.97,4,0,0.0104187991854545
"brier",0.98,4,0,0.00722397753454545
"brier",0.99,4,0,0.00422019158636364
"brier",0.995,8,0,0.00239120370454545
"quant",0.9,4,0,1.8231401391492
"quant",0.91,4,0,1.70956993371792
"quant",0.92,10,0,1.5873805750304
"quant",0.93,10,0,1.45561870711372
"quant",0.94,10,0,1.31353953676224
"quant",0.95,10,0,1.15942201738313
"quant",0.96,10,0,0.99088975128692
"quant",0.97,4,0,0.804665349849407
"quant",0.98,4,0,0.593780381154047
"quant",0.99,4,0,0.32897122078056
"quant",0.995,10,0,0.177459432279975
