"score","method","mrts_k","mean","median","rel_mean","rel_median"
"energy",1,0,9.20403465550195,9.26127915674951,1,1
"energy",2,0,8.53451590274761,8.54880994798064,0.927258123441102,0.923070107626586
"energy",3,0,21.8386824407404,21.2741125866203,2.37272927125342,2.29710304878522
"energy",4,0,8.5751557942792,8.59720684907346,0.931673566564982,0.928295832958227
"energy",5,0,137.047797612507,22.765729810953,14.8899697515353,2.45816257405021
"energy",1,3,9.20236492325927,9.25819833828338,1,1
"energy",2,3,8.5408034536936,8.56625648165148,0.928109624527761,0.92526171601113
"energy",3,3,21.6168798169392,20.6103694759112,2.34905700841116,2.22617497733719
"energy",4,3,8.56525899166564,8.54569971761735,0.930767152041175,0.923041331084927
"energy",5,3,24.8333985683495,22.5722140940721,2.69858876228461,2.43807847588815
"energy",1,5,9.20811006011406,9.24917285945621,1,1
"energy",2,5,8.48711440649649,8.5243889346998,0.921699930940156,0.921637973928079
"energy",3,5,13.6065910449527,13.8199027770755,1.47767467548973,1.49417715368421
"energy",4,5,8.53592849271647,8.55436782262539,0.927001136714338,0.92487922461948
"energy",5,5,91.3655835626485,15.0873158732401,9.92229490809504,1.63120703899647
"energy",1,8,9.22561465215517,9.26284318978497,1,1
"energy",2,8,8.51209154842833,8.54176714196741,0.922658475274581,0.922153918290147
"energy",3,8,13.6506076050394,13.8290939579531,1.4796420747804,1.49296427399351
"energy",4,8,8.56864940537179,8.57194123267028,0.928788999806109,0.92541145920762
"energy",5,8,15.1266268249174,14.3350379721431,1.63963349817388,1.54758508574902
"energy",1,10,9.21438245832849,9.25108778780853,1,1
"energy",2,10,8.48625281879638,8.52349782924701,0.920979008324753,0.921350875134881
"energy",3,10,14.1943572214587,13.7951769035535,1.54045670294802,1.49119511347988
"energy",4,10,8.55900441853228,8.60628104146658,0.928874447879701,0.930299359261112
"energy",5,10,15.9648081689649,15.1006087967535,1.73259664889805,1.6323062912292
"energy",1,12,9.18413893979363,9.18950470381761,1,1
"energy",2,12,8.41826590838716,8.44999109016648,0.916609163207664,0.91952628161299
"energy",3,12,13.3990088892088,12.3979722927128,1.45892924497828,1.34914477899579
"energy",4,12,8.5089453828937,8.52414807303555,0.926482649998422,0.927596029141196
"energy",5,12,15.5194006002504,14.4293206962842,1.68980464058606,1.57019569186246
"energy",1,15,9.17591364685492,9.19706243225496,1,1
"energy",2,15,8.41047871791984,8.4608291579011,0.916582156459435,0.919949083767027
"energy",3,15,12.7167814885145,12.5886435070361,1.38588722365246,1.36876786471368
"energy",4,15,8.48442399974806,8.49988366273425,0.9246407852428,0.924195494522725
