"score","method","mrts_k","mean","median","rel_mean","rel_median"
"energy",2,0,8.50469163058402,8.63520741065411,NA,NA
"energy",3,0,14.7729813471982,14.1675693796761,NA,NA
"energy",4,0,8.25355650236884,8.22679260329329,NA,NA
"energy",5,0,12.274031324914,11.9421301563048,NA,NA
"energy",2,3,8.50150412726633,8.62348698161572,NA,NA
"energy",3,3,14.6463453482745,14.0053633646537,NA,NA
"energy",4,3,8.14752184898357,8.23006185934782,NA,NA
"energy",5,3,12.4267548131007,12.1475173281557,NA,NA
"energy",2,5,8.50193359537928,8.626902990283,NA,NA
"energy",3,5,15.15925308296,14.615606252482,NA,NA
"energy",4,5,8.15755991500138,8.1593371759794,NA,NA
"energy",5,5,12.154743371642,11.8023483999834,NA,NA
"energy",2,8,8.49910586136023,8.62901351758688,NA,NA
"energy",3,8,14.8978805010378,14.27309767895,NA,NA
"energy",4,8,8.31993695053921,8.25239756182893,NA,NA
"energy",5,8,12.2747818062627,11.9895256386984,NA,NA
"energy",2,10,8.50258784812995,8.63229359791355,NA,NA
"energy",3,10,15.0702195468674,14.2691519376163,NA,NA
"energy",4,10,8.24240200353941,8.30558218047431,NA,NA
"energy",5,10,12.3722353672552,11.9566253963164,NA,NA
"energy",2,12,8.50450060118166,8.63351562277168,NA,NA
"energy",3,12,15.4056841165436,14.4949346876664,NA,NA
"energy",4,12,8.17522815307336,8.12701946311491,NA,NA
"energy",5,12,12.2344210616719,11.8650461934648,NA,NA
"energy",2,15,8.50239992041719,8.63364445485385,NA,NA
"energy",3,15,15.1291980212296,14.1920927195138,NA,NA
"energy",4,15,8.24327686461021,8.19698629331879,NA,NA
"energy",5,15,12.6664530384235,12.0799987589316,NA,NA
"energy",2,20,8.49980712487693,8.62239379831487,NA,NA
"energy",3,20,15.318493929379,14.7976034647178,NA,NA
"energy",4,20,8.18645677388153,8.22035276896055,NA,NA
"energy",5,20,12.5475600551909,11.9033656116579,NA,NA
"energy",2,25,8.5044189274658,8.63059965220689,NA,NA
"energy",3,25,15.1802325242828,14.4893680087997,NA,NA
"energy",4,25,8.2761388607615,8.28762368004465,NA,NA
"energy",5,25,12.4408472244829,12.0162976467111,NA,NA
"variogram",2,0,665.244112803748,668.864680918109,NA,NA
"variogram",3,0,1208.40759513239,1132.21619376744,NA,NA
"variogram",4,0,607.881377963567,592.175798921501,NA,NA
"variogram",5,0,949.409003289606,891.875144538337,NA,NA
"variogram",2,3,664.94946351273,668.02424435342,NA,NA
"variogram",3,3,1198.25055533447,1116.07122980021,NA,NA
"variogram",4,3,595.665970144973,593.840903852197,NA,NA
"variogram",5,3,966.915860978515,921.177389022253,NA,NA
"variogram",2,5,665.007665860728,667.590491616121,NA,NA
"variogram",3,5,1250.36515607798,1161.93909686668,NA,NA
"variogram",4,5,599.204119304932,591.09535812798,NA,NA
"variogram",5,5,932.303483306114,891.049438671338,NA,NA
"variogram",2,8,664.528905014929,667.617699069385,NA,NA
"variogram",3,8,1225.49696640018,1127.03540531664,NA,NA
"variogram",4,8,614.954478553006,598.441048659335,NA,NA
"variogram",5,8,952.442967576527,907.93134065987,NA,NA
"variogram",2,10,664.823354420596,667.777724132578,NA,NA
"variogram",3,10,1240.54698867454,1137.30831252789,NA,NA
"variogram",4,10,605.175248894427,603.997110568728,NA,NA
"variogram",5,10,948.949418218798,905.140894426536,NA,NA
"variogram",2,12,664.97517696061,667.859941556777,NA,NA
"variogram",3,12,1261.40753679281,1147.28187164303,NA,NA
"variogram",4,12,601.565364502908,596.053527452047,NA,NA
"variogram",5,12,931.424471031581,895.749370195315,NA,NA
"variogram",2,15,664.794357027788,667.395553624571,NA,NA
"variogram",3,15,1245.25965608567,1126.20007417508,NA,NA
"variogram",4,15,605.353063415195,601.402941289028,NA,NA
"variogram",5,15,990.106696641663,921.148105616944,NA,NA
"variogram",2,20,664.495449623399,666.330612034194,NA,NA
"variogram",3,20,1259.53003567719,1154.51306883286,NA,NA
"variogram",4,20,599.901350930481,600.79958111598,NA,NA
"variogram",5,20,955.516602284082,900.454948628665,NA,NA
"variogram",2,25,665.11183763025,667.11705056833,NA,NA
"variogram",3,25,1250.6187705911,1155.19593352486,NA,NA
"variogram",4,25,606.8590461853,607.174516219744,NA,NA
"variogram",5,25,952.435625901913,907.109496651471,NA,NA
"pred_rmse",2,0,1.89884364142433,1.91273261343756,NA,NA
"pred_rmse",3,0,3.89853931826912,3.627210228126,NA,NA
"pred_rmse",4,0,1.87182247257502,1.84246962879828,NA,NA
"pred_rmse",5,0,2.82661750791176,2.60697994975322,NA,NA
"pred_rmse",2,3,1.8990324093973,1.91306004483863,NA,NA
"pred_rmse",3,3,3.8098088645792,3.54040535616284,NA,NA
"pred_rmse",4,3,1.82437267610743,1.83818894045057,NA,NA
"pred_rmse",5,3,2.93403721486138,2.70822533363168,NA,NA
"pred_rmse",2,5,1.89917391522,1.91270320110818,NA,NA
"pred_rmse",3,5,4.04302039623049,3.90984690855727,NA,NA
"pred_rmse",4,5,1.82447157554796,1.81178747783024,NA,NA
"pred_rmse",5,5,2.76668454824656,2.58694471010825,NA,NA
"pred_rmse",2,8,1.8988924030466,1.91271915098422,NA,NA
"pred_rmse",3,8,3.91571679194971,3.63488688961076,NA,NA
"pred_rmse",4,8,1.89476808417689,1.85157271535574,NA,NA
"pred_rmse",5,8,2.8207262694602,2.64530792421037,NA,NA
"pred_rmse",2,10,1.8987219144292,1.91288909735902,NA,NA
"pred_rmse",3,10,4.00637479903304,3.77868601383893,NA,NA
"pred_rmse",4,10,1.85802669566651,1.85119317304876,NA,NA
"pred_rmse",5,10,2.78838580618046,2.6412054674499,NA,NA
"pred_rmse",2,12,1.89938992131545,1.91351269811743,NA,NA
"pred_rmse",3,12,4.13249555616237,3.83974187146325,NA,NA
"pred_rmse",4,12,1.84313547698831,1.8241356206942,NA,NA
"pred_rmse",5,12,2.75120449171687,2.59410859408152,NA,NA
"pred_rmse",2,15,1.89934157820698,1.91317074916921,NA,NA
"pred_rmse",3,15,4.01497467052564,3.64945545864395,NA,NA
"pred_rmse",4,15,1.85926796497073,1.84232829102679,NA,NA
"pred_rmse",5,15,2.97504135017703,2.67606083883958,NA,NA
"pred_rmse",2,20,1.89887928883653,1.91244229363874,NA,NA
"pred_rmse",3,20,4.15922373546694,3.94741703796474,NA,NA
"pred_rmse",4,20,1.83432534131283,1.82723057493222,NA,NA
"pred_rmse",5,20,2.82926591481647,2.63557771507187,NA,NA
"pred_rmse",2,25,1.89943249026078,1.91223420108295,NA,NA
"pred_rmse",3,25,3.99252261773568,3.74946678971829,NA,NA
"pred_rmse",4,25,1.87270533140135,1.84172040804265,NA,NA
"pred_rmse",5,25,2.79604959995333,2.64664313215055,NA,NA
"recovery_rmse",2,0,3.33155772740334,3.3482543029003,NA,NA
"recovery_rmse",3,0,3.65558205725841,3.68754754604778,NA,NA
"recovery_rmse",4,0,0.360125924940239,0.319817563818541,NA,NA
"recovery_rmse",5,0,3.37531943944118,3.31769791838918,NA,NA
"recovery_rmse",2,3,3.33020596252923,3.34279828992997,NA,NA
"recovery_rmse",3,3,3.66027903967085,3.65593968751085,NA,NA
"recovery_rmse",4,3,0.361718921065279,0.328669331646758,NA,NA
"recovery_rmse",5,3,3.30471633488381,3.30682154925156,NA,NA
"recovery_rmse",2,5,3.34343783676833,3.33088441570097,NA,NA
"recovery_rmse",3,5,3.69839217154391,3.68927835540815,NA,NA
"recovery_rmse",4,5,0.364842278439397,0.352907325272455,NA,NA
"recovery_rmse",5,5,3.34198279657415,3.31507290505576,NA,NA
"recovery_rmse",2,8,3.34778415068985,3.33729703979104,NA,NA
"recovery_rmse",3,8,3.6168248918011,3.60312093590017,NA,NA
"recovery_rmse",4,8,0.394827116472272,0.377769015618497,NA,NA
"recovery_rmse",5,8,3.32242277223348,3.2828008107982,NA,NA
"recovery_rmse",2,10,3.34968222954937,3.32985374426638,NA,NA
"recovery_rmse",3,10,3.60807985720175,3.53669636861456,NA,NA
"recovery_rmse",4,10,0.407449666809971,0.401202799810863,NA,NA
"recovery_rmse",5,10,3.22726196958289,3.22677484070694,NA,NA
"recovery_rmse",2,12,3.32834740373328,3.34631821611206,NA,NA
"recovery_rmse",3,12,3.62478770880086,3.5406190293257,NA,NA
"recovery_rmse",4,12,0.39057436044054,0.397425021061635,NA,NA
"recovery_rmse",5,12,3.25723458004201,3.3266092085286,NA,NA
"recovery_rmse",2,15,3.31544720285504,3.32427765698626,NA,NA
"recovery_rmse",3,15,3.57867155337393,3.49397518797882,NA,NA
"recovery_rmse",4,15,0.409714009036588,0.413914101464157,NA,NA
"recovery_rmse",5,15,3.1320335088547,3.1484176993324,NA,NA
"recovery_rmse",2,20,3.32488628146106,3.35754884619363,NA,NA
"recovery_rmse",3,20,3.51797124785625,3.44131565122283,NA,NA
"recovery_rmse",4,20,0.382913917491306,0.388291888489985,NA,NA
"recovery_rmse",5,20,3.10509135983133,3.07723648150024,NA,NA
"recovery_rmse",2,25,3.32536519190637,3.35618309488245,NA,NA
"recovery_rmse",3,25,3.4492172452663,3.38844863734821,NA,NA
"recovery_rmse",4,25,0.411270985066099,0.417425031673698,NA,NA
"recovery_rmse",5,25,3.11540819901263,3.13383059122467,NA,NA
