"score","quantile","best_method","best_mrts_k","best_value"
"brier",0.9,5,20,0.156661401474182
"brier",0.91,5,20,0.143022251023909
"brier",0.92,5,20,0.128543298998
"brier",0.93,5,20,0.113341942869
"brier",0.94,5,0,0.0978669259816364
"brier",0.95,5,0,0.0824317276527273
"brier",0.96,5,0,0.0671213965514545
"brier",0.97,3,0,0.052260802744
"brier",0.98,3,20,0.0363123291050909
"brier",0.99,3,0,0.0211252043748182
"brier",0.995,3,0,0.0129176365657273
"quant",0.9,5,10,1.90224094977435
"quant",0.91,5,10,1.78756043610187
"quant",0.92,5,10,1.66545095013237
"quant",0.93,5,10,1.53542761335269
"quant",0.94,2,10,1.3950737014532
"quant",0.95,2,10,1.24268268769926
"quant",0.96,2,10,1.07687660967574
"quant",0.97,2,10,0.894293180975235
"quant",0.98,4,10,0.68343643975524
"quant",0.99,5,0,0.433186586215935
"quant",0.995,4,0,0.274640854117252
