"score","quantile","best_method","best_mrts_k","best_value"
"brier",0.9,4,5,0.0310356291209091
"brier",0.91,4,5,0.0283964385563636
"brier",0.92,4,5,0.0254274777090909
"brier",0.93,4,12,0.0226267228145455
"brier",0.94,4,3,0.0194322628663636
"brier",0.95,4,3,0.0164226018654545
"brier",0.96,4,3,0.0136061545540909
"brier",0.97,4,5,0.0109133880486364
"brier",0.98,4,3,0.00725561541909091
"brier",0.99,4,3,0.00348463341863636
"brier",0.995,4,5,0.00205244499
"quant",0.9,4,25,1.77629046030248
"quant",0.91,4,10,1.66855722534395
"quant",0.92,4,10,1.55318011507636
"quant",0.93,4,10,1.42914076591654
"quant",0.94,4,5,1.29499694868261
"quant",0.95,4,5,1.14756805561376
"quant",0.96,4,5,0.985734697136419
"quant",0.97,4,5,0.804045718306342
"quant",0.98,4,3,0.595078911537019
"quant",0.99,4,3,0.32842809964228
"quant",0.995,4,5,0.177139228383663
