"score","quantile","best_method","best_mrts_k","best_value"
"brier",0.9,2,0,0.0296031388418182
"brier",0.91,2,0,0.0273475357081818
"brier",0.92,2,0,0.0244754369445455
"brier",0.93,7,0,0.02128533651
"brier",0.94,7,0,0.0187553394072727
"brier",0.95,7,0,0.0168816479572727
"brier",0.96,9,0,0.0141379473672727
"brier",0.97,7,0,0.010788963605
"brier",0.98,7,0,0.00765718960545455
"brier",0.99,7,0,0.00484161035045455
"brier",0.995,2,0,0.00266129083363636
"quant",0.9,7,0,1.77877428958901
"quant",0.91,7,0,1.66354270543117
"quant",0.92,7,0,1.54064169835555
"quant",0.93,7,0,1.40859386594929
"quant",0.94,7,0,1.26702893794247
"quant",0.95,9,0,1.11323773260287
"quant",0.96,9,0,0.944563734496974
"quant",0.97,7,0,0.759274230121548
"quant",0.98,9,0,0.552776086788898
"quant",0.99,7,0,0.302597754180291
"quant",0.995,9,0,0.161241749487825
