"score","quantile","best_method","best_mrts_k","best_value"
"brier",0.9,2,0,0.0176135580077273
"brier",0.91,2,0,0.0160912241545455
"brier",0.92,2,0,0.0146717100118182
"brier",0.93,2,0,0.0140845406790909
"brier",0.94,2,0,0.0136189197568182
"brier",0.95,2,0,0.0121034513959091
"brier",0.96,2,0,0.01029341134
"brier",0.97,2,0,0.00931191245227273
"brier",0.98,2,0,0.00700929150454545
"brier",0.99,3,0,0.00481253714409091
"brier",0.995,2,0,0.00317545299818182
"quant",0.9,2,0,2.91369153280215
"quant",0.91,2,0,2.76460959583779
"quant",0.92,2,0,2.59817906405326
"quant",0.93,2,0,2.40943383952051
"quant",0.94,2,0,2.19779805573247
"quant",0.95,2,0,1.96105970719689
"quant",0.96,2,0,1.69619772971677
"quant",0.97,2,0,1.38508985913795
"quant",0.98,2,0,1.02708147157023
"quant",0.99,2,0,0.568965886776935
"quant",0.995,4,0,0.304509850103596
