"score","quantile","best_method","best_mrts_k","best_value"
"brier",0.9,2,0,0.0220638304968182
"brier",0.91,2,0,0.02074654364
"brier",0.92,2,0,0.0187696682813636
"brier",0.93,2,0,0.0171964999218182
"brier",0.94,2,0,0.0157948297968182
"brier",0.95,4,0,0.0140124203909091
"brier",0.96,4,0,0.0118253106772727
"brier",0.97,2,0,0.0101804345440909
"brier",0.98,3,0,0.00740158301863636
"brier",0.99,3,0,0.00511505058863636
"brier",0.995,2,0,0.00299812211181818
"quant",0.9,2,0,2.62152790161263
"quant",0.91,2,0,2.48201033305849
"quant",0.92,3,0,2.32908326920696
"quant",0.93,3,0,2.1616944343698
"quant",0.94,2,0,1.97873949602025
"quant",0.95,2,0,1.7759933695808
"quant",0.96,2,0,1.55044994239613
"quant",0.97,3,0,1.29177025100418
"quant",0.98,3,0,0.990556371268765
"quant",0.99,2,0,0.538845540654613
"quant",0.995,2,0,0.285855334225082
