"method","mrts_k","coverage_95","mean_width_95","n"
2,0,0.92,1.33736506140697,50
2,10,0.94,1.30089320352646,50
2,15,0.96,1.33487197764886,50
2,20,0.94,1.32571711304583,50
4,0,0.24,0.467548217335033,50
4,10,0.16,0.354337328924669,50
4,15,0.16,0.390416226609139,50
4,20,0.18,0.352916659129631,50
